 	o	y	ú	r	u	w	ó	a	d	í	l	a	p	é	r	á	m	í	k	i	r	a	l	á	n	g	á	n	d	z	o	ó	</S>
cette	0.0105364	0.00998979	0.00550648	0.00668601	0.0053985	0.00439675	0.00788788	0.00522222	0.00660537	0.0073909	0.0133803	0.0107723	0.0276048	0.0217688	0.0330408	0.0457778	0.0730576	0.0291348	0.0415017	0.0464895	0.0571963	0.0420714	0.0476551	0.0506512	0.0504396	0.0935791	0.0573336	0.0317883	0.037052	0.0296592	0.0177366	0.0305307	0.0421582
femme	0.0993296	0.165818	0.0785408	0.08489	0.141798	0.0793353	0.142382	0.0600779	0.0503715	0.0142244	0.009689	0.00582277	0.00727683	0.00542864	0.00654908	0.00318293	0.0115998	0.0044388	0.00512197	0.00459439	0.00397609	0.00219375	0.00104742	0.00175265	0.000652205	0.000666531	0.00138389	0.00200026	0.00195308	0.0015664	0.00139713	0.000522034	0.000416971
fait	0.01724	0.0150048	0.0186872	0.0221894	0.014951	0.033975	0.0105131	0.0276573	0.0114094	0.0143292	0.011512	0.0180008	0.0161863	0.0358396	0.0454938	0.047749	0.0752058	0.10181	0.105605	0.0541895	0.0832515	0.0461935	0.0401463	0.0393106	0.0227732	0.0212703	0.0161545	0.0086686	0.00452353	0.00409315	0.00401963	0.00539682	0.00664978
des	0.0371294	0.0558585	0.0414506	0.0593441	0.0463322	0.0287933	0.0451176	0.0270135	0.0344518	0.0165701	0.018017	0.0162864	0.0278245	0.029664	0.03382	0.0303012	0.0471294	0.0391485	0.0279722	0.0199183	0.0216397	0.029486	0.0282356	0.0277938	0.0313891	0.0399642	0.0305717	0.0216357	0.0235383	0.0159867	0.012105	0.0127623	0.0227493
manières	0.0288659	0.0291316	0.024463	0.0253032	0.0321938	0.0328323	0.0352518	0.0414295	0.0297364	0.00940495	0.0090594	0.0101326	0.0158447	0.0160672	0.0236193	0.0133033	0.0346738	0.0355252	0.0364753	0.0518107	0.0404454	0.0333583	0.0229808	0.0381535	0.0284971	0.0246018	0.0379124	0.0342964	0.0370459	0.0384142	0.0430921	0.0387298	0.0473484
pour	0.0786997	0.0452109	0.0444294	0.0292478	0.0292769	0.0349566	0.0326559	0.034023	0.0345945	0.0283483	0.0237295	0.0197245	0.0126514	0.0148347	0.015208	0.0225588	0.0325471	0.0359529	0.0251041	0.0189826	0.0151052	0.0140161	0.0132867	0.0115972	0.00981586	0.0169223	0.0209768	0.032328	0.0244866	0.0446365	0.0488848	0.0513076	0.0838996
me	0.0296999	0.0250945	0.0200363	0.0114885	0.00775091	0.00840538	0.010077	0.0105571	0.00955899	0.00631544	0.0109208	0.00773825	0.0149183	0.0190049	0.0333689	0.0385167	0.0577225	0.0637817	0.0638846	0.0567979	0.0608038	0.0603337	0.044666	0.0517602	0.0298733	0.0578818	0.0358914	0.0372541	0.021877	0.0238565	0.0173556	0.0249779	0.0278301
vendre	0.0245015	0.0151912	0.0133474	0.0102078	0.0108312	0.0149892	0.0105249	0.0165185	0.0139463	0.00942097	0.0121971	0.00947926	0.0169405	0.0130283	0.0221818	0.0226379	0.025375	0.0264655	0.026615	0.0288538	0.0267969	0.0296162	0.0313214	0.0339914	0.0326598	0.04352	0.0531957	0.0617831	0.0611294	0.0659264	0.0649841	0.0714761	0.0803462
des	0.115471	0.0599402	0.0807794	0.0463647	0.0304357	0.0274716	0.0282478	0.029401	0.0249417	0.0135775	0.00512916	0.00474766	0.00531822	0.0050608	0.00602963	0.00677558	0.0162603	0.0126809	0.0117478	0.0171346	0.00967886	0.0164834	0.0162837	0.0270366	0.0202024	0.0245748	0.0393863	0.0297439	0.0376516	0.0430241	0.0425584	0.0416193	0.104241
arachides	0.0659993	0.0420145	0.0382148	0.0277383	0.0187688	0.0195611	0.0177173	0.0210244	0.0167062	0.00903023	0.00714664	0.00696718	0.00874408	0.010179	0.0130971	0.013635	0.0150342	0.0218837	0.0228347	0.0256613	0.019147	0.0236481	0.0232661	0.0225882	0.022177	0.0268777	0.0347472	0.0356411	0.0475665	0.0535579	0.0743627	0.0892387	0.105224
</S>	0.0501406	0.0316573	0.0184836	0.0181794	0.0139733	0.0132738	0.010774	0.0134023	0.0107848	0.00918726	0.00882403	0.0111759	0.00972804	0.00979291	0.0120677	0.0122013	0.0148721	0.0167729	0.0131174	0.0129764	0.0101447	0.0147257	0.0127242	0.0262469	0.0270548	0.0291855	0.0578862	0.0506118	0.0660449	0.0740516	0.0961772	0.10245	0.121312
