 	a	k	ó	o	m	á	á	k	i	r	á	b	á	a	á	m	i	b	ω	ω	</S>
les	0.0967542	0.0376635	0.0377463	0.0234881	0.0153449	0.0395246	0.046725	0.0541094	0.0420054	0.0531908	0.0590541	0.0899336	0.0477138	0.0572591	0.102329	0.0551014	0.0406461	0.0412731	0.0261069	0.0171414	0.0168892
champignons	0.0515431	0.0405074	0.0835554	0.11965	0.145038	0.0965222	0.0328231	0.0614749	0.0810845	0.053653	0.0238497	0.0305308	0.0323701	0.0348323	0.00966548	0.0154798	0.0160431	0.0191892	0.0193146	0.0174478	0.015425
de	0.0244474	0.0451954	0.0268546	0.0321681	0.0438601	0.0508744	0.0295169	0.0389028	0.0457886	0.0973216	0.0743222	0.0856924	0.0686592	0.0854748	0.0687015	0.0611445	0.0566703	0.034271	0.0143785	0.00874136	0.00701406
savane	0.0225438	0.0306536	0.0364725	0.0394832	0.0603528	0.0571866	0.0429327	0.0529127	0.0564904	0.0619846	0.0805124	0.0399178	0.0256902	0.0437592	0.0701945	0.0399715	0.056702	0.0465524	0.036773	0.0454852	0.0534285
qu'	0.0897594	0.0676525	0.0599749	0.0650109	0.0672135	0.0677182	0.0497093	0.0465987	0.0457911	0.0367203	0.0187248	0.0176608	0.018867	0.0249287	0.0261121	0.0342296	0.0482708	0.0477862	0.0504118	0.0423035	0.0745558
ils	0.0921011	0.0449124	0.0598895	0.0502346	0.0483676	0.0276848	0.0230641	0.0379956	0.0447847	0.117246	0.0773892	0.0334575	0.0302737	0.0288967	0.0197581	0.0137087	0.0336084	0.0256822	0.0288682	0.0532343	0.108843
vendent	0.0332403	0.023872	0.022855	0.0321836	0.0568978	0.0575473	0.0452737	0.0306122	0.0328564	0.0338153	0.0288043	0.0184239	0.0277514	0.0480634	0.0940858	0.0755931	0.0784519	0.0768636	0.0469331	0.0483272	0.0875486
sont	0.0557571	0.0465127	0.0389847	0.046966	0.0847314	0.0774848	0.0812298	0.0485078	0.0313024	0.0245995	0.0297932	0.0176011	0.0181168	0.0251417	0.0472054	0.0326274	0.0419474	0.0457351	0.06839	0.0527478	0.0846179
pourris	0.0531529	0.0620903	0.0696038	0.0712373	0.0722035	0.059387	0.0507433	0.0203903	0.0168618	0.00683189	0.00923484	0.00600006	0.00753057	0.00994183	0.0269396	0.0311821	0.0661005	0.0780923	0.0920617	0.0907724	0.0996423
</S>	0.0878844	0.0764539	0.0628048	0.0635649	0.0632272	0.0586266	0.044307	0.0197864	0.0138555	0.00819846	0.0092664	0.00705631	0.00760243	0.00617865	0.009909	0.0171563	0.0481357	0.0528398	0.0984117	0.0914833	0.153251
