 	n	g	á	i	d	z	e	o	b	v	ú	r	á	o	d	z	w	á	i	b	h	é	m	b	a	k	a	á	t	s	í	n	a	n	g	ó	l	á	m	i	á	s	i	m	b	i	s	i	n	g	á	</S>
je	0.147941	0.214761	0.128382	0.0772121	0.0172318	0.0185642	0.0149032	0.01371	0.00826595	0.00321951	0.00292975	0.00275485	0.00308641	0.00574793	0.00567778	0.00787779	0.00988725	0.0160638	0.0188303	0.00955417	0.00607921	0.00502007	0.00523344	0.00352017	0.00391863	0.0052778	0.00536758	0.00441693	0.00926897	0.00835333	0.00740346	0.00851502	0.00927972	0.00943471	0.00986222	0.0116631	0.0120038	0.00996086	0.012811	0.0122838	0.0109011	0.0154812	0.013004	0.00990152	0.00862357	0.00661433	0.00913514	0.00607257	0.00826915	0.00865483	0.0087398	0.00832804
ne	0.0799739	0.0488333	0.0628578	0.0567223	0.0331837	0.0252245	0.0199974	0.0247895	0.0204651	0.0213888	0.0367063	0.0299678	0.0154988	0.021754	0.0101058	0.0195574	0.026425	0.0250234	0.0210536	0.0231172	0.0229682	0.0194799	0.0202176	0.0214683	0.0236959	0.0204108	0.0207049	0.0212453	0.0183354	0.0138535	0.0227084	0.0166649	0.0141276	0.017509	0.0144194	0.00918965	0.00856959	0.00681726	0.00511047	0.00579261	0.00307275	0.0037255	0.00248293	0.00128195	0.00313935	0.00499777	0.00459392	0.0112567	0.00652996	0.00397476	0.00316933	0.00584072
suis	0.0486825	0.0484716	0.0406784	0.0398316	0.03011	0.0240525	0.0192476	0.0265011	0.0208587	0.0151293	0.0194646	0.0179379	0.0194585	0.0203732	0.0244955	0.0146766	0.0119705	0.0197548	0.0397324	0.0164728	0.0249365	0.015965	0.024212	0.00992717	0.0163211	0.0215133	0.0137833	0.0166222	0.0264551	0.0370715	0.026955	0.0283903	0.0243433	0.0235549	0.0214454	0.015448	0.0130618	0.0138317	0.0103819	0.0108484	0.00774686	0.00714946	0.00628598	0.00393204	0.00430246	0.00706346	0.00685922	0.00889405	0.0103976	0.00925088	0.00753499	0.00761526
plus	0.0206018	0.0104092	0.0148383	0.0305066	0.0253261	0.0224746	0.0226943	0.0171603	0.0189225	0.0214749	0.0177831	0.0248632	0.0254445	0.0174042	0.0212744	0.0245852	0.0158656	0.0133653	0.0136772	0.0143821	0.0291845	0.0256866	0.0137044	0.030027	0.053568	0.0302074	0.0331387	0.0408249	0.017801	0.0168971	0.0362164	0.0422454	0.0208996	0.0304581	0.0223438	0.014861	0.00773756	0.0082862	0.00413061	0.00992056	0.00590405	0.00607302	0.00531931	0.00390798	0.00435959	0.00587417	0.0128639	0.0229527	0.0183657	0.0122063	0.0108717	0.0101097
parti	0.0053744	0.00307202	0.00320185	0.00556928	0.0146124	0.0216191	0.0347892	0.01624	0.0327473	0.0520231	0.0197194	0.0298538	0.0153461	0.01003	0.0131248	0.0127308	0.00779448	0.00751148	0.010866	0.0103734	0.0163428	0.0132929	0.0146441	0.0115535	0.017087	0.0149078	0.0145752	0.0146201	0.00975704	0.017174	0.0196175	0.0203285	0.0207825	0.0313421	0.0272277	0.0221041	0.0303185	0.0349336	0.0304707	0.0221966	0.0214058	0.0193474	0.0222562	0.0181724	0.0206336	0.0181091	0.0240775	0.0269231	0.0249123	0.0238891	0.0225358	0.0278624
en	0.0160847	0.00654924	0.00676646	0.00560108	0.0102671	0.0085263	0.0106686	0.00986237	0.0104006	0.00998393	0.00911594	0.0105117	0.00959562	0.00773128	0.0114117	0.00822175	0.00665221	0.00683365	0.0113388	0.0107824	0.0149908	0.0153589	0.0166524	0.0160434	0.0176153	0.0160877	0.0171046	0.0181554	0.0123427	0.0167106	0.0197567	0.0189744	0.0195587	0.0250939	0.0264766	0.0285831	0.0359239	0.0364257	0.0426314	0.0278917	0.0309127	0.0257225	0.0446108	0.032924	0.0330949	0.0233672	0.0292044	0.0214305	0.0291618	0.0321834	0.0270071	0.0410971
voyage	0.00802523	0.00457383	0.00986217	0.0188082	0.0151402	0.0117628	0.0130821	0.00972629	0.00968961	0.00884828	0.00939073	0.010058	0.0162345	0.0115193	0.012042	0.0111479	0.00787829	0.00706998	0.0140172	0.0161109	0.0234878	0.0180798	0.0234951	0.0253176	0.0284043	0.0171922	0.0179136	0.0197655	0.01105	0.0136512	0.0247679	0.0240475	0.0198113	0.0236646	0.0261607	0.0250329	0.0255936	0.0229356	0.0278407	0.0400354	0.0404224	0.0339945	0.0206442	0.0197956	0.0213674	0.0212362	0.0234277	0.0195105	0.0213097	0.0230545	0.0236229	0.0483793
car	0.00928763	0.00626376	0.00886232	0.0144237	0.0114356	0.0089376	0.0101676	0.00987192	0.0117578	0.0111767	0.0133018	0.0133368	0.0128509	0.00781255	0.00974658	0.00798183	0.00358915	0.00368658	0.00745627	0.00605827	0.0117788	0.0105259	0.0144319	0.0146304	0.0180267	0.0194333	0.0169216	0.0224045	0.0188241	0.0216294	0.0257284	0.026775	0.0313143	0.0335211	0.0343969	0.0306135	0.0308634	0.0295909	0.029386	0.0319752	0.0326177	0.0305758	0.0210229	0.0241032	0.0272399	0.026792	0.028798	0.0225656	0.0242893	0.0276367	0.0272328	0.0463491
mon	0.0168821	0.00957876	0.00949758	0.0102663	0.0103988	0.0105374	0.0116448	0.00989386	0.00976714	0.0127877	0.00695153	0.00906229	0.0094759	0.00711307	0.00831929	0.00656888	0.00368834	0.00447256	0.00643626	0.00511118	0.0095738	0.00814684	0.00991962	0.014878	0.0182928	0.0170067	0.0139995	0.0254036	0.0206376	0.0239668	0.0296403	0.0316854	0.0290424	0.0388989	0.0281826	0.0247082	0.0236058	0.0230134	0.0201857	0.0229916	0.0234412	0.0289365	0.0220427	0.0256181	0.0329744	0.03418	0.0363965	0.0357859	0.0350353	0.0360685	0.0366165	0.040671
oncle	0.0164206	0.00836304	0.0067137	0.00595926	0.00680577	0.00811964	0.0077793	0.00643963	0.00754304	0.0113172	0.0073664	0.00931494	0.0156575	0.010729	0.0159249	0.0127904	0.0124856	0.0122523	0.0197375	0.0196461	0.0286371	0.0279996	0.0370075	0.0308164	0.0316562	0.026569	0.0237678	0.0299778	0.0194902	0.0307229	0.0388746	0.0293074	0.0284174	0.0319442	0.0246519	0.0130169	0.0165137	0.0179799	0.0113708	0.0186992	0.00999575	0.0139261	0.00734743	0.00809067	0.014172	0.0184474	0.0245117	0.0285645	0.0313217	0.030247	0.0325511	0.0420383
