 	e	k	í	í	s	í	l	í	y	é	é	k	í	í	s	á	w	a	a	b	é	á	l	á	a	b	h	e	r	á	o	k	í	í	s	á	o	k	á	m	á	m	ó	k	ω	ω	</S>
avec	0.0110862	0.00827559	0.0166919	0.0219877	0.0218732	0.0177839	0.0169909	0.0181402	0.0280398	0.0410982	0.047133	0.0557641	0.0556548	0.064796	0.0855521	0.0205473	0.0125687	0.0158896	0.00945993	0.00917734	0.0228446	0.0228685	0.0244859	0.0164134	0.0142375	0.0120394	0.00669158	0.00961086	0.00963786	0.0087057	0.00823523	0.00849823	0.0130767	0.0113852	0.0230146	0.0185535	0.0304502	0.0160109	0.0176979	0.0174104	0.0155096	0.0154305	0.0141153	0.0137848	0.0146108	0.0176016	0.0185687
la	0.060477	0.0351054	0.0155757	0.0120579	0.00610013	0.00459498	0.00369924	0.00376271	0.00855743	0.00792392	0.0186422	0.0120646	0.0137805	0.0369842	0.0364685	0.0376158	0.0264976	0.0212935	0.0135114	0.0146499	0.0258069	0.0767976	0.0430142	0.0190438	0.0205222	0.0248795	0.0165001	0.0146315	0.0140221	0.0160625	0.0154182	0.0178335	0.0291658	0.0178949	0.0377398	0.0217175	0.0356663	0.0170001	0.0181376	0.03079	0.0201851	0.0240539	0.0141102	0.00860446	0.0046178	0.0113488	0.0150728
manière	0.0137324	0.0233661	0.0243352	0.0155664	0.00898386	0.00624312	0.014478	0.00653184	0.00884038	0.010686	0.0388347	0.11715	0.0240886	0.112284	0.0377982	0.0563784	0.0700507	0.0228909	0.0241256	0.00766534	0.0129387	0.0179503	0.00536253	0.0131626	0.00687855	0.00655224	0.00527691	0.00626016	0.00742954	0.00520375	0.00686187	0.0077184	0.0161267	0.0143536	0.0292878	0.0168975	0.026527	0.0261504	0.0217411	0.0281773	0.0138531	0.0164712	0.014773	0.00952232	0.0054124	0.00885666	0.006224
dont	0.015477	0.0158937	0.0115027	0.0135426	0.00796801	0.00689148	0.00843836	0.0073011	0.00423763	0.00494495	0.0069025	0.00680366	0.00861539	0.0151718	0.0171562	0.00940162	0.0111294	0.0050999	0.0973347	0.0385866	0.133283	0.0898355	0.0343013	0.0576261	0.0362554	0.0300666	0.0199558	0.0350516	0.0302074	0.0221763	0.0201472	0.0358986	0.0165022	0.0145306	0.00586654	0.00856687	0.00619249	0.00423419	0.00304427	0.00346105	0.00484742	0.00506739	0.00858917	0.00972549	0.0159847	0.0119679	0.0242161
il	0.0091542	0.0453704	0.0412311	0.041391	0.0353287	0.0387626	0.0457873	0.039491	0.0319766	0.0381727	0.0297535	0.0314475	0.021299	0.015278	0.00644613	0.0059826	0.00623577	0.00559911	0.0176812	0.0193657	0.0238806	0.00809708	0.0211188	0.0232085	0.0145542	0.027897	0.0153385	0.0180833	0.024141	0.0231705	0.0231886	0.0319824	0.0197861	0.0222527	0.00862137	0.0119979	0.0117514	0.00936666	0.00623517	0.00730748	0.00645493	0.00822109	0.0104152	0.0094072	0.0140732	0.0175784	0.0561166
remblaie	0.0243129	0.0309208	0.0264372	0.024584	0.0214093	0.020006	0.0162874	0.0105852	0.0118214	0.0144493	0.0203971	0.0282049	0.0153612	0.0194785	0.00991401	0.00492892	0.0060727	0.00583919	0.0122394	0.0132794	0.0122802	0.00806729	0.0161197	0.0173667	0.0148112	0.0175628	0.015248	0.0172846	0.0188155	0.0250964	0.0204983	0.0227574	0.0209291	0.0159822	0.0186583	0.0160575	0.0151135	0.0197725	0.0184469	0.0288123	0.0198883	0.0252745	0.0339078	0.0332069	0.0569337	0.0515812	0.0829987
les	0.012863	0.0335992	0.0344605	0.0355355	0.0317911	0.0378199	0.0362234	0.0215236	0.0230617	0.0280296	0.0354102	0.0640788	0.0488129	0.0225187	0.00575096	0.00218556	0.00377812	0.00308767	0.00466275	0.00460054	0.00420174	0.00385343	0.00451026	0.0053545	0.00398474	0.00691438	0.00513788	0.00865474	0.00848959	0.00965151	0.0128465	0.0155232	0.0144224	0.0133178	0.012159	0.0143978	0.0166494	0.0208142	0.0185467	0.0223274	0.0187649	0.0220354	0.028425	0.0267455	0.0364708	0.0515868	0.104421
trous	0.0305285	0.0404908	0.0326061	0.034131	0.0257494	0.0222636	0.0211897	0.0175126	0.0166027	0.02374	0.0261506	0.0333897	0.0284737	0.0231073	0.0198685	0.00668241	0.0116916	0.0155129	0.0164891	0.0125341	0.00688591	0.0102127	0.00858422	0.0126279	0.00982804	0.0149485	0.00850737	0.0121221	0.0124522	0.0115597	0.0125586	0.0100692	0.00865891	0.00694088	0.00725174	0.0084863	0.00736498	0.01378	0.0181598	0.0178115	0.0233348	0.019209	0.0358183	0.0344177	0.0400956	0.0664262	0.103173
il	0.0627829	0.059015	0.040214	0.0416119	0.032986	0.0288614	0.0226818	0.0128964	0.0131617	0.0292861	0.0304268	0.0528931	0.0312717	0.0219934	0.00978791	0.00537163	0.00601346	0.00751425	0.00830803	0.00619179	0.00387334	0.0061452	0.00526278	0.00619053	0.0047976	0.0075746	0.00447854	0.00917073	0.00946313	0.00964658	0.0107665	0.00930072	0.0105282	0.00653953	0.00810627	0.00761204	0.00695505	0.0118936	0.0124788	0.0158533	0.0164025	0.0145206	0.0301979	0.0334884	0.0372436	0.0638221	0.114419
peut	0.0644627	0.0410669	0.0300663	0.0271393	0.0297076	0.0228519	0.020538	0.0109722	0.0102741	0.015305	0.016124	0.0310587	0.0182145	0.0225091	0.0157375	0.00674915	0.00771979	0.00850806	0.00935647	0.00792224	0.00617845	0.00807579	0.00896416	0.00910278	0.00819601	0.0114556	0.00895234	0.0173385	0.0141493	0.0193482	0.0157073	0.014741	0.0192487	0.0163847	0.0172124	0.0167648	0.0139628	0.020059	0.0211401	0.0202854	0.022992	0.0218878	0.0274881	0.0371024	0.0446479	0.0539015	0.0884291
