 	m	b	o	l	ó	y	e	e	n	y	w	é	n	g	á	l	a	p	ó	a	á	l	á	n	g	i	s	i	n	g	á	</S>
le	0.00937874	0.0134766	0.0116047	0.0110567	0.0169558	0.0236594	0.0250457	0.0345435	0.0328829	0.0396073	0.0450906	0.0428153	0.0471669	0.0453573	0.0483836	0.0406434	0.0310082	0.0276838	0.0198266	0.0187317	0.0162346	0.0224793	0.0307637	0.0386143	0.0355154	0.0455948	0.0481007	0.0391507	0.037719	0.0553521	0.0235792	0.0219775
vin	0.0375503	0.117576	0.108575	0.154931	0.10001	0.0799766	0.0306785	0.015084	0.0115792	0.00558656	0.00625931	0.00188168	0.0160442	0.0103795	0.0448935	0.0423027	0.043556	0.0314229	0.0300864	0.0182872	0.0185264	0.0114026	0.00629564	0.0075415	0.0114184	0.0146871	0.00458517	0.00600871	0.00508321	0.00294602	0.0027233	0.00212209
du	0.132512	0.0598225	0.0630213	0.030433	0.0183559	0.0166446	0.0209904	0.0155177	0.018358	0.0184437	0.0203848	0.0264187	0.0283938	0.0391159	0.0234257	0.0309691	0.0499941	0.0400352	0.0535333	0.0618829	0.0443724	0.029821	0.0350931	0.0210071	0.0134277	0.0192694	0.0125041	0.0127885	0.0068938	0.00947718	0.0124735	0.0146198
palmier	0.031425	0.0664624	0.0903014	0.108787	0.0870433	0.0837881	0.0508654	0.0306572	0.0356522	0.0256686	0.0342533	0.0464288	0.0304625	0.0265974	0.0106176	0.0250799	0.0146213	0.017578	0.0224311	0.0140867	0.0124363	0.0109473	0.0126622	0.0121291	0.0088067	0.0145622	0.00622731	0.00538848	0.00686011	0.0120196	0.0118092	0.0333445
à	0.0908879	0.0686925	0.0798177	0.062523	0.0441238	0.032395	0.0289144	0.0213557	0.0197079	0.0208894	0.0200266	0.0320853	0.0216493	0.0326713	0.0122961	0.0204952	0.0331148	0.0372694	0.0514102	0.0408904	0.0355799	0.0232065	0.0284842	0.0207419	0.0127975	0.00870892	0.00749762	0.00709497	0.00587392	0.00852179	0.00983895	0.060438
huile	0.0638836	0.0622569	0.0606902	0.0344817	0.0294498	0.0208028	0.0174579	0.0155448	0.0149313	0.0157068	0.00787757	0.0106574	0.00746362	0.00855417	0.00668627	0.014443	0.0182898	0.0205824	0.06344	0.0495229	0.0405711	0.0228375	0.0381834	0.0287621	0.0238525	0.025654	0.0381232	0.0295957	0.0229748	0.0361912	0.0561093	0.0944222
que	0.0481241	0.0370946	0.0381154	0.0294854	0.0299382	0.0230437	0.0186238	0.0194101	0.0225336	0.019558	0.0109099	0.013759	0.0121413	0.0165526	0.0120293	0.0138515	0.0238288	0.0237483	0.0595244	0.0378368	0.0383254	0.0348848	0.0292609	0.0354186	0.0318819	0.0335663	0.0365175	0.029392	0.0428485	0.0362264	0.0660777	0.0754909
j'	0.0604824	0.0449276	0.0412216	0.0375244	0.0384081	0.0331741	0.0303828	0.0311602	0.0349818	0.025008	0.0170519	0.021058	0.0211247	0.0248948	0.0158041	0.0145477	0.0195356	0.0179744	0.0413009	0.0307899	0.0391304	0.0298471	0.0297585	0.025667	0.026221	0.0151889	0.0220053	0.0207761	0.0256998	0.0264661	0.0388305	0.099056
ai	0.115569	0.0687371	0.0591512	0.0345182	0.0324116	0.0208444	0.00970815	0.00823197	0.0072765	0.00645978	0.00535516	0.00747717	0.0074275	0.0106521	0.00896848	0.00965253	0.0248308	0.0248683	0.0406506	0.0345244	0.0413592	0.0339694	0.0544466	0.0283527	0.0297743	0.0228782	0.0241819	0.0201895	0.0273821	0.0245779	0.0424674	0.113106
bu	0.142158	0.0833041	0.058351	0.0247938	0.0157053	0.0111088	0.00756044	0.00763597	0.00713743	0.00568331	0.00331205	0.00685212	0.00868131	0.012543	0.0150257	0.0167033	0.0393175	0.0297393	0.0524583	0.0447744	0.0467482	0.0341372	0.0386519	0.0187175	0.0290158	0.0122431	0.0242914	0.0138823	0.0258136	0.0180168	0.0371919	0.108445
hier	0.123724	0.0678512	0.0602677	0.0383866	0.036415	0.0250538	0.0167905	0.0122566	0.0112035	0.00735474	0.00336749	0.00707782	0.00412135	0.00684894	0.00495283	0.00599796	0.0109799	0.0146366	0.0311206	0.0313396	0.0448985	0.0513866	0.0566284	0.0341955	0.0301287	0.0169987	0.0272741	0.0212019	0.0264505	0.0219123	0.0327849	0.116392
m'	0.151271	0.0559114	0.0357106	0.0286917	0.0237331	0.0165063	0.0100396	0.00924968	0.0107136	0.00538754	0.00471715	0.00703976	0.00863951	0.0128286	0.00530721	0.00492731	0.00805438	0.00745502	0.0212331	0.0323633	0.0185975	0.0303091	0.0257634	0.0292879	0.0412221	0.0216555	0.0521032	0.0361691	0.0436537	0.0663695	0.0688866	0.106202
a	0.150312	0.0603828	0.041826	0.0293547	0.0240621	0.0137861	0.00838973	0.00894064	0.0099292	0.00584066	0.00314607	0.00432829	0.00622694	0.00775109	0.00744143	0.00661889	0.00841707	0.00593838	0.0196378	0.0215183	0.013968	0.022917	0.0219575	0.0308519	0.0403637	0.0330524	0.0653525	0.0472893	0.0487447	0.0585167	0.0824829	0.0906556
énivré	0.176377	0.045482	0.0279963	0.0182189	0.0127231	0.00784178	0.005055	0.00402696	0.00443964	0.00337378	0.00291057	0.00341093	0.00368432	0.00488797	0.00266278	0.0028833	0.00424046	0.00442731	0.0111882	0.0164786	0.0149069	0.0191538	0.0188781	0.019602	0.0328611	0.0131416	0.0764477	0.0341743	0.050946	0.0848826	0.113589	0.159108
</S>	0.14069	0.0652132	0.0393263	0.0277563	0.0212828	0.0177004	0.0188959	0.0220128	0.0271064	0.0158547	0.0102825	0.0150747	0.0168687	0.0166524	0.00793229	0.0087062	0.00928323	0.00886039	0.0200039	0.0238044	0.0227345	0.0311302	0.0224916	0.0228804	0.0275616	0.00893051	0.032754	0.0200247	0.0319517	0.0354253	0.0411333	0.169675
