 	o	k	ú	r	u	m	u	m	w	ε	n	έ	l	í	n	ω	</S>
c'	0.0229883	0.0295331	0.024277	0.0238474	0.0225873	0.0244598	0.0296984	0.0918541	0.129036	0.102728	0.0988221	0.0760577	0.0622131	0.0590896	0.0475385	0.0515206	0.10375
est	0.103835	0.0490954	0.0364265	0.035793	0.0401474	0.0325815	0.0408182	0.0400112	0.0471658	0.0673705	0.0753622	0.108291	0.0680871	0.0635632	0.0796006	0.0605002	0.0513507
vraiment	0.0559557	0.0856867	0.11676	0.116706	0.105105	0.0420672	0.0172032	0.0378645	0.0501202	0.0431248	0.0274888	0.0359002	0.0387039	0.0299327	0.103405	0.0223738	0.0716031
toi	0.019354	0.0194728	0.0315324	0.0754416	0.0625848	0.0113681	0.00695737	0.00759911	0.0378816	0.0398978	0.0293167	0.0657494	0.140289	0.218938	0.135465	0.0363444	0.0618078
qui	0.0183424	0.0154192	0.0177154	0.0238062	0.0273572	0.0177984	0.015004	0.016853	0.0235034	0.0200353	0.0288664	0.0515362	0.134279	0.181072	0.13825	0.098827	0.171334
te	0.0253283	0.0281413	0.0311408	0.0321384	0.0480857	0.0395815	0.0244571	0.0244544	0.0235414	0.0235674	0.0542609	0.0759387	0.10638	0.140405	0.130541	0.0785616	0.113477
prosterne	0.0648685	0.0583466	0.043715	0.0380577	0.0577854	0.0696087	0.0549123	0.0486044	0.0376812	0.041508	0.0519729	0.0736754	0.0714814	0.0886487	0.0637642	0.0437091	0.0916605
devant	0.0817191	0.0621512	0.0388695	0.0264639	0.0286891	0.017079	0.0102081	0.0110317	0.0156356	0.0151696	0.0210467	0.030787	0.0520407	0.0657711	0.112723	0.0792985	0.331316
le	0.0961291	0.0609431	0.0363631	0.0224093	0.0202184	0.012385	0.018811	0.0185897	0.0262774	0.0454798	0.0266728	0.0375934	0.0497273	0.0912195	0.0990042	0.114097	0.224079
chef	0.245487	0.145546	0.0697608	0.0220079	0.0145889	0.00579332	0.0071847	0.00767539	0.0279525	0.0549883	0.0388106	0.032081	0.0506458	0.0625572	0.0742967	0.0430511	0.0975726
traditionnel	0.182311	0.0722767	0.051106	0.0384184	0.0258481	0.022978	0.0298431	0.0257297	0.024615	0.0317231	0.0206079	0.0259912	0.0325319	0.044912	0.122412	0.115261	0.133435
</S>	0.104473	0.0553658	0.0485683	0.0554768	0.05701	0.0479867	0.0505286	0.0490844	0.0430606	0.0447539	0.0336496	0.0555382	0.0559145	0.0780613	0.103223	0.0512868	0.0660189
