 	w	a	á	b	h	e	n	d	i	e	f	u	n	d	u	y	á	n	g	á	t	s	i	n	a	w	a	a	d	i	n	g	á	l	e	b	y	é	m	b	o	</S>
il	0.090055	0.345447	0.285526	0.112243	0.068774	0.0131967	0.0139067	0.0125228	0.00170479	0.000927085	0.00116687	0.00137936	0.00156328	0.00210133	0.00206638	0.00170718	0.00311262	0.00355887	0.00214184	0.00240877	0.00237633	0.00184985	0.0011227	0.000959195	0.000722458	0.000536739	0.000807372	0.000817532	0.0015361	0.00142662	0.00142118	0.00135645	0.00254153	0.00208671	0.00249618	0.00249046	0.0018117	0.00146871	0.00176638	0.0015334	0.00166194	0.00170079
a	0.0418594	0.0243607	0.0414726	0.038753	0.0228195	0.0798637	0.029332	0.0486431	0.0531148	0.0494465	0.0831848	0.0717777	0.0963583	0.0636224	0.0219812	0.0280579	0.0212073	0.013531	0.00949546	0.0116254	0.0144922	0.018607	0.0075684	0.00520823	0.004682	0.00545711	0.0107302	0.00837806	0.00511295	0.00479482	0.00252654	0.0038582	0.00275866	0.00627644	0.0110276	0.0122501	0.00806282	0.0045834	0.00323996	0.00366834	0.00221642	0.00399401
contourné	0.010693	0.0173594	0.0212667	0.0160086	0.0113468	0.0154644	0.00954899	0.0176792	0.0193741	0.0169217	0.0208857	0.0266376	0.0205533	0.0194236	0.0350729	0.0377343	0.0490785	0.0689597	0.0514677	0.0391741	0.0333448	0.0401082	0.0407019	0.0279571	0.0327622	0.0350137	0.0207665	0.0165433	0.0231935	0.00859652	0.0204717	0.0127389	0.0187336	0.0124253	0.0143137	0.0138784	0.0168655	0.0155676	0.0190438	0.0153123	0.021123	0.0158883
ma	0.0115008	0.00968464	0.0115887	0.00747732	0.00991355	0.00758117	0.00730502	0.00715838	0.00738091	0.00718695	0.00745177	0.00910478	0.00974242	0.0123759	0.0144601	0.0217536	0.0158686	0.0220392	0.0476907	0.0394977	0.0480065	0.0594824	0.0741056	0.0599516	0.0595428	0.041962	0.0460544	0.0485197	0.0506344	0.0215476	0.0174202	0.0189132	0.0211444	0.0122544	0.00903027	0.00902394	0.00917789	0.0101363	0.0168153	0.0139964	0.0248764	0.0406421
parcelle	0.00595978	0.0198611	0.00756335	0.0068157	0.00610929	0.00604232	0.00697479	0.0181414	0.0123219	0.0207204	0.0255895	0.0197973	0.0376329	0.0235026	0.0240019	0.02212	0.03772	0.0481585	0.0615909	0.059792	0.0707936	0.0809381	0.0687818	0.0591706	0.0446332	0.014711	0.0117891	0.0103113	0.0100975	0.0119946	0.0107957	0.0113323	0.00678443	0.0103774	0.0103954	0.0114915	0.00961201	0.0102741	0.0107016	0.0120846	0.0169775	0.0255372
parce	0.0185336	0.0149002	0.0207538	0.0186818	0.00791794	0.00603111	0.00724149	0.0110772	0.0139156	0.0156535	0.0162071	0.0162905	0.0187878	0.015846	0.017844	0.0202827	0.0355559	0.0283593	0.0325463	0.0299539	0.0297661	0.0386856	0.0537909	0.0374884	0.0554467	0.0198687	0.0247057	0.0281827	0.0174011	0.0418819	0.0088049	0.00855351	0.00546484	0.0152398	0.0145726	0.0156292	0.0158998	0.0227074	0.03682	0.0396796	0.044726	0.0583047
qu'	0.017372	0.0302155	0.0138716	0.0160009	0.0122308	0.0101041	0.0105517	0.019448	0.0119608	0.0142713	0.0185812	0.0121118	0.0210835	0.0114606	0.0108685	0.0104847	0.0170748	0.0240243	0.0373187	0.0425868	0.0694332	0.123425	0.073487	0.0866894	0.072775	0.0139225	0.013304	0.0123478	0.00797321	0.0112261	0.00923666	0.00860552	0.00594497	0.00836628	0.0084642	0.00867163	0.00913369	0.00918717	0.0106552	0.0116339	0.0143682	0.0495281
il	0.0181497	0.0305472	0.0187168	0.0188745	0.012898	0.011622	0.0135816	0.0197577	0.00991675	0.0108663	0.0104169	0.011399	0.0120195	0.00942976	0.00786727	0.00819374	0.0118908	0.0185109	0.024881	0.0339788	0.0589586	0.0798605	0.0639722	0.0613835	0.0409845	0.019312	0.0243438	0.0172234	0.00950343	0.0172694	0.00975185	0.0111255	0.00569557	0.0203854	0.0195155	0.0243769	0.0261087	0.0302845	0.0311783	0.0316414	0.034124	0.0494827
me	0.00504699	0.00467704	0.00433559	0.00416882	0.00903055	0.0120008	0.00873521	0.0113779	0.0118351	0.011755	0.0113313	0.0120388	0.0144012	0.0119038	0.0162787	0.0199309	0.0258555	0.0236794	0.0364141	0.0273779	0.0451484	0.0595025	0.0541125	0.0427752	0.0570499	0.0563674	0.0483469	0.0381241	0.0206649	0.026437	0.00964481	0.0126064	0.00761743	0.0150779	0.0136947	0.0157186	0.0148022	0.0218352	0.0281199	0.0287132	0.0373435	0.0641229
doit	0.00726	0.00845014	0.00638247	0.00647381	0.0114756	0.0122319	0.0111986	0.0112416	0.0120566	0.0134998	0.0103008	0.0152515	0.0119637	0.0174214	0.0232805	0.036587	0.0470772	0.0373134	0.0498667	0.0537941	0.0611039	0.0802029	0.0394675	0.0697392	0.0594753	0.0309097	0.036474	0.0302785	0.0139078	0.0239117	0.00969173	0.0110827	0.00648843	0.00856635	0.00765851	0.00851351	0.00827094	0.0111626	0.0164301	0.0152688	0.0166646	0.0316043
de	0.0152126	0.0130415	0.0101244	0.0121361	0.00935224	0.0176575	0.0125319	0.0118158	0.0160239	0.0155251	0.0117559	0.0179299	0.0158528	0.0224586	0.0288069	0.046241	0.0530252	0.0334111	0.0399233	0.0404099	0.0529686	0.0609607	0.0365462	0.061751	0.0618793	0.0200489	0.0178756	0.01932	0.0074766	0.0108841	0.0055242	0.00580823	0.00716488	0.00622358	0.00499108	0.0069418	0.00745368	0.0138595	0.0152833	0.0180141	0.0405556	0.0752334
l'	0.0128147	0.00655215	0.00862201	0.00817951	0.0156949	0.0226066	0.0133969	0.015754	0.031934	0.0310171	0.0231714	0.0337999	0.033148	0.0478161	0.0496891	0.0736741	0.0811216	0.0444558	0.0322101	0.0260599	0.0191798	0.0194413	0.00875875	0.0208839	0.0285344	0.011523	0.00978806	0.0144482	0.00651189	0.0233221	0.00715007	0.00567809	0.0151948	0.0126022	0.0103874	0.01478	0.0141687	0.0161539	0.0153613	0.0183615	0.0363758	0.0596768
argent	0.0195219	0.023993	0.0205209	0.0181844	0.0124801	0.0136018	0.011276	0.0133066	0.0134153	0.0115404	0.0099686	0.00963658	0.0115904	0.0136625	0.019221	0.0242334	0.0339051	0.0309798	0.026395	0.0276076	0.0319754	0.0405534	0.0150423	0.020851	0.0167634	0.00977036	0.0137209	0.0133502	0.00898979	0.0298359	0.00709028	0.0104688	0.00969389	0.0155618	0.0186911	0.0257435	0.0256856	0.0389493	0.0353329	0.0475612	0.0827646	0.116564
</S>	0.0264054	0.0275421	0.0269409	0.0266221	0.0224453	0.0250467	0.0245058	0.0214516	0.0176344	0.0122718	0.0114406	0.0149327	0.0124323	0.0126997	0.014163	0.0179116	0.0240336	0.0246773	0.0256897	0.0338995	0.0270984	0.0358802	0.0129502	0.0170883	0.0129566	0.00984069	0.00987874	0.0103562	0.00765291	0.0324013	0.00428551	0.0107672	0.0116222	0.0220971	0.0198215	0.0273397	0.0270755	0.0362127	0.0450272	0.0416041	0.0610501	0.0942475
