 	w	a	á	t	ó	n	i	o	d	z	w	a	n	g	á	o	t	ó	m	á	m	é	k	á	á	n	á	</S>
il	0.0563024	0.108428	0.349847	0.326281	0.0651547	0.0307044	0.0109069	0.00175812	0.00206254	0.00136763	0.00255426	0.00303033	0.00328724	0.00340465	0.00305723	0.00310283	0.00312146	0.00304172	0.00309553	0.00245156	0.0021247	0.00192961	0.00191063	0.0023577	0.00231208	0.00270383	0.00265527	0.00104681
a	0.0162735	0.00701844	0.0105993	0.0226606	0.0523871	0.0423722	0.143379	0.117579	0.0632686	0.103137	0.184326	0.0684602	0.027188	0.0276527	0.0295144	0.0183724	0.0157516	0.00865757	0.00616795	0.00432912	0.00315149	0.00233139	0.0027023	0.00503467	0.00470734	0.00296191	0.004984	0.00503099
refusé	0.0127235	0.0193564	0.0135168	0.0200176	0.0228944	0.0125579	0.0236402	0.0295015	0.023771	0.04049	0.0199701	0.0256822	0.0500694	0.0990273	0.172267	0.0652289	0.0583949	0.0329109	0.018688	0.0331596	0.028082	0.0200162	0.0167251	0.0236735	0.0258774	0.0232069	0.0326531	0.0358982
de	0.0155535	0.0137341	0.0121699	0.0132572	0.0113699	0.0141769	0.0126671	0.0120815	0.0251949	0.0239968	0.0224266	0.0489426	0.0471198	0.0204264	0.0296218	0.0213901	0.0190437	0.0178205	0.0206383	0.0346912	0.056067	0.0668885	0.0517978	0.0516784	0.0547329	0.0754321	0.0548941	0.152186
faire	0.00789672	0.0103155	0.00799805	0.00706963	0.00942231	0.00795079	0.01587	0.0237336	0.0265724	0.0265903	0.026199	0.0266655	0.0401468	0.044769	0.0377276	0.0401725	0.0422275	0.0424257	0.0447879	0.0696158	0.0541922	0.0434409	0.0528634	0.0409291	0.050675	0.0667553	0.049862	0.0831256
ma	0.0059908	0.00708892	0.00761918	0.00555326	0.00759796	0.006436	0.0142504	0.0228207	0.020268	0.0203724	0.018494	0.018853	0.0282673	0.0247564	0.0324673	0.0409166	0.0420898	0.0421168	0.046338	0.0439166	0.0472938	0.0455676	0.054386	0.0633103	0.0704587	0.0579346	0.0759085	0.128927
com	0.00817293	0.00762281	0.0081719	0.00816461	0.01055	0.0184472	0.0128631	0.0136953	0.0148953	0.013187	0.0164269	0.0231231	0.0456014	0.0350494	0.0320752	0.0533387	0.0575975	0.0447362	0.0440595	0.0388717	0.0549796	0.0463113	0.0591436	0.0612983	0.0556199	0.0604116	0.0708892	0.0846967
mission	0.00885999	0.0062101	0.0102758	0.0130306	0.016473	0.0242323	0.0156825	0.0166015	0.0270945	0.0205963	0.0160695	0.0244971	0.0290525	0.0173774	0.0180862	0.0367675	0.0409483	0.0405377	0.0362407	0.0244698	0.0319316	0.040309	0.0498649	0.0623404	0.0650323	0.0812199	0.0989022	0.127296
par	0.0117128	0.0115757	0.0136609	0.0205215	0.0227597	0.0216926	0.0223739	0.0192055	0.0238289	0.0218439	0.0117535	0.0163913	0.0206072	0.016874	0.0186215	0.0289713	0.0409588	0.0382013	0.0486603	0.0370474	0.0475633	0.0416927	0.0536791	0.0535195	0.0743747	0.0749445	0.0760167	0.110947
canaillerie	0.00846692	0.00684475	0.00845535	0.0233059	0.024168	0.0246386	0.0271353	0.0260416	0.0317466	0.0271629	0.0153304	0.0260156	0.0395877	0.0170529	0.0154262	0.0263615	0.032999	0.0255979	0.0300441	0.0370192	0.049903	0.0517019	0.053813	0.0511939	0.0683018	0.0785412	0.0754448	0.0977001
</S>	0.00913196	0.00779546	0.00923913	0.0271349	0.0291814	0.0282862	0.0312669	0.0276679	0.0319933	0.0274677	0.0178547	0.0193452	0.0233914	0.0123859	0.0165806	0.0207848	0.0220534	0.0238943	0.0281291	0.0344693	0.0487631	0.0499894	0.0517051	0.0552961	0.0745836	0.0828914	0.0776966	0.111021
