 	e	l	é	é	s	í	l	í	y	é	é	l	é	é	s	í	b	á	a	a	s	á	l	i	m	b	ώ	n	g	ω	é	k	y	e	p	o	o	é	t	s	ω	e	s	ε	</S>
la	0.00811698	0.0090063	0.00719942	0.00626096	0.00539009	0.00513497	0.00636583	0.00774802	0.00935677	0.0129955	0.0467415	0.0624986	0.0841902	0.161874	0.111243	0.0400244	0.0509372	0.0420616	0.034655	0.0159377	0.0144519	0.0158832	0.0156061	0.00904721	0.010432	0.0136873	0.0103288	0.0106413	0.0136691	0.0105315	0.0138865	0.00811788	0.0102097	0.0104925	0.0078482	0.00915193	0.00862097	0.00799938	0.00700195	0.00692527	0.00772055	0.00981183	0.00878005	0.0121246	0.0192924
manière	0.00563151	0.0178858	0.0372869	0.0154528	0.00862194	0.0115365	0.0171728	0.0135822	0.0169994	0.0273244	0.0666824	0.0669493	0.0632831	0.109674	0.0980875	0.082133	0.0669022	0.0424522	0.0542897	0.0142908	0.0222034	0.0172735	0.0174178	0.0109154	0.00784761	0.00505572	0.00266062	0.00244915	0.00148342	0.00150871	0.00276111	0.00147951	0.00392424	0.00216148	0.0019752	0.00821681	0.0074569	0.00787632	0.0101699	0.00810773	0.0102268	0.00500168	0.0030999	0.00190928	0.00057945
dont	0.031641	0.0143208	0.0117257	0.00965288	0.0120984	0.015557	0.0217514	0.0158889	0.0118604	0.0181553	0.0222631	0.0302242	0.0252623	0.0299157	0.0366541	0.0378972	0.0593902	0.0544184	0.0718601	0.0538722	0.05129	0.0347797	0.055268	0.0253141	0.0150047	0.0114461	0.0146357	0.0118144	0.0108298	0.0136401	0.00698498	0.0141266	0.0121359	0.0168574	0.0156734	0.014127	0.0137532	0.0134678	0.0145009	0.0122912	0.0143661	0.00780083	0.00572703	0.00452436	0.00523131
ils	0.0613092	0.0670175	0.076567	0.032187	0.0283788	0.0256427	0.0203646	0.0160109	0.0105318	0.013532	0.0219544	0.0269594	0.0342924	0.0661559	0.0550009	0.0180291	0.028248	0.0302584	0.0247606	0.0282709	0.0281627	0.0401763	0.0357617	0.0279112	0.0136994	0.0105776	0.0125624	0.0147671	0.00721556	0.00655994	0.0105214	0.00824887	0.00891773	0.00592056	0.00778937	0.00943725	0.00384085	0.00263672	0.00191368	0.002341	0.00368426	0.0040079	0.00580307	0.00774607	0.0343258
ont	0.0458933	0.0383746	0.0427047	0.0441833	0.0404607	0.0390964	0.0316254	0.0280708	0.0207988	0.0222692	0.00812389	0.0120704	0.00992571	0.0123329	0.00955487	0.00650932	0.0194643	0.0220679	0.0305687	0.05457	0.042503	0.0606011	0.0395858	0.0336242	0.0218777	0.0206505	0.0245662	0.0192341	0.0104267	0.0119895	0.0112554	0.00944665	0.0117787	0.0150797	0.00921018	0.00903368	0.00671716	0.00599071	0.00787983	0.0087538	0.0100112	0.00923769	0.00808089	0.0154753	0.0383252
augmenté	0.0190882	0.0254781	0.0327011	0.0469318	0.0725905	0.0529806	0.0497108	0.0298178	0.0221046	0.0222695	0.0127973	0.0115429	0.00854852	0.00966669	0.0102235	0.00607489	0.00992131	0.00940543	0.0146737	0.0232725	0.0251994	0.0224709	0.0344071	0.0363242	0.0258907	0.0230343	0.0249978	0.0172246	0.0142349	0.0150495	0.0129269	0.0145887	0.0158854	0.0165458	0.0159386	0.0169367	0.00963727	0.00802276	0.0101812	0.0128327	0.0170439	0.0155327	0.0138603	0.0266734	0.0647607
les	0.0352389	0.0282232	0.0106361	0.0084309	0.0103273	0.0253069	0.0505981	0.0445037	0.0385201	0.0354361	0.0138537	0.0124135	0.0109493	0.0113793	0.00804353	0.0067548	0.005474	0.00798675	0.0130085	0.0226904	0.0160912	0.0271348	0.0211489	0.0244767	0.0116942	0.0122766	0.0155864	0.0224892	0.0263198	0.0253506	0.0248848	0.0256231	0.0223084	0.0196675	0.028289	0.0241316	0.016798	0.0172389	0.0209136	0.0213284	0.0235635	0.0248174	0.0321548	0.0300646	0.0658727
salaires	0.0170341	0.01829	0.0184656	0.0176918	0.0234323	0.0140518	0.0119584	0.0125978	0.0133374	0.0145727	0.0105341	0.0121371	0.00964485	0.00624922	0.00489833	0.0044266	0.004884	0.00448323	0.0063991	0.0084932	0.00706162	0.00939833	0.00887023	0.0115102	0.0100836	0.0138866	0.0140952	0.028164	0.0298562	0.029923	0.0361187	0.0347668	0.0336777	0.0319149	0.033742	0.0361669	0.0276097	0.0255662	0.0359795	0.0345371	0.0360745	0.0384547	0.0453064	0.0509856	0.102669
des	0.0487489	0.039256	0.0214249	0.0113068	0.0118569	0.0295017	0.0403356	0.0423145	0.0243167	0.0161571	0.00610449	0.0125805	0.0119832	0.0122836	0.0129502	0.00463597	0.0075675	0.00936795	0.00534066	0.0183456	0.0144554	0.0232122	0.00723805	0.0144251	0.00873392	0.00815412	0.0175621	0.0570408	0.015809	0.0255278	0.0288154	0.0262539	0.0285937	0.0272582	0.0344434	0.0334435	0.0162296	0.0126734	0.0135332	0.0162192	0.0232608	0.0220694	0.0340345	0.0227774	0.0818569
fonctionnaires	0.0553039	0.0331577	0.026894	0.0232664	0.0139501	0.00907489	0.00715719	0.00833067	0.0072741	0.0070466	0.0061388	0.00663443	0.00540165	0.00513694	0.00521057	0.00444397	0.00834975	0.00847917	0.0126082	0.0156408	0.0109173	0.0127515	0.0106089	0.013342	0.00915434	0.012915	0.00935569	0.0204782	0.0216848	0.0110806	0.0248374	0.0166921	0.018097	0.0110868	0.014998	0.0305682	0.0289284	0.0248832	0.0266365	0.0232543	0.0286171	0.03199	0.0753457	0.0892676	0.15301
