 	w	á	á	n	ω	o	k	o	n	g	í	í	o	t	í	i	s	í	w	a	l	á	a	y	a	a	w	a	a	n	ω	ω	p	ε	l	í	o	t	é	m	a	w	a	l	á	a	y	a	a	</S>
si	0.113954	0.0997518	0.0760894	0.0667491	0.0320375	0.0240575	0.0182644	0.0179067	0.012401	0.0126971	0.0140367	0.017722	0.0142304	0.0173747	0.0177801	0.0214571	0.0125001	0.0176582	0.023724	0.0158553	0.0195193	0.0112578	0.00650311	0.0115889	0.00895258	0.0121547	0.00215961	0.00331225	0.00173779	0.00278656	0.0034999	0.00594781	0.00430511	0.00820666	0.00446591	0.00873432	0.00834742	0.00938447	0.0135338	0.016978	0.0150607	0.019059	0.0180219	0.0208472	0.0198476	0.0187486	0.0231346	0.0236264	0.0223275	0.00970332
tu	0.208437	0.135062	0.0776172	0.0603305	0.0365777	0.0397156	0.0394163	0.0442424	0.0283156	0.0224101	0.0105273	0.0160175	0.0210255	0.0226264	0.0128555	0.0185791	0.00897846	0.0199044	0.0276298	0.0150295	0.019566	0.00918748	0.00645661	0.00584891	0.00171446	0.00900595	0.00592015	0.00438073	0.00373926	0.00311825	0.00464744	0.0037591	0.00517787	0.00400403	0.00174167	0.000862089	0.000499119	0.000734711	0.00128233	0.00327328	0.00307295	0.00335558	0.00347506	0.0023205	0.00277079	0.0018248	0.00150647	0.00333023	0.00563573	0.0124903
attends	0.0149784	0.0108466	0.0144879	0.0221711	0.0102419	0.0215456	0.0162009	0.0322178	0.0434149	0.0461053	0.0353411	0.0734302	0.0551332	0.041717	0.0218451	0.0186811	0.0184938	0.0335122	0.0204841	0.0207206	0.0211127	0.019531	0.0177759	0.0171008	0.00672389	0.00860929	0.00717578	0.00729276	0.00540056	0.00612437	0.00808486	0.0027302	0.00605406	0.00314135	0.00697963	0.00520118	0.00199665	0.00469685	0.00855379	0.0089686	0.0215169	0.0157651	0.028916	0.0412953	0.0231599	0.0168384	0.019442	0.0298799	0.0324414	0.0259221
encore	0.0256358	0.0220468	0.00904403	0.016987	0.0138024	0.0319452	0.0188697	0.0334003	0.0440922	0.0293159	0.027869	0.0210438	0.0311675	0.0289675	0.0216837	0.0348694	0.0309625	0.0367261	0.0375555	0.0164917	0.0303744	0.0177013	0.016132	0.0214993	0.00606782	0.00877953	0.00473017	0.0135253	0.0167183	0.0143237	0.0133813	0.0138016	0.0286152	0.0369389	0.0243461	0.0191741	0.0235216	0.0113254	0.0110282	0.0124731	0.00863236	0.00850082	0.00839742	0.00669029	0.0096022	0.00490899	0.00866905	0.00948582	0.0144742	0.0437054
un	0.0106135	0.0043258	0.00394058	0.00861002	0.0214168	0.0109137	0.0139301	0.0162329	0.0392917	0.066116	0.0465088	0.0531944	0.0525548	0.0453509	0.030321	0.0456132	0.0566984	0.0412625	0.0148788	0.00269588	0.00332765	0.0077459	0.00711986	0.0096133	0.00390856	0.00421252	0.00790859	0.0233666	0.033191	0.0216093	0.0149383	0.00857501	0.0100951	0.0151372	0.00689413	0.0073166	0.0101107	0.00718653	0.00646059	0.0166205	0.0128711	0.0277875	0.0279712	0.0289138	0.0140206	0.0223561	0.0140851	0.0125378	0.00916877	0.0204804
peu	0.0148564	0.00791006	0.0108891	0.017096	0.0217325	0.0235203	0.0317209	0.0553016	0.0319025	0.0252244	0.0306716	0.017728	0.00995022	0.00656937	0.00808134	0.00851975	0.0100125	0.0132584	0.0149762	0.0090135	0.0116276	0.0109298	0.0122907	0.0204523	0.0177844	0.0122505	0.00540729	0.00765913	0.0144216	0.0130778	0.00902118	0.0131756	0.0149609	0.0171193	0.00782022	0.00844094	0.0176027	0.0155744	0.0106001	0.0106674	0.0105912	0.0135892	0.0116913	0.0148493	0.0214954	0.0167434	0.0358404	0.0344692	0.0627977	0.158114
il	0.0152448	0.0152328	0.0108789	0.0167181	0.0230486	0.0196466	0.0298849	0.0445634	0.0613254	0.0651406	0.0825558	0.0593033	0.053227	0.0268428	0.0188045	0.0198696	0.0417597	0.0278081	0.0187543	0.00759943	0.00891815	0.00900042	0.0111663	0.0130173	0.011683	0.0127501	0.0104481	0.0165383	0.0172844	0.0138396	0.00913902	0.00921007	0.00904092	0.00532234	0.00461886	0.00291252	0.00286059	0.00293293	0.00331474	0.0119262	0.00738165	0.011053	0.0056475	0.00864126	0.00727798	0.00808942	0.0087619	0.00868184	0.0150088	0.0753244
va	0.0209073	0.0189644	0.0269726	0.0442175	0.0253231	0.0369845	0.0316209	0.0347426	0.0389829	0.03778	0.0828113	0.0245313	0.0236516	0.0176262	0.0141994	0.0191503	0.0183028	0.0218512	0.0152595	0.00610685	0.00930757	0.00596308	0.00913994	0.0156412	0.013893	0.019506	0.0152145	0.00964737	0.0192349	0.014427	0.0112493	0.0143837	0.0154167	0.00997971	0.00586411	0.00524126	0.00550239	0.0131374	0.0114882	0.0168392	0.00787357	0.0115264	0.00881657	0.00791059	0.0104656	0.00926196	0.0155827	0.0105111	0.0183161	0.0986727
venir	0.0214734	0.0172381	0.038156	0.0348892	0.0175249	0.0278952	0.0178157	0.0215956	0.0268848	0.0261008	0.0733973	0.019678	0.013524	0.00954814	0.00952377	0.0161492	0.0216606	0.0160879	0.0142007	0.00862707	0.0118898	0.00963748	0.0119939	0.015139	0.0187708	0.0218047	0.0129127	0.0160757	0.0261903	0.0210367	0.0169432	0.0214916	0.0172725	0.0221572	0.00822079	0.0155994	0.0218408	0.0205135	0.0138794	0.0152031	0.00932387	0.0124188	0.0137756	0.0120063	0.0158975	0.013284	0.0175553	0.0145649	0.0233282	0.0773024
</S>	0.0160463	0.0143305	0.0164251	0.0165585	0.0145511	0.0194242	0.0170882	0.0218683	0.0313493	0.0264077	0.0212952	0.0124523	0.00969296	0.0100397	0.00950544	0.0127056	0.0419228	0.0159405	0.0145239	0.0102242	0.0117243	0.0110535	0.0129611	0.0171453	0.00821402	0.0108839	0.00617809	0.0247618	0.0351396	0.0259374	0.0179347	0.0113433	0.0154329	0.0209984	0.00504167	0.00914197	0.00742949	0.00910959	0.0099259	0.0179139	0.0126945	0.0146087	0.0298226	0.0229563	0.038381	0.0172411	0.0298715	0.0417055	0.0554759	0.09662
