 	s	á	b	i	í	b	á	w	a	m	w	á	n	a	w	ó	a	d	i	m	b	í	t	á	á	</S>
dans	0.0214754	0.0222778	0.0580597	0.0449477	0.0281649	0.00782396	0.00889612	0.00606305	0.00743662	0.0201037	0.0222649	0.0419879	0.0235163	0.0347517	0.0245776	0.0415006	0.0792917	0.0891183	0.0835256	0.0753438	0.0688106	0.0452123	0.0444466	0.0478212	0.0311753	0.0214067
son	0.12545	0.116336	0.047058	0.0451312	0.042814	0.0341436	0.056245	0.0996339	0.0909775	0.0219445	0.0123282	0.00827039	0.0103788	0.0115324	0.0241208	0.0162211	0.0214266	0.0141265	0.00954135	0.0144984	0.0102217	0.0119195	0.021335	0.0174117	0.0242408	0.0926932
comportement	0.0246698	0.0185609	0.0164905	0.0161599	0.0213716	0.0458253	0.0348742	0.0300107	0.0182293	0.0167208	0.0338943	0.0170253	0.0141529	0.033628	0.0289888	0.0942203	0.147633	0.0337518	0.0913962	0.0687069	0.0727712	0.0383223	0.0198965	0.0205434	0.0198476	0.0223082
cet	0.0464238	0.0496787	0.0304341	0.019527	0.018842	0.0380277	0.0382711	0.0245133	0.0270215	0.0264272	0.0301607	0.0164876	0.0107925	0.0196735	0.0473646	0.04934	0.0471276	0.0192052	0.0399092	0.0515925	0.0541363	0.0481944	0.0492768	0.0437931	0.0726083	0.0811712
enfant	0.0381055	0.0439096	0.028515	0.0275322	0.0243114	0.0504906	0.058334	0.0471454	0.0514722	0.086312	0.0673147	0.0475951	0.0357349	0.0406999	0.0185908	0.0262563	0.0573008	0.0182037	0.0253824	0.0162818	0.0193426	0.0153092	0.0171945	0.0237882	0.01885	0.0960273
est	0.0885559	0.0380746	0.024051	0.0225275	0.0211642	0.0445591	0.0507138	0.0443217	0.0380618	0.0465983	0.0732278	0.0584208	0.0720794	0.0529128	0.0172345	0.0190194	0.0432896	0.00817619	0.0141842	0.0125559	0.0122062	0.0122034	0.0177718	0.0239558	0.0355565	0.108578
comme	0.121372	0.0465367	0.0396732	0.0360714	0.0352647	0.0337662	0.0358052	0.0323315	0.0238592	0.0315941	0.0494225	0.0408012	0.0198591	0.0219486	0.00933785	0.0253133	0.0173324	0.00573766	0.0115924	0.0220074	0.0163689	0.0212655	0.045148	0.0710114	0.0803438	0.106235
son	0.0591935	0.0447965	0.0323364	0.0287952	0.0277425	0.0387686	0.0334031	0.0365373	0.0287583	0.031441	0.0487196	0.0303966	0.023933	0.0385722	0.0211489	0.0504383	0.0670486	0.0200866	0.0569884	0.041789	0.0256816	0.0303922	0.0322534	0.0449826	0.0487691	0.0570273
père	0.0826898	0.0422342	0.0340843	0.033569	0.0300323	0.0227534	0.0234248	0.022268	0.0185908	0.0214115	0.0313874	0.0250815	0.0177036	0.0291503	0.0140287	0.0523484	0.0361605	0.00836195	0.0203209	0.0267661	0.0166975	0.0250126	0.0352587	0.0797194	0.0934682	0.157476
</S>	0.0910737	0.045987	0.0400803	0.0362295	0.0309019	0.03552	0.0364783	0.0360737	0.0285451	0.0131868	0.0207996	0.0120484	0.0148325	0.0217197	0.0157026	0.0289549	0.0404347	0.0140949	0.0298635	0.0313802	0.0238804	0.0358435	0.0311643	0.0618439	0.0944044	0.128956
