 	n	g	ó	o	á	b	έ	r	i	m	w	á	n	a	t	s	í	n	a	a	d	í	l	i	d	z	u	n	d	z	á	a	</S>
la	0.236678	0.152845	0.0261379	0.0223129	0.0217445	0.0162317	0.0157561	0.00803651	0.00845928	0.0225429	0.0146412	0.0191941	0.00614462	0.0105786	0.0158939	0.0435581	0.030728	0.0467103	0.019638	0.0109177	0.0106176	0.0101456	0.0134081	0.0100535	0.0120737	0.022527	0.0267463	0.0270739	0.0292932	0.0241831	0.0231896	0.018962	0.022978
mère	0.376547	0.175138	0.122361	0.0671119	0.0366211	0.0394157	0.0269444	0.0491113	0.0217664	0.0114206	0.00864307	0.0090206	0.00630365	0.00652583	0.000294337	8.57522e-05	0.000296739	4.44406e-05	8.75584e-05	0.000236819	0.00226424	0.00213655	0.00455318	0.00890843	0.00570919	0.0075622	0.00381538	0.00128893	0.00308588	0.00125705	0.00107211	0.000225889	0.000144242
a	0.016609	0.0268245	0.0493315	0.0386385	0.0377153	0.0291853	0.0411183	0.0583742	0.0442715	0.0273835	0.0778437	0.0518489	0.00884281	0.0153786	0.0287038	0.0372045	0.0315617	0.0269307	0.0160439	0.00832855	0.00989963	0.00953587	0.0060233	0.00821058	0.0113664	0.0514331	0.0315693	0.0570385	0.0395751	0.022303	0.0353286	0.0279499	0.0176278
levé	0.0269831	0.0152326	0.0193785	0.0250566	0.0343049	0.0223967	0.0290605	0.0308512	0.0302219	0.0268263	0.0314854	0.0279409	0.0295834	0.0291127	0.0213365	0.0173352	0.0353088	0.0389086	0.0236043	0.0201219	0.0205999	0.010666	0.00434632	0.00851514	0.0116901	0.0304012	0.0508577	0.0258327	0.0557163	0.0340296	0.0621873	0.0673457	0.0827619
la	0.0175199	0.0120926	0.0124537	0.0218845	0.0179396	0.015511	0.0193999	0.0239669	0.0280776	0.0275633	0.0229107	0.0260491	0.0253571	0.0176777	0.0205186	0.0229928	0.0336292	0.0346678	0.0372443	0.0466131	0.0757622	0.0498276	0.0390614	0.0468721	0.0508835	0.0268965	0.0277199	0.0203532	0.0264696	0.0256956	0.0310219	0.0312958	0.0640714
main	0.0175103	0.0104471	0.00782522	0.0117271	0.0131848	0.0100536	0.0111361	0.0116678	0.0147794	0.0162245	0.0227233	0.0217665	0.0288538	0.0263474	0.0267868	0.0347552	0.0310199	0.0422218	0.0381528	0.0392373	0.0449961	0.0394614	0.0361371	0.0450292	0.0442128	0.0645763	0.0435276	0.0414404	0.034806	0.053452	0.0349484	0.0360518	0.0449402
sur	0.018491	0.0121441	0.0075572	0.015173	0.015474	0.0153346	0.017186	0.0214671	0.0205686	0.0210873	0.0216787	0.0212538	0.0228943	0.0197081	0.0209115	0.0261943	0.0190772	0.0270827	0.0561521	0.0717537	0.0392889	0.0709361	0.0254283	0.06302	0.0356311	0.0631587	0.0300348	0.00760191	0.0211729	0.0202715	0.0263356	0.0568961	0.0690349
son	0.0286275	0.0197575	0.0166449	0.0213649	0.0283897	0.0251086	0.0268434	0.0244816	0.0425927	0.0359698	0.0343604	0.0431149	0.0466349	0.0207053	0.0307259	0.0458815	0.0222981	0.0335664	0.047272	0.035406	0.0538702	0.0523189	0.0103201	0.034592	0.0163732	0.0206314	0.0125668	0.00821197	0.0129747	0.0167882	0.0204675	0.0287681	0.082371
fils	0.0393476	0.0379559	0.0361855	0.0410062	0.0300057	0.0212439	0.0206621	0.0190277	0.0196435	0.0164457	0.0230218	0.0195374	0.0261992	0.0246329	0.0297428	0.026851	0.0344945	0.0357548	0.0388649	0.0382919	0.0164267	0.021026	0.00363467	0.00981674	0.00565976	0.0128685	0.0165518	0.00505679	0.0158231	0.0149466	0.0222695	0.0821988	0.194806
car	0.0262113	0.0211464	0.025881	0.0285184	0.02199	0.0151543	0.0135431	0.0111285	0.0132875	0.0115563	0.0128892	0.0141797	0.0207706	0.0169315	0.0222345	0.0188232	0.0274844	0.03161	0.0337214	0.0295725	0.0186287	0.0180257	0.00375729	0.0104044	0.00495331	0.0220365	0.0273922	0.00589253	0.0238081	0.0162722	0.0391611	0.144509	0.248525
celui-ci	0.0156479	0.012323	0.0126387	0.0139713	0.0138044	0.0127779	0.0132028	0.0136738	0.0112838	0.0107843	0.0121811	0.00872302	0.0101319	0.00674344	0.0105249	0.0102343	0.0102749	0.012315	0.0378187	0.0548797	0.0746141	0.0589984	0.0388777	0.0598951	0.046851	0.0584244	0.0643701	0.0252183	0.0530101	0.035692	0.0491066	0.0571774	0.07383
