 	b	á	n	a	á	k	o	b	h	í	i	b	v	é	é	m	í	y	á	m	a	a	l	á	n	g	ó	o	y	a	b	á	a	</S>
les	0.0458066	0.0275356	0.0313084	0.0320615	0.0304977	0.0112582	0.00966293	0.011519	0.0110428	0.00945609	0.0142818	0.0180541	0.0265909	0.0490739	0.0601381	0.0783968	0.0811424	0.0825407	0.0296683	0.0290742	0.0228695	0.0279532	0.0233671	0.0241006	0.0148733	0.0164827	0.022863	0.0209329	0.0249388	0.0326626	0.0263036	0.0234066	0.0184927	0.0116435
enfants	0.06996	0.100577	0.0657912	0.093746	0.0770322	0.0802961	0.0600671	0.0364961	0.0274573	0.0163526	0.0167082	0.0161477	0.014375	0.0140498	0.00846384	0.0104067	0.00914664	0.010028	0.0117574	0.0142404	0.0178274	0.0164977	0.0133867	0.0152241	0.0147393	0.0204176	0.0210499	0.0226765	0.026528	0.0316462	0.0188469	0.0137695	0.0120866	0.00220474
ont	0.0467341	0.0301994	0.0364461	0.0466997	0.0383672	0.0682487	0.0549606	0.0348734	0.0279501	0.0232352	0.0384862	0.0457874	0.0257249	0.0381372	0.0256024	0.0216442	0.026745	0.024021	0.0146192	0.0101066	0.0083089	0.0107995	0.0147917	0.0186202	0.0137699	0.0242637	0.0311431	0.0417857	0.0405919	0.0435614	0.0313421	0.0205121	0.0149032	0.00701814
préparé	0.015539	0.0194354	0.0184928	0.021353	0.0145167	0.0156692	0.0211454	0.0108513	0.0132666	0.0172168	0.022067	0.0276721	0.0421556	0.0328343	0.0363313	0.0315251	0.0381403	0.0295075	0.0465309	0.0286852	0.0466702	0.0278477	0.0464432	0.0346245	0.0350736	0.0353303	0.0429706	0.0428343	0.043875	0.0363328	0.0320117	0.0237895	0.0260719	0.0231892
un	0.0260977	0.0255216	0.0242196	0.0218789	0.0242701	0.02752	0.028977	0.0285392	0.0282792	0.0290942	0.0293413	0.0307827	0.0300526	0.0299505	0.0297028	0.0294236	0.0339158	0.0325632	0.0349288	0.0294825	0.030523	0.02123	0.0247387	0.0188866	0.02542	0.030625	0.0262558	0.0265449	0.0273353	0.0228205	0.0261408	0.0299925	0.0436621	0.0712835
fétiche	0.0176106	0.016254	0.0158745	0.0213663	0.025895	0.028613	0.0244445	0.0278981	0.0219416	0.0247464	0.0266857	0.0335865	0.0357588	0.0236723	0.0175666	0.0130986	0.0213377	0.017164	0.0200462	0.0343825	0.0326851	0.0274794	0.0427119	0.0458395	0.0442338	0.040154	0.0323826	0.0416134	0.0358312	0.0310246	0.0352387	0.02843	0.0366226	0.0578102
pour	0.0259744	0.0248151	0.027728	0.0277946	0.037977	0.0353019	0.0250916	0.0259199	0.0212981	0.0267795	0.0305944	0.0324982	0.0381613	0.0252486	0.0213851	0.0198497	0.0346757	0.0250579	0.0288161	0.0484681	0.0502978	0.0423202	0.0521629	0.0362768	0.0325833	0.0205936	0.0130495	0.0214597	0.0138319	0.00938203	0.0171655	0.0106739	0.0270757	0.0696922
venger	0.0218985	0.0217314	0.0201916	0.0192069	0.0238534	0.0262716	0.0285799	0.0333882	0.0279325	0.0229603	0.0288954	0.0259418	0.0234287	0.0166563	0.0119489	0.00967981	0.0132502	0.0119726	0.0160408	0.0160336	0.0190808	0.025828	0.0269522	0.0324497	0.0380425	0.0390366	0.0274208	0.0361802	0.0320726	0.0325757	0.0443801	0.0411685	0.0698358	0.115114
leur	0.0375763	0.0259462	0.0256811	0.0232296	0.0264039	0.0223214	0.0165527	0.0111931	0.00935012	0.00943088	0.0101146	0.00970328	0.00855487	0.0112372	0.0105824	0.0116636	0.0161441	0.0161804	0.0217414	0.0204264	0.0233304	0.0231314	0.0204868	0.026269	0.0346028	0.0352861	0.0499678	0.0555341	0.0611032	0.0537073	0.069895	0.0493378	0.0713187	0.081996
defunte	0.0500993	0.033082	0.0363931	0.0282696	0.0284134	0.0178205	0.0113764	0.0108746	0.00969707	0.01138	0.0118246	0.0102458	0.00918248	0.0108804	0.010943	0.0153205	0.0213235	0.0211177	0.0308907	0.0292419	0.0266375	0.0257695	0.0195813	0.0302574	0.0263754	0.0239941	0.0230718	0.0314961	0.0351682	0.0352974	0.0616461	0.0341856	0.0829031	0.13524
mère	0.0282151	0.0183456	0.019198	0.0157754	0.0196648	0.0177571	0.0130606	0.0118242	0.00862987	0.00778447	0.00892477	0.00718396	0.00765601	0.0071207	0.00792419	0.0100291	0.0113558	0.0125682	0.0235993	0.0260116	0.0277779	0.0426598	0.0439475	0.0623931	0.0633871	0.0608833	0.0432821	0.03998	0.0395826	0.0472539	0.0567693	0.0419295	0.066056	0.0814691
</S>	0.0501277	0.0354052	0.0389605	0.0267389	0.0406365	0.0364109	0.0244242	0.0195251	0.0102968	0.0105281	0.0124739	0.00934519	0.00841106	0.00979844	0.00937777	0.0118258	0.0168186	0.0147648	0.0197328	0.0175638	0.0197034	0.0320005	0.0232079	0.034471	0.0357313	0.0344954	0.0445628	0.0410698	0.0439854	0.0453192	0.0513492	0.044168	0.057032	0.0697381
