 	b	e	a	b	í	b	í	i	d	w	z	a	m	b	v	á	a	n	g	a	l	a	b	í	i	b	í	i	d	w	z	a	m	b	v	á	a	a	p	é	n	d	i	</S>
cette	0.0173797	0.0234095	0.0121439	0.00694958	0.0088734	0.00920866	0.00868906	0.022818	0.0206754	0.0535273	0.0680669	0.0846314	0.0343032	0.0286656	0.0231076	0.0206387	0.0210912	0.0202757	0.017853	0.0132073	0.0116896	0.0154812	0.013454	0.0126377	0.0110818	0.0092038	0.0119139	0.0125498	0.0110779	0.0168395	0.0123404	0.00983117	0.0130628	0.0183255	0.0232165	0.0262547	0.0356189	0.0281021	0.0369397	0.024432	0.0457719	0.0240796	0.0356243	0.0249561
nourriture-ci	0.064808	0.119488	0.163188	0.19636	0.154675	0.035575	0.0386792	0.02311	0.0144916	0.00829924	0.012767	0.00634368	0.00742063	0.00367446	0.00229237	0.00133125	0.00114297	0.00131425	0.00278864	0.0038765	0.00122619	0.00498311	0.00505679	0.00631498	0.00508488	0.00543483	0.011168	0.00953169	0.00806406	0.00347597	0.00718486	0.00953651	0.0119336	0.00897865	0.00437468	0.00309512	0.0068212	0.00431574	0.00354039	0.00378293	0.00544797	0.00537704	0.00282947	0.000815421
ira	0.14319	0.0582397	0.0369152	0.0314426	0.0228517	0.0243526	0.016807	0.0145253	0.0176165	0.0129406	0.018411	0.0186344	0.016723	0.0145173	0.0103208	0.0098476	0.0135115	0.00721698	0.00628559	0.00982894	0.0102995	0.00433246	0.00321059	0.00460173	0.0146178	0.0100546	0.0190533	0.0132214	0.0262398	0.0186257	0.018641	0.017992	0.0409417	0.0408372	0.0530632	0.0427036	0.0390962	0.0354946	0.0323222	0.0187847	0.0123556	0.00408239	0.0103339	0.00491715
chez	0.018615	0.0316362	0.0265508	0.0236357	0.0240557	0.0242697	0.0269214	0.024896	0.02934	0.0195703	0.0224355	0.0238907	0.0195592	0.0256034	0.0362925	0.0230858	0.0296351	0.0258266	0.0223195	0.024498	0.0228773	0.0209506	0.0164727	0.0215772	0.0322796	0.0230911	0.0245489	0.030037	0.0347937	0.0215085	0.0198926	0.0160302	0.0150599	0.0122302	0.0135092	0.0141124	0.0151428	0.015587	0.0152786	0.0155966	0.0158113	0.021726	0.024597	0.0346526
ngala	0.0186404	0.0192339	0.0217002	0.0304793	0.0315189	0.0310711	0.0317569	0.0340991	0.033021	0.0160213	0.020391	0.0228501	0.0287246	0.0277903	0.0414292	0.0209997	0.0272362	0.0172182	0.0132476	0.025847	0.0228939	0.0132704	0.00992567	0.0120132	0.0281021	0.0259167	0.0195491	0.029339	0.0417392	0.0361522	0.0305375	0.0211438	0.0213435	0.0147641	0.0126522	0.0135328	0.015449	0.0144586	0.0127618	0.012589	0.0131185	0.0162491	0.0182836	0.0309392
celle-là	0.00769785	0.00869828	0.0128192	0.0172295	0.0183476	0.0153436	0.0149205	0.0254651	0.0302604	0.0107508	0.0179852	0.0235452	0.012489	0.015239	0.012575	0.0132201	0.0174436	0.014648	0.0136183	0.0221337	0.0381732	0.0141468	0.0128265	0.0201828	0.0498739	0.0496148	0.0500764	0.0377596	0.0477714	0.0248551	0.0256115	0.0295311	0.0224953	0.0213443	0.0191865	0.0256228	0.0167313	0.016909	0.014627	0.0199325	0.0184968	0.030029	0.0284581	0.0413143
ira	0.0252681	0.0188867	0.0195393	0.0195545	0.0253473	0.0139222	0.0147777	0.017704	0.0198062	0.0154459	0.020332	0.0188476	0.0210383	0.0176298	0.0153844	0.0191409	0.0154426	0.0206658	0.0399512	0.0340539	0.0330946	0.0524698	0.0419925	0.0415236	0.0269596	0.0357468	0.0274866	0.0221931	0.0163225	0.0171133	0.0172472	0.0162116	0.0128461	0.0193454	0.0150899	0.0154782	0.0147352	0.0115667	0.0138849	0.0107947	0.0188428	0.0187481	0.0337982	0.0537703
chez	0.0124741	0.0107114	0.0089939	0.0126171	0.0119935	0.00990202	0.00844614	0.00615957	0.00831356	0.00608646	0.00655446	0.0060799	0.00636967	0.00835887	0.00905828	0.00681302	0.00957874	0.0127428	0.0140563	0.0220247	0.0311419	0.0292845	0.0313375	0.0326364	0.0353082	0.0457111	0.0394997	0.0285432	0.0396815	0.0253862	0.0249026	0.0257919	0.0219204	0.036792	0.0363898	0.0394463	0.0349534	0.0308114	0.0341659	0.0263374	0.0389589	0.0393717	0.0364461	0.0378473
apéndi	0.012624	0.0129208	0.0110401	0.013233	0.0137948	0.0078091	0.00629492	0.00732157	0.0117761	0.00895466	0.0088881	0.00852608	0.0071203	0.00898582	0.00680076	0.00939468	0.0115218	0.0101432	0.0091664	0.0269332	0.0455358	0.0330532	0.0303143	0.0319502	0.0501777	0.0630768	0.048089	0.0370176	0.0361831	0.0216024	0.0155588	0.0205193	0.0131681	0.0155541	0.0189027	0.0219877	0.0236048	0.0268358	0.0266033	0.0293113	0.0346817	0.0523197	0.0542597	0.0364432
</S>	0.0249628	0.016626	0.014022	0.0118935	0.010063	0.00648959	0.00551059	0.00548657	0.00531613	0.00515145	0.00532732	0.00462628	0.00606954	0.00733214	0.00896345	0.00689622	0.00917811	0.0141544	0.0123182	0.0222572	0.024854	0.0265749	0.0315757	0.035074	0.0287255	0.0304336	0.038546	0.029168	0.0298218	0.0221391	0.0246021	0.0296901	0.0199145	0.0186971	0.0183215	0.028354	0.0377709	0.0403268	0.0451189	0.0433432	0.0481262	0.0489486	0.0471005	0.0501287
