 	n	g	á	í	m	o	d	z	w	á	o	t	έ	b	h	έ	i	t	s	a	t	s	a	s	á	n	g	o	n	d	a	</S>
je	0.223346	0.224679	0.163524	0.0824069	0.0247758	0.0268189	0.00881314	0.0101532	0.0144211	0.0203624	0.0147306	0.0244677	0.012856	0.00985551	0.0104027	0.0116148	0.00990057	0.00970272	0.00818082	0.00863695	0.00810947	0.00678057	0.00587713	0.00559749	0.00570472	0.00611689	0.00717241	0.00721252	0.00703667	0.00662728	0.00645848	0.00765714
m'	0.101308	0.104186	0.0889559	0.0851994	0.0415116	0.0239492	0.0187718	0.0315819	0.0343605	0.0504901	0.0552816	0.0560679	0.0639547	0.0447862	0.027375	0.0244509	0.0271832	0.0246513	0.019237	0.0126602	0.00845182	0.00775463	0.008313	0.00862035	0.0048192	0.00373926	0.00354148	0.00146328	0.00174559	0.00207376	0.00450798	0.00900676
en	0.0428385	0.0370158	0.0209183	0.0363912	0.0549163	0.0309713	0.0482841	0.0140261	0.0213542	0.0234826	0.0437998	0.0289991	0.0485073	0.025943	0.0427266	0.061836	0.0471974	0.0467385	0.0533503	0.0316136	0.0223939	0.0217843	0.0223962	0.0214866	0.0166684	0.019305	0.017208	0.015114	0.0204948	0.0213217	0.0226103	0.0183068
vais	0.0200534	0.0127179	0.0156599	0.024246	0.0168206	0.0136547	0.0209134	0.0154718	0.0271856	0.0306707	0.0461409	0.0410546	0.0491358	0.037748	0.0385272	0.0384791	0.037531	0.0359028	0.0317216	0.0252491	0.0180153	0.0168579	0.0195118	0.032355	0.0415393	0.0483111	0.0455276	0.0320161	0.0431986	0.037169	0.0335243	0.0530896
au	0.00520212	0.00316642	0.0041601	0.00492254	0.00731618	0.0138815	0.0142397	0.0117351	0.0114975	0.0104817	0.0128491	0.0132276	0.02053	0.0153406	0.0132788	0.0190244	0.0167003	0.0261149	0.0551573	0.0553563	0.0630137	0.0622275	0.0629347	0.0526883	0.0657356	0.0543192	0.046551	0.0336828	0.0487363	0.0430433	0.0485862	0.0842992
champ	0.00694918	0.00771176	0.00977111	0.0110539	0.0116862	0.0151069	0.0113359	0.00894793	0.00771216	0.0109293	0.0321068	0.0330944	0.0414696	0.0215435	0.010046	0.0106647	0.010772	0.0136974	0.0281838	0.0377385	0.0391474	0.0474485	0.0460205	0.0570381	0.0638487	0.0620955	0.0440016	0.047322	0.0561229	0.0513624	0.0540011	0.0910703
couper	0.0057103	0.0052503	0.00801331	0.00689233	0.00665289	0.0135905	0.00817028	0.0108259	0.00741628	0.00956933	0.0119499	0.0124799	0.0222364	0.0205878	0.0149347	0.0201827	0.0201295	0.0278469	0.0455969	0.0475735	0.0549328	0.0587809	0.0600468	0.0557355	0.0551994	0.0584927	0.0435901	0.0448	0.0526263	0.0558751	0.0533905	0.0809203
des	0.0206909	0.0141548	0.00744266	0.00898298	0.0119271	0.0201139	0.0156973	0.0210243	0.00981876	0.010484	0.0189676	0.0186569	0.0305885	0.0283292	0.0251757	0.0276688	0.02642	0.0361261	0.045446	0.0395234	0.0496587	0.0544588	0.0540578	0.041093	0.0508005	0.0486916	0.0358348	0.0369573	0.0409713	0.0421057	0.0425895	0.0655422
branchettes	0.0163031	0.0146971	0.0189026	0.0221354	0.0169311	0.0112217	0.0110573	0.00662861	0.00522157	0.00349305	0.00461291	0.00795768	0.010642	0.011807	0.0146118	0.0176297	0.0186792	0.0254259	0.0321419	0.0275744	0.0274074	0.0472303	0.0414336	0.0432789	0.0493642	0.0651234	0.0502263	0.0463489	0.0634271	0.0703893	0.0719698	0.126127
à	0.0486588	0.0351024	0.0245483	0.032133	0.0335083	0.0281768	0.0288587	0.0290889	0.00834644	0.00553412	0.00707104	0.00886089	0.0226916	0.0222623	0.0298613	0.0358837	0.0303981	0.0328758	0.0378342	0.0345587	0.0302236	0.030792	0.0302374	0.0300201	0.0275437	0.0373294	0.0271304	0.0207184	0.0213327	0.0436873	0.0430098	0.121722
brûler	0.045009	0.0323538	0.022871	0.02851	0.0348574	0.0241672	0.0269681	0.0200783	0.0146567	0.00826569	0.0134478	0.0182088	0.0186239	0.0177776	0.018724	0.0227177	0.017256	0.01997	0.0214921	0.0223969	0.0172496	0.0261595	0.0315968	0.0307732	0.024654	0.0444761	0.0491828	0.0385016	0.0460613	0.0622761	0.0719301	0.108787
</S>	0.0152213	0.0137334	0.01253	0.0156569	0.0151158	0.0133195	0.0142072	0.0142857	0.00820329	0.0116471	0.0171577	0.0223782	0.0341935	0.0428492	0.0403246	0.0316078	0.0366293	0.0299501	0.0370096	0.0326364	0.0381878	0.0367322	0.0385045	0.0289046	0.0303842	0.0463942	0.0311741	0.0410498	0.0404141	0.0534178	0.0601865	0.0959934
