 	o	b	e	n	g	i	á	b	ω	b	h	i	i	k	á	s	i	y	í	k	ω	m	í	k	a	n	g	a	l	á	n	y	a	m	a	</S>
le	0.00840325	0.0117166	0.00926827	0.00957811	0.00911732	0.0121933	0.0163038	0.0170025	0.0183823	0.0219467	0.0243814	0.0270204	0.0285775	0.0262105	0.0156304	0.025873	0.00790145	0.00839944	0.00634948	0.00873245	0.0129942	0.00739818	0.0222656	0.0209424	0.0352332	0.0473555	0.0376133	0.0535832	0.0559196	0.0623728	0.0594859	0.066479	0.0781724	0.0518633	0.0418269	0.0335067
chasseur	0.0387276	0.105553	0.0390173	0.0262723	0.0183132	0.056108	0.0523707	0.0739291	0.0901356	0.0939846	0.0805042	0.109359	0.0457344	0.0148716	0.00429185	0.00911	0.00633208	0.0059881	0.00825328	0.0087898	0.00941314	0.0145763	0.0093878	0.00642834	0.00663994	0.00386547	0.00488137	0.0080597	0.00517749	0.00665687	0.0137649	0.00937107	0.00630592	0.00398896	0.00224619	0.00159115
a	0.0256953	0.0202841	0.0189095	0.0180332	0.0285782	0.0257825	0.0363268	0.0295921	0.025711	0.0303085	0.0136044	0.00991374	0.0115423	0.0160081	0.016968	0.0346356	0.0305352	0.0230631	0.0175838	0.020614	0.0252279	0.0167426	0.0423228	0.0501551	0.0702679	0.0704327	0.0741115	0.05328	0.0338637	0.0305564	0.0248879	0.0182336	0.0144106	0.00996005	0.00793978	0.00391819
flétri	0.0195293	0.0275586	0.0288219	0.037316	0.0311629	0.0496488	0.0445168	0.0365851	0.0257805	0.0216472	0.0154211	0.0115504	0.0148523	0.0218812	0.023862	0.021138	0.0316616	0.0476485	0.0525232	0.0590704	0.0484323	0.0521525	0.0512404	0.0258126	0.0186484	0.0152292	0.0189541	0.0135386	0.0116161	0.0164721	0.00981698	0.0114852	0.0124779	0.0159827	0.0190405	0.0369246
des	0.0367973	0.0300216	0.0281059	0.0149882	0.0140033	0.0140097	0.0159694	0.0152379	0.0128736	0.0167925	0.0131273	0.0149782	0.0146045	0.02506	0.0321868	0.0399876	0.0477432	0.0418272	0.0505979	0.0622643	0.0702857	0.0572758	0.0449095	0.0237345	0.0335785	0.0172677	0.0236759	0.0113709	0.0131004	0.0209919	0.00858105	0.0117497	0.0105797	0.0166622	0.0243764	0.070684
feuilles	0.021317	0.0237037	0.0237268	0.022657	0.0207796	0.0191254	0.0166762	0.0170963	0.0140018	0.0109265	0.00853118	0.00969534	0.00620892	0.0063073	0.0105673	0.0134273	0.0548782	0.0719305	0.101399	0.0547154	0.0630115	0.0936134	0.0460074	0.033803	0.0298211	0.0215237	0.0261732	0.0163818	0.0162104	0.0158095	0.0206216	0.0160424	0.0142905	0.0141066	0.0154148	0.0294987
du	0.0290092	0.0189007	0.0175434	0.0174199	0.0169157	0.0159263	0.0159114	0.0173096	0.0168561	0.0197888	0.0178104	0.0195439	0.0210329	0.0209836	0.0340759	0.0355633	0.0672194	0.0671527	0.0899237	0.069268	0.0645914	0.0703016	0.0405152	0.0213574	0.024735	0.018529	0.0170816	0.00856174	0.00807663	0.0112507	0.00775775	0.00649536	0.00757944	0.00782887	0.0167705	0.0404127
bananier	0.0380105	0.0248077	0.0246747	0.0231035	0.0158576	0.0117319	0.010331	0.0137512	0.0154227	0.0178521	0.0193095	0.0202418	0.0136054	0.0116879	0.0152938	0.0125363	0.0312206	0.0388788	0.0521628	0.0364139	0.0310886	0.044052	0.0212939	0.0149282	0.0109465	0.0160814	0.0145817	0.034088	0.0311173	0.027856	0.0455995	0.0445319	0.0252936	0.0287013	0.0594262	0.10352
pour	0.150296	0.0529205	0.0386647	0.0377062	0.0294504	0.0283284	0.0252165	0.0151134	0.0121167	0.0159907	0.0166418	0.0162385	0.0188321	0.017216	0.01572	0.0418581	0.0650723	0.0536636	0.048917	0.0548014	0.0270097	0.0378435	0.0164833	0.00898424	0.00798872	0.00897062	0.00726254	0.00783515	0.00737265	0.0097308	0.00652823	0.00929891	0.00767168	0.00726359	0.0195821	0.0554097
emballer	0.17128	0.0540908	0.0286753	0.0292379	0.025693	0.010947	0.00876527	0.00755991	0.0081351	0.0112045	0.0114464	0.00827338	0.00900162	0.00843059	0.00971398	0.0372933	0.0411871	0.0417575	0.0423556	0.0369367	0.0205461	0.0243452	0.0154769	0.0125138	0.0141105	0.0163349	0.0196771	0.015254	0.0222284	0.0235556	0.017073	0.0217196	0.0159463	0.0189891	0.0477645	0.0924805
la	0.0678915	0.0341232	0.0184128	0.0181076	0.0165521	0.00791407	0.00746821	0.0067456	0.00700628	0.00800532	0.00869101	0.00787018	0.00783405	0.00799548	0.00941459	0.0194488	0.0315854	0.0388797	0.0437049	0.0291743	0.0137474	0.0203105	0.0136485	0.0155523	0.0131515	0.0146689	0.0160999	0.0186226	0.0335967	0.039701	0.0469382	0.0477232	0.0455585	0.0478403	0.100398	0.115617
viande	0.055768	0.0401409	0.026279	0.028773	0.0242081	0.00651336	0.004287	0.00353108	0.00373891	0.0042943	0.00474316	0.00417655	0.0041553	0.00442279	0.00604099	0.0149423	0.0204718	0.0255888	0.0291763	0.0188223	0.00914411	0.0112564	0.0120876	0.0144672	0.0117763	0.0230557	0.0194671	0.0512053	0.0655778	0.0549928	0.0530724	0.0683806	0.0299403	0.0345954	0.0933691	0.117538
