 	o	t	a	a	w	á	á	o	t	u	m	b	ú	o	l	ω	n	g	ώ	p	e	n	á	k	i	l	i	l	á	b	a	l	e	í	k	o	b	h	í	m	í	á	</S>
il	0.00932777	0.0117159	0.0368421	0.0875186	0.0754018	0.0802035	0.0666959	0.0378819	0.0431653	0.0365861	0.0313947	0.0225768	0.0499505	0.0270021	0.0213247	0.0169312	0.0155698	0.0120152	0.0202311	0.0117209	0.00599973	0.00484882	0.00299509	0.00424328	0.00612749	0.00449509	0.00531559	0.00727399	0.00620993	0.00915365	0.00663608	0.00767669	0.006513	0.00888857	0.0159775	0.0157231	0.0166826	0.0216138	0.0261225	0.0226161	0.036218	0.0244628	0.0201504
ne	0.0944305	0.0613876	0.066263	0.0505613	0.0255562	0.0347635	0.0297588	0.0242297	0.0287089	0.088741	0.020133	0.0171129	0.0358796	0.031912	0.0206561	0.0388971	0.0214201	0.0768717	0.04665	0.0322173	0.018566	0.0171927	0.0177311	0.0197389	0.0124953	0.00641372	0.00571913	0.00431522	0.00633372	0.00373491	0.00285839	0.00311666	0.00392284	0.00213104	0.00234052	0.0039636	0.00470862	0.00478045	0.00253025	0.0025081	0.00145104	0.00293307	0.00436441
faut	0.0572506	0.0579228	0.0414601	0.0311917	0.0238965	0.0159858	0.0253449	0.0173991	0.0122842	0.0136149	0.0171755	0.0104225	0.0204268	0.0162875	0.0267971	0.0342176	0.0534338	0.05341	0.0379447	0.0395456	0.0260285	0.0384119	0.0699333	0.0391314	0.0240581	0.0345144	0.0250363	0.0145601	0.0240991	0.014755	0.00851494	0.00718723	0.0096816	0.00534498	0.00419395	0.005107	0.00529971	0.00539957	0.00437094	0.00558183	0.00582974	0.00710624	0.00984228
pas	0.0411733	0.0297769	0.0216351	0.0140201	0.00975667	0.0114947	0.0145274	0.0117318	0.0234965	0.0276799	0.0172866	0.0196807	0.0289336	0.0256623	0.0192325	0.0370912	0.0318712	0.0361748	0.048692	0.0442436	0.0299286	0.0300376	0.0225282	0.0441105	0.0198471	0.0334521	0.021965	0.03132	0.0326654	0.035169	0.0257401	0.025539	0.0425671	0.0167582	0.0157669	0.00797311	0.00681675	0.00751639	0.00400789	0.00664304	0.00414772	0.00950671	0.0118325
enflammer	0.0100643	0.00560713	0.00616469	0.00490757	0.0036064	0.00555266	0.00847993	0.00623164	0.00986009	0.00933099	0.00684812	0.00878732	0.0107822	0.0249605	0.0176171	0.0419596	0.0323409	0.0612395	0.0627909	0.0606994	0.0489464	0.0483218	0.0492719	0.0667372	0.0498102	0.0519924	0.0349676	0.0273268	0.0359081	0.0193239	0.018628	0.015956	0.0247738	0.0199516	0.0124872	0.0100301	0.0106575	0.00754823	0.00854097	0.00920897	0.00947171	0.0123472	0.00996154
la	0.0220383	0.0141428	0.0194708	0.0165245	0.0150318	0.0130992	0.014443	0.0109297	0.0125536	0.015007	0.00976275	0.0105771	0.014827	0.0149061	0.0125699	0.0179135	0.0158988	0.0279582	0.0695354	0.0579954	0.0602481	0.0553264	0.0255346	0.0459242	0.0720269	0.0374849	0.019619	0.0249295	0.0367327	0.0222958	0.0129277	0.023574	0.0296546	0.016561	0.0122263	0.00944734	0.0120477	0.00745595	0.00801693	0.0069266	0.00605331	0.01309	0.0367114
savane	0.0267917	0.0223876	0.0143386	0.0118096	0.0111008	0.00819847	0.00711008	0.0078146	0.00737343	0.0122679	0.010234	0.00933812	0.00766683	0.0108488	0.0089941	0.0139813	0.00988825	0.0103025	0.0424771	0.0475444	0.0410877	0.0408118	0.0313518	0.0279362	0.0190099	0.0256403	0.036196	0.0484916	0.032362	0.0382981	0.0336463	0.0324515	0.0215477	0.0266975	0.0289729	0.0234098	0.0206972	0.0138956	0.0188311	0.0172508	0.0278405	0.0367041	0.0564014
de	0.0421081	0.0320725	0.0195108	0.015105	0.0133416	0.00962544	0.010025	0.0125986	0.0115941	0.0212954	0.0175205	0.0208001	0.0194151	0.0220866	0.0259039	0.0301669	0.020374	0.0168652	0.0343907	0.0289761	0.0288255	0.0317692	0.0257708	0.0286097	0.020635	0.0234937	0.032764	0.0442493	0.0349971	0.0283497	0.0219265	0.0254651	0.0272607	0.0220072	0.0145541	0.0148368	0.0166683	0.0144151	0.014302	0.0142354	0.0159407	0.0189946	0.0561537
peur	0.040404	0.0168345	0.0128203	0.00998143	0.0055249	0.00343244	0.00239211	0.00277358	0.00374579	0.00527488	0.00530691	0.0065994	0.00646947	0.00692346	0.0113983	0.0157247	0.0132029	0.0167764	0.0434633	0.0395742	0.0492461	0.0410445	0.0287456	0.0395748	0.072153	0.0403667	0.0239355	0.028202	0.042642	0.0307697	0.0347894	0.0402208	0.0471844	0.0301538	0.0239702	0.0186555	0.0238493	0.0180237	0.0157938	0.0139814	0.0142532	0.0201481	0.0336734
que	0.0277406	0.0135472	0.0112962	0.0081766	0.00465757	0.0027076	0.00290767	0.00262197	0.00380793	0.00358968	0.00258355	0.00294125	0.00384615	0.0027469	0.00375825	0.00828273	0.0118632	0.0167717	0.0520074	0.0642299	0.0524218	0.0562655	0.0263946	0.0375095	0.054232	0.034426	0.0299464	0.0358002	0.040214	0.0447609	0.0444584	0.0428579	0.0438147	0.0293172	0.021951	0.014425	0.017494	0.0157975	0.0183585	0.0136045	0.0154855	0.0218981	0.0384829
