 	m	w	á	n	a	a	d	í	l	o	k	y	e	n	g	e	l	i	s	á	s	u	é	</S>
l'	0.00833133	0.0127873	0.0566806	0.0590709	0.0130519	0.006635	0.0251729	0.0516166	0.0305146	0.0379578	0.076109	0.0658051	0.0868078	0.115283	0.114505	0.0562755	0.0295209	0.0331889	0.0290593	0.0237096	0.0210498	0.0183761	0.0143277	0.0141635
enfant	0.135401	0.180412	0.0664335	0.1447	0.172134	0.139924	0.0969748	0.0178921	0.0175327	0.00695678	0.00820559	0.00495663	0.00202371	0.00109555	0.00180447	0.000662833	0.000821515	0.00064219	0.000375761	0.000214525	0.000258267	0.000146556	0.000149618	0.000281439
a	0.0631922	0.057477	0.0600476	0.058883	0.0452125	0.041987	0.0242728	0.032418	0.0412472	0.0567027	0.0430653	0.0519103	0.0337105	0.0430932	0.0506467	0.0662842	0.0652795	0.0319183	0.0310502	0.0214722	0.0215295	0.0238253	0.0158794	0.0188952
des	0.0522491	0.0232827	0.00932084	0.0159694	0.0167684	0.0341094	0.0450996	0.0228932	0.0136507	0.024834	0.0277576	0.0311974	0.0633062	0.086872	0.0587192	0.0421961	0.0625302	0.0501531	0.0782839	0.0499706	0.0644411	0.0414982	0.0457921	0.0391047
traces	0.135878	0.0339955	0.0305256	0.0233246	0.0266202	0.0280576	0.0168828	0.0174848	0.0174503	0.0214778	0.0155721	0.0139447	0.0186379	0.0231203	0.0284153	0.038358	0.0343314	0.0415195	0.0444315	0.0481033	0.0530035	0.061099	0.0697616	0.158004
de	0.068107	0.0378384	0.0313607	0.0243857	0.0253439	0.0257674	0.0269055	0.0372869	0.0398963	0.0451401	0.0392789	0.0469947	0.0505698	0.0612659	0.052114	0.0430145	0.0327243	0.0223945	0.0363363	0.039923	0.0355091	0.0236704	0.030988	0.123185
rasages	0.0340182	0.0269569	0.0358242	0.0258157	0.0286472	0.0198132	0.0155677	0.0227715	0.0176327	0.0323492	0.0251527	0.0316053	0.0440382	0.0375777	0.0377791	0.0552109	0.0468939	0.0536608	0.0523562	0.059464	0.0645317	0.0662997	0.0708542	0.0951791
sur	0.0649582	0.0375109	0.0320755	0.0331727	0.0277046	0.0206983	0.022448	0.0402379	0.0321788	0.0382192	0.0337565	0.0368261	0.0451747	0.0401279	0.0424388	0.0333823	0.0250672	0.0274297	0.0396967	0.0489201	0.0439092	0.0401884	0.0563063	0.137572
sa	0.0854751	0.049607	0.0398016	0.0406526	0.0531683	0.0465809	0.0229298	0.0131662	0.00713045	0.012248	0.0141071	0.0184417	0.017985	0.0125756	0.0158685	0.0375324	0.0323749	0.0344536	0.0448516	0.0595679	0.0625509	0.0496395	0.100589	0.128702
tête	0.0361834	0.0207382	0.0222482	0.0205331	0.0222122	0.01254	0.00758996	0.00742452	0.00655619	0.0250903	0.0246112	0.0337346	0.0463985	0.0355671	0.0284692	0.0454191	0.033058	0.0270301	0.0492305	0.083645	0.0615279	0.0604323	0.126434	0.163326
</S>	0.239529	0.055069	0.0240666	0.0303068	0.0197919	0.0190921	0.00726268	0.00222416	0.00328474	0.00468282	0.00629565	0.0184051	0.021311	0.01783	0.032202	0.0496358	0.0507844	0.0403324	0.0349436	0.0399197	0.0416886	0.0333794	0.0725233	0.135439
