 	a	p	f	é	é	b	á	a	k	y	á	b	v	u	m	b	u	s	a	b	á	n	d	z	a	m	b	é	y	é	é	m	i	y	a	á	l	a	b	á	a	s	á	p	o	o	b	h	á	</S>
les	0.0704033	0.0587187	0.054089	0.0518246	0.034188	0.035012	0.054036	0.0336756	0.0334625	0.0288589	0.061056	0.0398279	0.0704243	0.035923	0.0324439	0.0271204	0.0268276	0.015315	0.014874	0.00801809	0.00637964	0.0103649	0.00528963	0.00421359	0.00183427	0.00257677	0.00190424	0.00372317	0.00291916	0.00357394	0.00379575	0.00334991	0.00347345	0.00328951	0.0038662	0.00354302	0.00515501	0.00446577	0.0081396	0.00765215	0.00768652	0.0121023	0.0108021	0.01123	0.0154825	0.01444	0.0125705	0.0125539	0.0151344	0.0123894
jeunes	0.0299827	0.0501218	0.0713751	0.067796	0.0721717	0.0480773	0.0342925	0.0376303	0.0437728	0.0368622	0.0399145	0.0418186	0.0428986	0.0241313	0.0154343	0.0154389	0.0129675	0.00637701	0.007392	0.00770102	0.0067504	0.00591308	0.00984887	0.00670824	0.00862217	0.00656976	0.00692474	0.00821265	0.00700158	0.00725329	0.00775407	0.00563458	0.0066683	0.00555374	0.00695748	0.00805207	0.00843536	0.0139369	0.0179531	0.01414	0.0162583	0.0151498	0.0131111	0.0162029	0.0174151	0.0177782	0.00851375	0.00920498	0.0072822	0.00403734
gens	0.0532536	0.031347	0.0261841	0.0323687	0.0314992	0.0248574	0.0280357	0.0360715	0.0416764	0.0400818	0.0559694	0.0760195	0.0639495	0.0493504	0.0460762	0.0343886	0.0261556	0.0246793	0.0195593	0.0162149	0.0124482	0.015683	0.00905342	0.0133718	0.0119876	0.00910554	0.0142646	0.0109194	0.00755424	0.00745888	0.00877023	0.00889747	0.00699796	0.0062237	0.00513862	0.00428538	0.00404964	0.00455033	0.00539767	0.00405322	0.00527912	0.0059407	0.00550215	0.00887712	0.0113362	0.0123278	0.00551162	0.00598478	0.00603642	0.00525515
font	0.0085237	0.0140729	0.0186403	0.0198973	0.0226232	0.0182514	0.0239577	0.0271415	0.0158634	0.0149079	0.0380709	0.0341836	0.0292034	0.0230715	0.0212336	0.0133963	0.00912214	0.014859	0.0122457	0.0150805	0.0233413	0.0217615	0.0241646	0.0169605	0.0139409	0.0186117	0.0179963	0.0113688	0.0164863	0.0150822	0.0193586	0.0183141	0.0165396	0.0226835	0.0266694	0.025752	0.0212376	0.0188463	0.0171366	0.0155735	0.0199805	0.0294048	0.0190238	0.0293087	0.0428566	0.0253088	0.0129131	0.0124526	0.0143182	0.0182615
de	0.013927	0.0147127	0.0148591	0.0156953	0.0149728	0.0141483	0.014198	0.0119647	0.0144768	0.0147299	0.0137436	0.0158418	0.0157733	0.0158393	0.015781	0.0161535	0.0163092	0.0173544	0.0177125	0.0172864	0.0228418	0.0226315	0.0276153	0.0192336	0.0200402	0.0228741	0.0253205	0.0197867	0.021481	0.0221028	0.0246968	0.025994	0.0201052	0.0245793	0.024068	0.0243741	0.0188348	0.0171935	0.0138027	0.0126462	0.0167576	0.017136	0.016382	0.017912	0.0198668	0.0229359	0.0279582	0.0339025	0.0401282	0.0513195
la	0.0172719	0.0149476	0.0152844	0.0175045	0.0182954	0.0178431	0.0180412	0.0157934	0.0189887	0.0182306	0.0200697	0.0244437	0.0312545	0.0230584	0.0226551	0.0234881	0.022366	0.0227868	0.0213467	0.0188701	0.0209923	0.0196822	0.0250987	0.0108744	0.0144042	0.0144724	0.0151648	0.0105326	0.0130934	0.012256	0.0148617	0.0181128	0.0133836	0.0172005	0.0187688	0.0187965	0.0198046	0.0174137	0.0158986	0.0177001	0.0206637	0.0222369	0.0206429	0.024372	0.0256074	0.0275911	0.0285382	0.0295413	0.0302877	0.0394668
propagande	0.00731066	0.00654755	0.00580424	0.00502117	0.00525269	0.00537108	0.00605138	0.0059095	0.0102183	0.00946971	0.00678502	0.0107966	0.0128945	0.00998731	0.0112875	0.0126585	0.0139363	0.0176507	0.0225517	0.0245087	0.0369883	0.0414543	0.0295935	0.0350381	0.0287994	0.0261549	0.0275598	0.0342958	0.0271296	0.0398482	0.034897	0.0259452	0.034112	0.0335767	0.0307735	0.0323413	0.0231973	0.025666	0.022107	0.0198659	0.0162695	0.018423	0.0206492	0.0187195	0.0162019	0.0150849	0.0124402	0.0138253	0.0196546	0.0293753
pour	0.00574101	0.00497817	0.00463955	0.00464585	0.00569028	0.00440843	0.00434678	0.00498878	0.00888455	0.00754356	0.00601901	0.0107898	0.00783979	0.00932367	0.0091136	0.00973049	0.0105014	0.0121052	0.0141239	0.0160421	0.0253743	0.0297477	0.0240202	0.0325897	0.037973	0.0378589	0.0560206	0.0604305	0.0472995	0.0553373	0.0375283	0.0284067	0.0515353	0.0527099	0.0429361	0.045214	0.0351176	0.0190128	0.00956747	0.0122065	0.00953367	0.00753644	0.00495379	0.00419875	0.00499662	0.00587277	0.00722586	0.00929853	0.0120672	0.031974
l'	0.012525	0.00863639	0.0116098	0.0136841	0.0127571	0.00956079	0.00998888	0.00845885	0.00860186	0.007369	0.00518912	0.00495139	0.00631042	0.00829428	0.00876326	0.0091677	0.00918306	0.0116877	0.0132998	0.0125618	0.0135906	0.0189978	0.0193756	0.0207596	0.0275511	0.0332129	0.0564451	0.0351879	0.0350819	0.0328019	0.0302743	0.0494777	0.047156	0.0334621	0.0300918	0.0286724	0.024526	0.0176944	0.0125826	0.0154177	0.013831	0.0149824	0.0155812	0.0154039	0.0191377	0.0241418	0.024375	0.0283432	0.0297431	0.0395009
église	0.0127734	0.0118307	0.0137855	0.0120246	0.00937056	0.00572467	0.00348316	0.00266757	0.0029268	0.00291201	0.00263957	0.00312815	0.00360677	0.00469776	0.00486169	0.0056439	0.00612006	0.00805617	0.00920342	0.00946681	0.0128033	0.017588	0.0165219	0.0213131	0.0289525	0.0296307	0.0410682	0.0295905	0.0285995	0.0265948	0.0222632	0.0330875	0.0318559	0.0245654	0.0256753	0.0241079	0.020528	0.0243741	0.0217355	0.0283773	0.0287252	0.0299214	0.0339622	0.0273343	0.0284085	0.0321972	0.0317898	0.0386007	0.042788	0.0621169
