 	n	g	á	b	í	s	í	l	a	n	g	ó	l	ó	m	i	l	é	m	i	l	o	n	a	a	</S>
nous	0.0783247	0.218168	0.275827	0.173582	0.119161	0.0255546	0.0122884	0.0086941	0.00525521	0.00383361	0.00297408	0.00256505	0.00329496	0.00430729	0.00874273	0.00965529	0.00967045	0.00995939	0.00806382	0.00462231	0.00410863	0.0026984	0.00186799	0.00235447	0.00273306	0.0016939
nous	0.0228995	0.0118438	0.0094059	0.0165098	0.0182056	0.0219298	0.0319136	0.0589109	0.151532	0.121014	0.0926874	0.11595	0.0619686	0.0615447	0.0545456	0.0358175	0.0296004	0.0334238	0.0093822	0.00399069	0.00493584	0.00210193	0.00379947	0.00618925	0.00880547	0.0110926
sommes	0.0775269	0.068959	0.0354662	0.0375559	0.0518012	0.0556771	0.0466492	0.0324478	0.031107	0.0277908	0.0332273	0.0264255	0.0401178	0.0597961	0.040941	0.0397783	0.0238726	0.0178502	0.0171912	0.0159305	0.0180592	0.0268709	0.0462001	0.0422621	0.0502162	0.0362798
séparés	0.0168289	0.0121309	0.0114089	0.0117104	0.012376	0.0139168	0.0225627	0.0171443	0.0415599	0.0578081	0.086196	0.109173	0.0762344	0.0628735	0.0402718	0.0439958	0.0343733	0.0365479	0.0428566	0.0376587	0.0328715	0.0276913	0.0272362	0.02165	0.0340383	0.0688849
depuis	0.00842828	0.008989	0.00946575	0.00913404	0.00869517	0.00968385	0.0114346	0.0310419	0.0391665	0.0440771	0.0398935	0.0337921	0.0333212	0.0257115	0.0388026	0.0548969	0.0396974	0.0586976	0.0732641	0.0548841	0.0428414	0.0504677	0.0577491	0.0499514	0.0619084	0.104005
longtemps	0.0187634	0.0258379	0.026001	0.0190567	0.0165337	0.0150381	0.0160413	0.018577	0.0255996	0.0247516	0.0261792	0.0295119	0.0307727	0.0297873	0.0468517	0.055284	0.0535948	0.0566222	0.0542894	0.0540372	0.054472	0.0565658	0.064544	0.0375492	0.0618544	0.0818837
mon	0.0857971	0.0383815	0.0188508	0.0174196	0.01799	0.0247737	0.0234009	0.0219082	0.0268388	0.0301209	0.0289021	0.0276122	0.0284695	0.0349424	0.0302646	0.0333566	0.0236942	0.0321707	0.0310672	0.0371444	0.0377902	0.0637064	0.0640069	0.0653445	0.0743018	0.0817446
oncle	0.036278	0.0345098	0.0338927	0.0341342	0.0339015	0.031089	0.0243079	0.0221589	0.0223446	0.0190356	0.0241469	0.0229428	0.0351525	0.0343444	0.0461714	0.0402926	0.0332438	0.0471044	0.0395968	0.0296464	0.0381983	0.0308854	0.0457051	0.0547855	0.0790929	0.107039
et	0.0393923	0.0184282	0.0165235	0.0167055	0.0298988	0.0318233	0.0331813	0.0342561	0.0353137	0.0347601	0.0332621	0.034695	0.0348802	0.032307	0.0278443	0.0218695	0.0200564	0.0321809	0.0288624	0.0208595	0.0249949	0.0291312	0.0520116	0.0863573	0.102882	0.127523
moi	0.058897	0.0324895	0.0174213	0.0179489	0.0238637	0.0238405	0.023227	0.0229613	0.0238134	0.0275625	0.0267976	0.0193238	0.026598	0.0283768	0.0235082	0.020502	0.0245718	0.0293646	0.0219726	0.0200025	0.0229611	0.0376222	0.088995	0.0978321	0.145951	0.0935951
</S>	0.139692	0.0350647	0.0188587	0.0166424	0.0315176	0.0335105	0.0296687	0.0212616	0.0228752	0.0239936	0.0253917	0.0186367	0.0309759	0.0369798	0.0262136	0.0194744	0.0174862	0.0191292	0.0147342	0.00946452	0.0118104	0.0239633	0.0840438	0.072759	0.12093	0.094923
