 	m	w	á	n	a	y	e	e	d	í	l	o	t	é	m	a	a	d	i	m	í	á	o	d	u	m	a	k	a	á	</S>
un	0.00734252	0.0131474	0.0118302	0.00834251	0.0155871	0.0168134	0.00773776	0.00741711	0.0157056	0.010822	0.0316133	0.0229112	0.0637852	0.0898003	0.12901	0.0984589	0.0279479	0.0208798	0.0165821	0.015692	0.0180597	0.0207991	0.0207147	0.0335049	0.0350373	0.037476	0.0390223	0.0494878	0.0417431	0.0468414	0.0258879
enfant	0.038659	0.0220329	0.0253064	0.0516114	0.104186	0.146558	0.257087	0.0697927	0.0469662	0.0706876	0.0186992	0.011175	0.00827372	0.00352902	0.00144936	0.00232272	0.00969026	0.017335	0.0114424	0.0100414	0.0199905	0.011614	0.0122775	0.00550032	0.00818063	0.00584123	0.00232609	0.0023946	0.00104833	0.00213623	0.00184487
avide	0.0259636	0.0275575	0.0267847	0.0204427	0.0168083	0.0166743	0.0325476	0.0206294	0.0131058	0.0251445	0.0175863	0.0234583	0.053309	0.0483842	0.0786731	0.109049	0.0634652	0.0364355	0.0371194	0.0332267	0.0264091	0.0163734	0.0326621	0.0207252	0.0344265	0.035382	0.02647	0.0195573	0.0245438	0.0203817	0.0167043
n'	0.0124233	0.00562693	0.00885326	0.00539708	0.00372409	0.00662912	0.0229555	0.0173814	0.0152702	0.0578608	0.0432851	0.0416017	0.0408917	0.0360732	0.0315019	0.0320887	0.0289242	0.0325976	0.0479597	0.101491	0.0646985	0.0843271	0.0524114	0.0359694	0.0230329	0.0238894	0.0167104	0.0204322	0.0206465	0.0199274	0.0454186
a	0.0566921	0.0127805	0.0106221	0.00771875	0.00811024	0.00955971	0.0201486	0.0161701	0.0173571	0.0227977	0.0221696	0.0351621	0.0294366	0.0272266	0.024361	0.0299154	0.0500748	0.086185	0.107146	0.122957	0.0626221	0.0495212	0.0327937	0.0241817	0.0159475	0.0133108	0.00839807	0.00878537	0.0134774	0.0125174	0.0418548
pas	0.0285832	0.0150091	0.0113281	0.0161967	0.0230195	0.0167793	0.0292647	0.025351	0.0289502	0.0294958	0.0196915	0.0180029	0.021978	0.0277584	0.0206539	0.0227782	0.0251298	0.0399574	0.0584693	0.0928495	0.0819976	0.049207	0.0315422	0.0514502	0.0534247	0.0262993	0.0225455	0.0224078	0.0223005	0.0209766	0.0466019
peur	0.0412938	0.0358984	0.0241884	0.0441988	0.0525355	0.0244123	0.0232109	0.0211095	0.0184624	0.0159268	0.0123877	0.011359	0.011052	0.012574	0.0112235	0.0165036	0.0164335	0.0241606	0.0410263	0.0473099	0.0303407	0.0262882	0.035687	0.0378832	0.0713574	0.054149	0.0443076	0.0421566	0.0331194	0.0513045	0.0681394
du	0.0370831	0.0286757	0.0320468	0.0231623	0.0281851	0.0196066	0.0166563	0.016232	0.0137846	0.0113317	0.00971222	0.0103413	0.0122265	0.0169043	0.0201526	0.0262009	0.020788	0.0212835	0.0284426	0.0360688	0.0304822	0.0264366	0.0285911	0.0387889	0.0553721	0.0501377	0.0597432	0.0641067	0.0604486	0.0727706	0.0842372
feu	0.0698186	0.0704543	0.0666839	0.0456498	0.0354754	0.0305314	0.0197063	0.0177802	0.0179037	0.0165911	0.0153104	0.0199419	0.0285294	0.0403566	0.0426496	0.0513867	0.0488853	0.0338382	0.0322607	0.016927	0.0145289	0.00399109	0.00297657	0.00343941	0.00486733	0.0107916	0.0086946	0.0175971	0.00993598	0.0555806	0.146916
</S>	0.0839584	0.0564249	0.0487662	0.0415957	0.0387927	0.0193811	0.0215229	0.0189519	0.0195514	0.0211845	0.0165611	0.0278428	0.0266303	0.0349435	0.0306352	0.0252644	0.019304	0.0215046	0.032974	0.0510732	0.0248623	0.0211132	0.0196023	0.0140249	0.011627	0.0174273	0.0114916	0.0214238	0.0211359	0.0448116	0.135617
