 	b	ó	n	d	á	i	b	έ	n	d	z	i	m	á	m	o	r	o	y	e	é	y	a	a	w	ó	</S>
écoute	0.0415665	0.0272213	0.0312217	0.0361047	0.051356	0.0311872	0.0508713	0.0250126	0.0381311	0.0264242	0.0187988	0.0318004	0.0594992	0.0513052	0.0547488	0.0489638	0.0306355	0.0347422	0.0383108	0.0401142	0.0395437	0.0427531	0.0427011	0.0406549	0.0287252	0.0206366	0.0169697
le	0.124977	0.0999324	0.0746413	0.0390812	0.0505819	0.0351149	0.0274929	0.0275442	0.0309969	0.0495761	0.0489757	0.0385781	0.0353412	0.0637744	0.0370579	0.0204141	0.0204723	0.0165562	0.0166214	0.0206193	0.0181741	0.0192588	0.0155659	0.0161668	0.0164009	0.0193275	0.0167564
bruit	0.0758456	0.0545299	0.0313542	0.0158792	0.0173298	0.031606	0.0670715	0.0955938	0.0981247	0.0877456	0.056195	0.0205815	0.027162	0.0249621	0.00914565	0.0139206	0.0225867	0.027627	0.0361337	0.0173301	0.0254142	0.0189964	0.0169711	0.0173289	0.0159231	0.0279865	0.0466552
de	0.0711926	0.0560259	0.0455231	0.0346351	0.0443311	0.0305116	0.0229802	0.0229949	0.0234509	0.031982	0.046594	0.0408609	0.0368554	0.0508572	0.0375346	0.0352874	0.0650557	0.0339355	0.037988	0.0207556	0.0162562	0.0129724	0.0114565	0.0128217	0.0349842	0.0461262	0.0760312
pas	0.138262	0.0705658	0.0509833	0.0431921	0.0379205	0.0321817	0.0285942	0.0183688	0.013641	0.0119639	0.0167233	0.0168351	0.0156088	0.0191727	0.0193068	0.0225911	0.0222896	0.0188794	0.0272641	0.0218611	0.0253634	0.0303444	0.0400142	0.0345484	0.0617711	0.0450074	0.116746
de	0.103974	0.0640072	0.057453	0.0626362	0.0720055	0.0961161	0.0530674	0.0268348	0.0270549	0.0243984	0.0151349	0.0203576	0.0115011	0.0177376	0.0157895	0.0157056	0.0263553	0.0172254	0.0210626	0.020795	0.0238882	0.0306021	0.020797	0.0259444	0.033462	0.0324083	0.0636862
cet	0.0762959	0.0520638	0.048546	0.049196	0.0738033	0.0703937	0.0527793	0.0302014	0.019943	0.0175644	0.0132651	0.0134478	0.00981598	0.0124869	0.0137035	0.0186336	0.0274172	0.0240366	0.0322681	0.0278458	0.0331378	0.038879	0.0383657	0.0401182	0.0474282	0.0375486	0.0808152
homme	0.135968	0.0715101	0.0743101	0.0587439	0.0573913	0.0436306	0.0288949	0.0270093	0.0141527	0.0270176	0.0226798	0.0261587	0.0237318	0.0313454	0.0294261	0.0286498	0.0484983	0.0246068	0.0230615	0.0117104	0.0118955	0.0134331	0.00779901	0.0151293	0.0225389	0.020924	0.0997832
qui	0.105249	0.061644	0.0446218	0.0403625	0.0536437	0.0351981	0.0236913	0.00749594	0.00447745	0.00683626	0.00649381	0.00580787	0.0179383	0.0147891	0.0295939	0.0337958	0.0364019	0.0219831	0.0273599	0.0218685	0.0359766	0.0451713	0.0242185	0.0361561	0.0610414	0.0668906	0.131293
arrive	0.124607	0.0467148	0.0258685	0.0218232	0.0315735	0.0210749	0.0178761	0.00937599	0.0094928	0.00877757	0.00939811	0.00919085	0.0101708	0.0121899	0.0155795	0.0262545	0.0239391	0.0204429	0.0254804	0.0294749	0.0421593	0.0476841	0.0230153	0.0437019	0.0662531	0.0992972	0.178584
</S>	0.0906941	0.0479662	0.0298419	0.0270006	0.0322836	0.0214633	0.0161968	0.0068862	0.00486838	0.0041477	0.00537731	0.00456724	0.00920368	0.00944872	0.0142321	0.0230317	0.0215877	0.022872	0.0312036	0.0300549	0.0515041	0.0484286	0.0355508	0.0805461	0.098955	0.101822	0.130266
