 	e	s	ó	n	d	ó	é	d	i	e	b	v	u	m	á	y	á	t	s	ω	l	a	m	b	v	u	m	a	b	á	p	i	p	i	s	á	m	w	ε	</S>
l'	0.0127582	0.0154355	0.0161859	0.0127922	0.00993015	0.0141497	0.0151561	0.0148733	0.0175154	0.0298293	0.0321534	0.0320106	0.0351382	0.022408	0.0290343	0.0310408	0.0209415	0.0190735	0.0191627	0.0157373	0.0187739	0.0186602	0.0155571	0.028414	0.0204512	0.016692	0.0197338	0.0105665	0.0260308	0.0251515	0.0371104	0.0357096	0.035141	0.0413939	0.044936	0.0455647	0.0541213	0.037776	0.0262994	0.0265908
esondo	0.0587144	0.0576761	0.0365404	0.0469309	0.0235543	0.0317605	0.0268265	0.0460661	0.0509802	0.0573128	0.0296256	0.012648	0.0144908	0.0103689	0.0275449	0.0364787	0.0502772	0.01857	0.0221718	0.0161992	0.0115433	0.014932	0.00604183	0.0108337	0.0154998	0.0101962	0.012107	0.00561757	0.01161	0.00409915	0.0160617	0.0462175	0.034485	0.0513517	0.0155858	0.0148897	0.0220032	0.0103222	0.00678805	0.00507723
est	0.0365223	0.0228964	0.0196946	0.023135	0.0226	0.0159526	0.0106817	0.0128576	0.010398	0.0162611	0.0158547	0.0166286	0.0250729	0.016674	0.0243375	0.0360422	0.0314174	0.0198879	0.0259623	0.0178374	0.0217307	0.0299837	0.0303848	0.0278929	0.0423088	0.0380186	0.0320536	0.0230921	0.0348049	0.025673	0.0503508	0.0350612	0.042085	0.0464831	0.0443138	0.020611	0.0116646	0.00998762	0.00968223	0.00310343
un	0.0573162	0.0598405	0.0502491	0.0571756	0.0631757	0.0648556	0.0323942	0.0396117	0.0271951	0.0323271	0.0316619	0.0292371	0.0232732	0.0200163	0.0189481	0.0169086	0.0190443	0.0142487	0.0193823	0.0238648	0.0282576	0.0324208	0.0221799	0.0159017	0.0243283	0.0205155	0.0131504	0.0092037	0.00747081	0.00355496	0.00519137	0.00711432	0.00405893	0.0121929	0.0110383	0.00676263	0.0143051	0.0151016	0.023381	0.0231439
fruit	0.0330908	0.0119469	0.00898821	0.00586052	0.00740251	0.0097785	0.0114659	0.0212867	0.0229378	0.0139209	0.012666	0.0151359	0.0117101	0.0125765	0.0194274	0.0191668	0.0228394	0.0267345	0.0226697	0.0227455	0.0180625	0.0344211	0.0247405	0.0333568	0.0419607	0.0235043	0.0324086	0.0197783	0.0293419	0.0160976	0.0505063	0.0813651	0.0433441	0.0582126	0.0348306	0.0158775	0.0331638	0.0252934	0.0272986	0.0240854
rouge	0.0481621	0.0402195	0.0335038	0.0252395	0.0294625	0.0302467	0.0303359	0.0380983	0.037442	0.0450143	0.0438913	0.0402441	0.0330834	0.032416	0.01308	0.0184836	0.0165197	0.0144793	0.0216628	0.02885	0.0213306	0.0320232	0.0271876	0.0262805	0.0228544	0.0179523	0.0224345	0.011816	0.012604	0.010777	0.0146026	0.0104058	0.0127595	0.0116142	0.0167502	0.0113329	0.0176875	0.0154744	0.023049	0.0406289
avec	0.0129099	0.0184144	0.0263489	0.0160445	0.0206458	0.0208112	0.0217626	0.0243481	0.0292322	0.0256064	0.0293928	0.032959	0.0260234	0.0241655	0.00927429	0.0105415	0.0163734	0.0167241	0.0232293	0.0280206	0.0182145	0.0357658	0.0440733	0.0365748	0.0502173	0.0392473	0.0405255	0.0213045	0.0220618	0.0167021	0.0320886	0.029571	0.0235069	0.0167937	0.0211057	0.0151147	0.0174768	0.0129938	0.0373398	0.0364941
des	0.0457523	0.0360747	0.0266449	0.0218901	0.0262974	0.0202895	0.0180581	0.0224414	0.0235017	0.0208628	0.0221488	0.0249157	0.0210782	0.031927	0.0142091	0.00909059	0.0136618	0.0165834	0.0299451	0.0333238	0.0338078	0.0467285	0.0587132	0.0410561	0.0347494	0.0445538	0.0383628	0.0242576	0.0126353	0.00897864	0.0112502	0.0131696	0.00897523	0.0121895	0.0106185	0.00961063	0.0105718	0.0139132	0.0239375	0.0632244
pepins	0.0617601	0.0359886	0.017026	0.00907161	0.00314063	0.00214842	0.00293891	0.0032865	0.00437572	0.00479676	0.00440197	0.00641457	0.00694274	0.0144131	0.0154816	0.0135902	0.0159488	0.0257085	0.0363627	0.0369615	0.0524876	0.0534637	0.0676154	0.0633832	0.0388486	0.0562303	0.0537791	0.0348972	0.0199914	0.010408	0.00561021	0.00613655	0.0070646	0.00957244	0.00938204	0.0109952	0.0181645	0.023116	0.0342326	0.103863
noirs	0.0703674	0.055545	0.0373564	0.0210527	0.00889684	0.00407951	0.00558866	0.00525431	0.00577594	0.00546935	0.00698041	0.00925009	0.010108	0.0182072	0.00773869	0.00492766	0.0058083	0.0104476	0.0210688	0.0211808	0.0290455	0.0340021	0.0530715	0.0500293	0.0365035	0.0445133	0.049013	0.0339681	0.0216579	0.0168133	0.00849274	0.00887622	0.0124759	0.0100812	0.0156128	0.0175952	0.0257731	0.0301465	0.0454095	0.121816
</S>	0.0530362	0.0460448	0.0300325	0.0174749	0.00610278	0.00264058	0.00310753	0.00325201	0.00323468	0.00369784	0.00405899	0.00428786	0.00489007	0.00769819	0.00665676	0.00729647	0.00892557	0.0132816	0.0238576	0.0247688	0.0300387	0.0271056	0.0337595	0.0242059	0.0352264	0.0397539	0.0373041	0.0363841	0.0291572	0.0273372	0.0168748	0.0226976	0.020215	0.0242655	0.0228153	0.0235783	0.0323716	0.0528965	0.0694522	0.120215
