 	n	y	ω	s	í	a	d	i	s	í	b	o	a	</S>
l'	0.00314261	0.00368412	0.00194882	0.002269	0.00351278	0.00594886	0.0142353	0.0269283	0.0405052	0.0882025	0.178537	0.211037	0.198128	0.221921
oiseau	0.0565516	0.141214	0.29854	0.160783	0.0899528	0.0783518	0.0653106	0.0791495	0.0151423	0.00516652	0.00356632	0.00137843	0.000949376	0.00394336
est	0.0817208	0.088138	0.0955822	0.143162	0.115645	0.147044	0.0730383	0.0734012	0.0441447	0.0445492	0.0320597	0.0166852	0.0171383	0.0276914
dans	0.0753696	0.0700924	0.0737282	0.0745162	0.100971	0.0578334	0.100292	0.0514774	0.0411149	0.0545003	0.0949954	0.0988923	0.0680683	0.0381489
le	0.0736384	0.0590635	0.0580548	0.0556918	0.0574978	0.0476362	0.0450028	0.0427159	0.0404654	0.0440546	0.0639393	0.122807	0.132429	0.157004
trou	0.0484933	0.0405303	0.0371	0.0395584	0.0442329	0.0278473	0.0261325	0.0259305	0.0285818	0.0561728	0.148124	0.192232	0.156366	0.128699
dans	0.0549062	0.0359492	0.0396263	0.0407032	0.0322918	0.0176912	0.021341	0.0304921	0.0245564	0.0376792	0.0769061	0.130395	0.145634	0.311828
l'	0.125009	0.0875037	0.0722378	0.0551598	0.0563336	0.0537823	0.0420267	0.0360106	0.0212915	0.0229001	0.0483322	0.103354	0.0966683	0.17939
arbre	0.284225	0.1814	0.142952	0.0643572	0.0466895	0.0215071	0.0157373	0.00890719	0.00548277	0.00796497	0.02599	0.0503706	0.0370315	0.107385
</S>	0.335607	0.231671	0.152269	0.079351	0.032652	0.0188177	0.0146703	0.00800491	0.00600443	0.00987315	0.0259169	0.036139	0.0173115	0.0317115
