 	a	n	y	ω	s	í	b	á	a	p	f	u	b	h	á	m	í	b	í	a	l	ó	s	w	έ	m	b	ε	t	s	í	n	a	d	í	a	í	d	í	l	a	m	b	í	a	m	b	v	έ	m	b	v	έ	</S>
les	0.0654397	0.0261317	0.00941999	0.00391505	0.00555956	0.0057113	0.00862976	0.0124347	0.0217695	0.0288774	0.0265914	0.067692	0.0505199	0.0625652	0.0553857	0.0452669	0.0280091	0.0228506	0.0132787	0.00751842	0.0139328	0.0073795	0.0101357	0.00398901	0.00250037	0.00405991	0.00503155	0.00399395	0.0047454	0.00489196	0.00440816	0.00484935	0.00684139	0.00366843	0.00397374	0.00506613	0.00506697	0.00705558	0.00675092	0.00761981	0.0237411	0.0167087	0.0261709	0.0163862	0.0257264	0.0411652	0.0321294	0.0331047	0.0240643	0.0153137	0.017212	0.0169655	0.0150474	0.0127374
oiseaux	0.016861	0.0671396	0.104238	0.180807	0.174983	0.0675444	0.0131647	0.0140168	0.0134471	0.0180545	0.0295177	0.0287587	0.024441	0.0195844	0.0149082	0.0140092	0.0063932	0.00574605	0.00692887	0.00560912	0.00309438	0.00136944	0.00135227	0.000700021	0.0008908	0.00115231	0.00354763	0.00224409	0.005507	0.00463263	0.00313667	0.00612875	0.00547948	0.00539463	0.00468452	0.00598948	0.00407751	0.00381797	0.00470203	0.0043098	0.00717651	0.0102173	0.008004	0.00537875	0.00727776	0.00490607	0.00937914	0.00783268	0.00820864	0.00707855	0.00739792	0.005236	0.0056885	0.00785477
viennent	0.0291166	0.0319615	0.0256467	0.0219454	0.0178797	0.0204638	0.0289118	0.0339864	0.0263077	0.0351315	0.0433633	0.0483875	0.0275851	0.0182562	0.0307525	0.0190076	0.0208575	0.0173599	0.0241446	0.0128257	0.0191573	0.00994823	0.0129434	0.0101205	0.011503	0.0226984	0.0157694	0.026101	0.0200709	0.0209173	0.014972	0.00636822	0.0142681	0.00948484	0.00480041	0.0112587	0.0126191	0.0126741	0.0105495	0.0164388	0.00759478	0.0109743	0.00954726	0.00901597	0.00686783	0.00569399	0.021377	0.0173874	0.011437	0.0148591	0.0122206	0.0113404	0.0195379	0.0255923
nombreux	0.00761329	0.0087927	0.0152767	0.0337836	0.0364014	0.0351949	0.0292299	0.0257097	0.0291059	0.0251197	0.0311532	0.0348519	0.014866	0.0151178	0.0115202	0.0109321	0.0105114	0.0100594	0.0110979	0.0113803	0.0121032	0.0092294	0.00999937	0.00837745	0.0137696	0.0137009	0.0117546	0.0151194	0.0122013	0.0144805	0.0121767	0.015055	0.0119239	0.017975	0.0113048	0.0208095	0.0105256	0.0170743	0.0166595	0.0222711	0.0122944	0.0127013	0.0137686	0.0138863	0.0177946	0.00995121	0.0116314	0.0118014	0.0224301	0.0362338	0.0388183	0.0451891	0.0414774	0.0277928
sur	0.0232608	0.0243345	0.0236721	0.0232257	0.0207291	0.0221812	0.0230247	0.0230909	0.0233191	0.0222852	0.0224486	0.0230773	0.0234173	0.018038	0.0235796	0.0224473	0.0207692	0.0180218	0.0187008	0.0176194	0.0122726	0.0196053	0.0149572	0.00773189	0.0109751	0.021562	0.0267138	0.0199242	0.021721	0.0170708	0.0194097	0.00976219	0.0160447	0.0169162	0.013107	0.0176774	0.0111515	0.0156263	0.0171266	0.0163712	0.0124576	0.011408	0.0120422	0.0123492	0.00881566	0.0162813	0.0132056	0.0222851	0.013897	0.0135101	0.0189191	0.0149741	0.0206472	0.0462383
ce	0.0155262	0.011933	0.00833119	0.00670857	0.00755747	0.0078564	0.00899104	0.0111246	0.0173456	0.0169066	0.0234445	0.0356959	0.0375803	0.020645	0.027233	0.0263749	0.0221983	0.0197947	0.0120981	0.00897768	0.00795817	0.0150389	0.0138316	0.0180748	0.024926	0.0302337	0.0313251	0.0243678	0.0265836	0.0191816	0.0109734	0.0189706	0.039534	0.0392742	0.0209422	0.0445159	0.0191764	0.0226222	0.0168007	0.0273691	0.0188488	0.0149139	0.00842417	0.00711102	0.00788122	0.00846186	0.005929	0.0110023	0.0114178	0.01563	0.0188825	0.020362	0.0156435	0.0174688
palmier	0.0163257	0.0135863	0.0116377	0.0212425	0.0243612	0.0284385	0.0196311	0.014665	0.0154725	0.0145262	0.0169569	0.0180732	0.026847	0.0276238	0.0219761	0.0295956	0.0215816	0.0147218	0.0125114	0.0103991	0.0118622	0.0180415	0.0236653	0.0149375	0.0154269	0.0260576	0.0504721	0.0225417	0.0383479	0.0292387	0.0152986	0.0197149	0.0272845	0.0237707	0.0180516	0.0342782	0.0119317	0.0162884	0.0118128	0.0108295	0.00857142	0.00924973	0.00695255	0.00632459	0.00882757	0.00587276	0.00738589	0.00659633	0.0106476	0.0136575	0.0172934	0.0154922	0.0208535	0.0422498
à	0.00573467	0.00524695	0.00498729	0.013762	0.0171864	0.0171249	0.0150855	0.0141844	0.0138325	0.0123168	0.010293	0.00889847	0.00664094	0.00478717	0.00535063	0.00507793	0.00502412	0.00677137	0.0117404	0.0108826	0.0183401	0.029019	0.0340586	0.0276642	0.0410552	0.036263	0.0371161	0.0307599	0.0334533	0.0280526	0.0197916	0.0253904	0.0263234	0.0231353	0.0213669	0.0348601	0.0258172	0.0219006	0.0275879	0.0227265	0.0132184	0.0161471	0.00936197	0.0103322	0.0119571	0.0120905	0.0088212	0.0124591	0.0149779	0.0203355	0.0226095	0.0209469	0.0243943	0.0427383
huile	0.0170359	0.0160435	0.0185563	0.0218554	0.0144422	0.00638221	0.00432084	0.00485482	0.0059928	0.00517637	0.00552196	0.00629491	0.00569393	0.00503734	0.00564902	0.00568354	0.00618853	0.00551863	0.00697199	0.00949286	0.00954622	0.011216	0.0123618	0.00580929	0.00930839	0.0254171	0.0351072	0.0274272	0.0295467	0.0492025	0.0260491	0.0335157	0.0229996	0.0278055	0.0196764	0.0262394	0.0209702	0.0332266	0.0110438	0.0237214	0.0208367	0.0153238	0.0154498	0.00838517	0.0141351	0.00811903	0.0130306	0.0107025	0.0240791	0.0413125	0.0520111	0.055736	0.0374517	0.0465238
car	0.0103201	0.00830592	0.00899726	0.0140999	0.0100191	0.00669593	0.00361636	0.00358116	0.00384353	0.00322776	0.00360408	0.00293598	0.00278592	0.00203924	0.00230565	0.00277513	0.00425368	0.00431537	0.00720652	0.00900379	0.0121215	0.0257693	0.0236873	0.0209265	0.0384675	0.05427	0.0404077	0.0522346	0.0342765	0.0451935	0.0255226	0.0195247	0.0333731	0.0340363	0.0233954	0.0377917	0.0344161	0.0377396	0.0223693	0.0422966	0.0191825	0.0188384	0.00897907	0.00860198	0.00918542	0.0102171	0.00626209	0.0107318	0.0128378	0.0135876	0.0195292	0.024389	0.023534	0.0423719
