 	i	b	h	ώ	ω	í	m	i	s	í	a	b	á	a	á	t	έ	n	i	i	m	i	m	ω	ω	ó	d	í	a	</S>
l'	0.0263631	0.019805	0.00819623	0.0066319	0.00847843	0.00806794	0.0135919	0.0157595	0.0224976	0.0253472	0.0816788	0.0888833	0.0699053	0.0455788	0.0913903	0.0417254	0.0239153	0.0424313	0.0345652	0.027406	0.0386647	0.0333698	0.0238638	0.0176583	0.018008	0.0275362	0.0491077	0.0370202	0.0284811	0.0240717
affaire	0.0277422	0.0408203	0.18524	0.123889	0.0591289	0.0675441	0.118746	0.0572434	0.0314468	0.0312293	0.0140416	0.0143548	0.00688898	0.00875316	0.0133447	0.00442345	0.00891102	0.00338082	0.00503952	0.0152171	0.011677	0.0257536	0.0245387	0.0189677	0.0180481	0.0152835	0.0249592	0.0164223	0.00346537	0.00349874
est	0.0273945	0.046322	0.0367811	0.0223454	0.0169612	0.0209379	0.0196319	0.0426261	0.0532719	0.0649054	0.041769	0.0338287	0.0311092	0.0147043	0.0271728	0.0380427	0.0710112	0.0294534	0.0317796	0.0317814	0.0264656	0.0542078	0.0768535	0.0413462	0.0213487	0.0207325	0.0216355	0.0149982	0.0114861	0.00909613
terminée	0.0176352	0.0216941	0.0183898	0.016843	0.0164672	0.0205127	0.0243213	0.041573	0.054027	0.0680192	0.029231	0.0247915	0.00965645	0.0133268	0.0134318	0.0106857	0.0212581	0.0371191	0.028904	0.0547438	0.0959544	0.0583133	0.059467	0.0514449	0.0545886	0.0295401	0.0298629	0.0180175	0.0211871	0.0389933
ils	0.0134926	0.01968	0.0160668	0.0139869	0.0165688	0.0168199	0.0227454	0.0224246	0.0242723	0.0283822	0.0349094	0.0369475	0.0497061	0.0368755	0.0226681	0.0244789	0.0464229	0.0275105	0.0607672	0.0675562	0.0803246	0.0540001	0.0401139	0.0293084	0.0288625	0.0252075	0.0195977	0.0325285	0.022801	0.064974
se	0.0192724	0.014854	0.0167615	0.0155787	0.0168915	0.0190959	0.0213429	0.0275896	0.0275442	0.0257186	0.0555658	0.0447183	0.0441557	0.0233704	0.0235897	0.0263311	0.0307632	0.0516719	0.051042	0.0526322	0.0544923	0.0580277	0.0468355	0.0387034	0.0251703	0.0303516	0.0319357	0.0392671	0.0252922	0.0414348
sont	0.0230534	0.0326945	0.0509156	0.0653379	0.0709521	0.0734576	0.0544666	0.0474458	0.0524419	0.0404143	0.0249825	0.0153084	0.0107617	0.0129309	0.0168104	0.0118076	0.0192531	0.010485	0.0198749	0.0177435	0.0147039	0.0141953	0.0335405	0.0336181	0.0368595	0.0375476	0.0331757	0.0225672	0.0367452	0.0659092
réunis	0.0362968	0.0893819	0.132293	0.122133	0.0890739	0.0723781	0.0525759	0.0302472	0.0310298	0.0248678	0.0215743	0.0184709	0.0137371	0.0101559	0.0110356	0.00744641	0.00982601	0.00476623	0.00756706	0.0054411	0.00749527	0.00635619	0.0150733	0.0217254	0.0151531	0.0238309	0.0230312	0.0224687	0.0265972	0.047971
pour	0.100041	0.0930227	0.0833279	0.0642858	0.0510342	0.0411547	0.0275661	0.0160763	0.0169737	0.013603	0.0127637	0.012923	0.0140458	0.0123368	0.0411667	0.0442267	0.0544346	0.0123952	0.03034	0.0187354	0.0164275	0.0142873	0.0313164	0.0240554	0.0194435	0.0205024	0.024604	0.020088	0.0297883	0.0390336
discuter	0.0258291	0.0195323	0.0196631	0.0191939	0.0192723	0.0175974	0.0153542	0.00973089	0.00911787	0.0093085	0.0102743	0.00857197	0.00615848	0.0047463	0.0147679	0.0158755	0.0246183	0.0257165	0.0213785	0.028972	0.0497816	0.0561789	0.0929476	0.0625712	0.043398	0.0623751	0.0792088	0.0960918	0.0713101	0.0604578
de	0.0226405	0.0326944	0.0377915	0.039128	0.0502145	0.053564	0.0323026	0.0358748	0.0296508	0.0287325	0.0313943	0.0308341	0.026	0.027222	0.0204421	0.0246042	0.0475016	0.0244129	0.0231842	0.0325326	0.0359953	0.0320185	0.0329538	0.0174118	0.0169402	0.0208777	0.0300525	0.0438542	0.0475395	0.0716348
l'	0.0950815	0.0585109	0.0431234	0.0447958	0.0323365	0.0291722	0.0171644	0.0141383	0.00986771	0.00942759	0.00998075	0.00671586	0.00719617	0.00642726	0.00724175	0.0197668	0.0231368	0.0201209	0.028303	0.0298961	0.0297041	0.0252785	0.0472672	0.0335737	0.0226635	0.0688803	0.047479	0.0347239	0.0771738	0.100852
affaire	0.0934156	0.071715	0.0460135	0.0440893	0.0342371	0.031096	0.0156297	0.0118591	0.00952901	0.00899285	0.00656821	0.00614942	0.00723108	0.00719217	0.0138175	0.0179052	0.0226037	0.014369	0.0113856	0.0135653	0.0128499	0.00936523	0.00801951	0.0138108	0.0122722	0.0342434	0.0516694	0.0437912	0.119826	0.206788
</S>	0.0661899	0.070817	0.0715111	0.0556569	0.0456851	0.0382653	0.0236704	0.0241422	0.0188546	0.015502	0.0125443	0.0116589	0.0148655	0.0130298	0.0267943	0.0320781	0.0611666	0.0216283	0.0243461	0.0280793	0.0278947	0.0183901	0.0129324	0.013788	0.0112258	0.0194594	0.0316501	0.0324688	0.0512162	0.104489
