 	o	k	w	á	b	h	i	r	i	m	í	s	i	o	b	o	s	ó	á	d	z	e	n	ω	</S>
c'	0.0143386	0.0247374	0.0884671	0.0346438	0.0222443	0.0200223	0.0587544	0.0619512	0.0652513	0.0820534	0.0698389	0.0644517	0.0736732	0.0531613	0.0534387	0.0440082	0.0265458	0.0202836	0.0115324	0.0102297	0.0078474	0.00878579	0.0109822	0.013411	0.0593461
est	0.180967	0.114737	0.0396399	0.0592256	0.0636683	0.04122	0.04154	0.0434239	0.0377326	0.0376326	0.0279888	0.0204707	0.0261529	0.0177076	0.0175561	0.0164103	0.0252078	0.0151873	0.033072	0.0281568	0.0178761	0.0297625	0.0210813	0.0232141	0.0203683
toi	0.0325474	0.0384836	0.020916	0.0684106	0.0184619	0.0250703	0.0142	0.00858781	0.00981631	0.0161715	0.0232556	0.0142154	0.00978364	0.0214154	0.0270632	0.0216022	0.0322099	0.0593865	0.0665447	0.099825	0.109198	0.0988363	0.0737836	0.0465366	0.043679
qui	0.0214039	0.0312986	0.0437932	0.0603079	0.0408082	0.0407278	0.0511553	0.0433044	0.0545457	0.0481022	0.0466341	0.0383748	0.0382803	0.0376374	0.0353225	0.0465344	0.0543458	0.028208	0.0263606	0.0161049	0.0152435	0.03526	0.0156473	0.0210579	0.109541
a	0.0369811	0.0286504	0.0213937	0.0454966	0.0445383	0.0341172	0.0419119	0.0345753	0.0424206	0.0415185	0.0551576	0.0577561	0.0725512	0.0566975	0.0642197	0.0522625	0.0419344	0.0238276	0.0264433	0.0186842	0.0113498	0.0273718	0.016269	0.0274967	0.0763753
battu	0.0667807	0.0779196	0.0675749	0.0946262	0.0810185	0.0372785	0.0612683	0.0694949	0.0375852	0.0359634	0.0487493	0.0340038	0.0497787	0.0341849	0.0403742	0.0257303	0.0186131	0.00968145	0.00704761	0.00596117	0.00510352	0.01168	0.00935012	0.0160293	0.0542025
les	0.135042	0.114812	0.0393275	0.0446206	0.0488494	0.0314639	0.0286268	0.024258	0.0237361	0.0143172	0.0225332	0.0235512	0.0332662	0.0414261	0.0427894	0.0517633	0.0383513	0.029028	0.020314	0.0224257	0.0147018	0.019148	0.0195641	0.0303316	0.0857529
paupières	0.069985	0.0657655	0.0346452	0.0433482	0.0382938	0.0302691	0.0317649	0.0302644	0.0325842	0.0292661	0.0501411	0.0332919	0.0443503	0.0386749	0.0357425	0.0429896	0.0459706	0.02931	0.0320193	0.0337426	0.0208543	0.0275946	0.0218373	0.0348468	0.102448
en	0.0851264	0.0274117	0.0153142	0.0156906	0.0155841	0.0118908	0.00975238	0.0118511	0.00768194	0.0213282	0.0305863	0.0565766	0.040596	0.0437366	0.0339806	0.0417751	0.0366427	0.0341885	0.0520645	0.0668918	0.0816121	0.0598904	0.0858611	0.0479344	0.0660318
premier	0.161898	0.094532	0.0530503	0.0479338	0.0254366	0.0178586	0.0162684	0.0208043	0.0173271	0.037923	0.0434284	0.0376809	0.0359735	0.0270301	0.0225532	0.0268887	0.0274943	0.0175184	0.0275618	0.0245815	0.0184254	0.0435951	0.0197272	0.0280334	0.106476
</S>	0.097959	0.06305	0.0182138	0.0352314	0.031298	0.0340833	0.0254743	0.0262631	0.0256314	0.030943	0.0296473	0.0315436	0.025499	0.023101	0.0162157	0.0222384	0.0231499	0.0262743	0.0429812	0.0554887	0.0575694	0.0458235	0.0573867	0.0714255	0.0835085
