 	m	ó	m	e	e	s	á	n	g	á	b	e	a	b	í	í	l	á	m	b	í	n	ω	</S>
fais-	0.00770323	0.00940367	0.00921354	0.00999781	0.0106131	0.0184639	0.0192001	0.0340378	0.042176	0.0700804	0.0664894	0.067452	0.0916874	0.0859628	0.0880521	0.0993677	0.0567118	0.0460777	0.0338882	0.0228663	0.0284663	0.0299908	0.028539	0.0235588
moi	0.13176	0.109024	0.0652239	0.0514291	0.0259885	0.0275425	0.0204327	0.0446959	0.0518965	0.0608603	0.0534267	0.0436107	0.038635	0.0547574	0.0719115	0.0551516	0.0207937	0.0155145	0.0149478	0.00736152	0.00717788	0.00687944	0.00964459	0.0113343
goûter	0.047968	0.0546348	0.0524621	0.0521736	0.0329299	0.0824518	0.0293037	0.0324898	0.0378369	0.0383873	0.030445	0.0280255	0.0184812	0.020872	0.00870458	0.00900165	0.0193611	0.0391567	0.0537466	0.076101	0.0693744	0.0711385	0.0635326	0.0314213
ce	0.0765038	0.0573259	0.0541882	0.0470889	0.020852	0.0307125	0.0122542	0.0142688	0.0279508	0.0279079	0.0274415	0.0327812	0.0236496	0.0201302	0.0151878	0.0189692	0.051355	0.0930489	0.0563035	0.0650026	0.0539309	0.050939	0.0655132	0.0566942
que	0.0379915	0.0478284	0.0627353	0.069826	0.0637858	0.0977585	0.0303117	0.019394	0.028632	0.0150551	0.0424245	0.0277183	0.0335447	0.0237378	0.0159536	0.0182458	0.0426509	0.0598664	0.0386002	0.0305662	0.0292675	0.0232345	0.0355286	0.105343
tu	0.0370086	0.0594694	0.0837088	0.0617539	0.055152	0.0627764	0.0803052	0.0585456	0.0581169	0.0371226	0.0435711	0.0330968	0.0176499	0.00928808	0.01339	0.0120107	0.0306981	0.0362591	0.0365466	0.0311884	0.0247346	0.0235082	0.0362623	0.0578368
as	0.0846291	0.070682	0.071199	0.0587661	0.051655	0.037761	0.0207659	0.0138119	0.0170363	0.00916105	0.0140395	0.0129169	0.00865097	0.00791112	0.00867827	0.0102667	0.0312585	0.0557842	0.0677382	0.0682473	0.0614582	0.0523164	0.0693336	0.0959324
préparé	0.0967453	0.123255	0.0940589	0.0726982	0.0401206	0.0113792	0.00553506	0.00612041	0.00897304	0.013289	0.0229808	0.0245124	0.0257403	0.0248671	0.0271579	0.0269084	0.0206075	0.0182479	0.0248347	0.0281633	0.029491	0.0483641	0.0598088	0.146141
s'	0.0662923	0.0568853	0.0388008	0.0206506	0.0296587	0.0168147	0.0301347	0.0352057	0.0566276	0.0378519	0.052024	0.056546	0.0527037	0.0295622	0.024603	0.0202762	0.0209274	0.0254415	0.0238504	0.0223189	0.0272452	0.0429818	0.0416422	0.170955
il	0.109248	0.0691409	0.0381464	0.0218206	0.0114882	0.00374176	0.00243892	0.00318936	0.00546806	0.00669929	0.0182053	0.0329401	0.0341167	0.013913	0.0209964	0.0244328	0.0330239	0.0477261	0.0356009	0.0577148	0.0675365	0.0695498	0.0875478	0.185315
te	0.200344	0.0919915	0.0373973	0.0227818	0.0153105	0.00655223	0.00183445	0.00202089	0.0029855	0.0037582	0.00730218	0.0086176	0.00897464	0.00420905	0.00785049	0.00937622	0.0203818	0.0300096	0.0302466	0.0513577	0.0657729	0.059657	0.0933382	0.21793
plait	0.34162	0.125015	0.0438533	0.0293758	0.0205207	0.0164034	0.0050447	0.00484446	0.00457157	0.00522776	0.00723436	0.00689411	0.00652243	0.00320445	0.00594109	0.00743602	0.0134956	0.0182975	0.0213484	0.0329234	0.0485427	0.0478312	0.0606661	0.123186
</S>	0.32299	0.128229	0.0649494	0.0425597	0.0318498	0.031994	0.0156131	0.00968392	0.00728389	0.00516239	0.00638779	0.00995957	0.0091472	0.00574253	0.00644017	0.00721033	0.0106956	0.0140553	0.0233982	0.0345707	0.0424971	0.0320358	0.0469953	0.0905493
