 	n	d	é	e	y	ó	k	ω	n	í	é	d	í	l	a	l	á	n	g	í	l	á	n	d	z	í	n	y	ε	</S>
la	0.0294079	0.0403312	0.015637	0.0221293	0.0169105	0.0179023	0.00917437	0.0117794	0.0122878	0.0339711	0.0260191	0.0481259	0.0341849	0.0376721	0.0356296	0.0334338	0.0183162	0.0171584	0.0282408	0.024461	0.0264081	0.0429754	0.0517226	0.0597883	0.0430293	0.0535526	0.0523123	0.054911	0.0501287	0.0523989
chambre	0.0547751	0.0833073	0.220386	0.120926	0.153778	0.0493026	0.0169954	0.0218318	0.0192747	0.022397	0.00943031	0.0177576	0.0136653	0.0166724	0.0414855	0.0324845	0.00811853	0.0166166	0.00816311	0.00488266	0.00808019	0.00912715	0.0068846	0.00851408	0.0102627	0.00694331	0.00696754	0.00549591	0.00321078	0.00226384
du	0.0381258	0.0320891	0.00935148	0.00836949	0.00586986	0.00562034	0.014786	0.0119326	0.0133249	0.0367481	0.0510288	0.0504681	0.0670162	0.0697609	0.0769953	0.0738505	0.0640811	0.0586094	0.0672217	0.0581147	0.0673936	0.0366899	0.0297402	0.0144108	0.00917531	0.00721384	0.0060204	0.00445616	0.00518261	0.00635282
malade	0.051262	0.0728995	0.126079	0.0798506	0.068386	0.0415118	0.0288798	0.0329284	0.0296499	0.0217891	0.0247087	0.0402814	0.0340182	0.0265149	0.0279888	0.0218754	0.0101909	0.0193932	0.0255756	0.0231091	0.0299976	0.0330893	0.0353606	0.0201529	0.0192335	0.0111238	0.0104865	0.00966987	0.00760147	0.016392
dégage	0.03534	0.0424495	0.0382229	0.0307456	0.0313349	0.0239093	0.0217055	0.0165022	0.0180435	0.017668	0.0174003	0.0355793	0.0828306	0.0871723	0.125495	0.131619	0.0457701	0.0429926	0.0333303	0.0207331	0.0282171	0.0102796	0.00831075	0.00601003	0.00376299	0.00296681	0.00316081	0.00456245	0.00600201	0.027883
l'	0.0691463	0.0687976	0.0428536	0.0368976	0.0348872	0.0261023	0.0201214	0.015155	0.0172687	0.0156438	0.0122933	0.0207221	0.0424684	0.0437853	0.0615964	0.0618194	0.0483923	0.052027	0.0502269	0.0332915	0.0331257	0.0229386	0.0152524	0.0156233	0.0133281	0.00951709	0.0146838	0.0176792	0.0215501	0.0628057
odeur	0.122502	0.0632061	0.0362563	0.0463227	0.0429069	0.0493645	0.0389561	0.0404571	0.0297279	0.0271758	0.0135384	0.0188392	0.0114818	0.0136795	0.0158356	0.00847886	0.00255229	0.00323041	0.00395227	0.00484515	0.0139016	0.0656382	0.0291856	0.0413692	0.0583773	0.0419848	0.0571093	0.0343711	0.0256813	0.0390728
ammoniacale	0.0798417	0.0741782	0.0322953	0.0589659	0.0610265	0.0697756	0.0660113	0.0501485	0.0604971	0.0336298	0.024057	0.0185263	0.0134361	0.0131993	0.0132354	0.00817823	0.00347206	0.00452712	0.00401963	0.00294586	0.00469745	0.014139	0.00677626	0.0116405	0.0301725	0.0158879	0.0383523	0.021266	0.0604557	0.104645
des	0.033671	0.0336689	0.0246913	0.0345266	0.0303192	0.0276204	0.0294983	0.0285695	0.0382851	0.0322351	0.0288065	0.0213665	0.0282982	0.0304774	0.0182256	0.0126445	0.0125934	0.00925614	0.00735632	0.0049695	0.00690957	0.0110014	0.0154961	0.0347559	0.043668	0.0456214	0.0650748	0.0762956	0.0860831	0.128014
urines	0.0444687	0.0406367	0.0336072	0.0390155	0.0322377	0.0316598	0.0345578	0.0292856	0.0249052	0.0178897	0.0170977	0.0151993	0.0130092	0.00788828	0.00561889	0.00290024	0.00182406	0.00240769	0.00314865	0.0035438	0.00984127	0.020052	0.0227198	0.0271545	0.0449597	0.0408763	0.0669177	0.0906804	0.101933	0.173963
</S>	0.0588507	0.0618176	0.0359405	0.0346655	0.0257575	0.0238165	0.0302923	0.0279341	0.0316958	0.0301585	0.0214333	0.0176337	0.0255969	0.0128775	0.0146613	0.00766714	0.00819709	0.00955465	0.0116942	0.010222	0.0239953	0.0313552	0.0261913	0.0240273	0.0322991	0.0295381	0.0357008	0.0511663	0.0734707	0.171789
