 	o	t	o	i	á	b	o	m	i	o	n	g	ó	m	í	s	é	t	ó	n	g	o	</S>
le	0.0222124	0.0235265	0.0204432	0.0216109	0.0292834	0.0370767	0.044103	0.0536404	0.0489138	0.0676305	0.0576381	0.0393694	0.0502516	0.045651	0.0433046	0.0394993	0.0420567	0.0248136	0.0455499	0.0345075	0.0807015	0.0645726	0.0636435
pêcheur	0.0281248	0.0282197	0.00962069	0.0335644	0.0182128	0.0382383	0.142461	0.258781	0.15758	0.0802574	0.0340587	0.0449362	0.0373515	0.020658	0.0168617	0.010082	0.0124401	0.00715422	0.00756037	0.00549677	0.00617162	0.00120422	0.000964056
a	0.0454843	0.0267678	0.0120955	0.0448688	0.0443995	0.0671383	0.0819661	0.094991	0.142841	0.0617904	0.037694	0.058712	0.0599936	0.0406406	0.0255928	0.022122	0.0244826	0.0210334	0.0233844	0.0183239	0.0202641	0.0105732	0.0148406
tué	0.0362125	0.0639481	0.0621471	0.0972847	0.0532739	0.0339413	0.0955907	0.0842717	0.06096	0.0329057	0.0679656	0.0216129	0.0166047	0.0216708	0.0315069	0.0454662	0.0247111	0.0216759	0.025264	0.0210103	0.0208423	0.0181555	0.0429779
un	0.0526869	0.0252413	0.0151647	0.0350966	0.0203054	0.0345518	0.060729	0.0757705	0.0669404	0.0629687	0.07439	0.0520058	0.0400278	0.0317546	0.0327505	0.0384394	0.0434819	0.0392206	0.0429981	0.0429874	0.0449961	0.0235774	0.0439149
crocodile	0.0302308	0.018012	0.00805072	0.0242056	0.0141237	0.0210909	0.0268523	0.0269345	0.0334639	0.0261997	0.0228962	0.0434066	0.0715356	0.0849045	0.0803815	0.0752846	0.066832	0.0704773	0.0768723	0.0665001	0.0501569	0.0209415	0.040647
dans	0.0835602	0.0648244	0.0691772	0.0531866	0.0452916	0.0284518	0.0341438	0.0207543	0.022644	0.0172637	0.0220726	0.0189639	0.0282359	0.0275026	0.0422121	0.0606332	0.0468912	0.0504431	0.0475476	0.064349	0.0428614	0.0358436	0.0731462
l'	0.0812548	0.0779341	0.0872464	0.0341047	0.0239594	0.0205199	0.0197764	0.0230784	0.0238008	0.0382598	0.0723105	0.0296592	0.029737	0.0252942	0.0289998	0.031181	0.0297672	0.0294497	0.0329483	0.0324476	0.043006	0.0432257	0.142039
étang	0.0788235	0.05329	0.0297659	0.00746651	0.00464477	0.0022071	0.00386291	0.00898975	0.010768	0.00661164	0.00625006	0.00519727	0.00919276	0.0137821	0.0256157	0.0468037	0.051185	0.0493966	0.0626296	0.0653784	0.0991705	0.10807	0.250898
</S>	0.0949913	0.0689177	0.0566202	0.0132154	0.00970089	0.00557041	0.00355761	0.00530845	0.0063004	0.00404264	0.00808483	0.00381299	0.00942872	0.0167334	0.0267884	0.0318975	0.0267033	0.0311855	0.051042	0.0512589	0.0871789	0.113275	0.274385
