 	b	á	a	l	ó	t	á	a	o	b	h	é	m	b	i	l	a	o	k	á	n	d	á	m	á	p	y	é	b	h	i	l	á	a	b	h	ε	n	ε	ε	</S>
quand	0.16174	0.139073	0.148597	0.0732474	0.0295979	0.0228757	0.0250443	0.022593	0.0246936	0.0204929	0.0315539	0.0241384	0.0203594	0.0142908	0.0155198	0.0157231	0.0141459	0.0100891	0.00704948	0.00560019	0.00597862	0.00841391	0.00720396	0.00773125	0.00800644	0.00751825	0.00793308	0.00803535	0.00818424	0.00960466	0.010135	0.00774838	0.00929671	0.0106676	0.00796841	0.00832908	0.00668179	0.00674658	0.00588467	0.00611606	0.0153915
ils	0.132619	0.0571113	0.0432214	0.0412993	0.040247	0.0477636	0.0435297	0.0566842	0.0592779	0.0443482	0.0335537	0.0296367	0.0342591	0.0276546	0.0322907	0.0274688	0.0271743	0.0175704	0.0123697	0.01576	0.0159229	0.0122816	0.0116032	0.0127582	0.00959758	0.0087636	0.00737636	0.00702519	0.00624057	0.00774375	0.0065189	0.00410138	0.00703606	0.0101089	0.0068191	0.00544985	0.00506835	0.00698481	0.00756891	0.00599657	0.0111948
ont	0.0244907	0.024189	0.032687	0.0324454	0.0268394	0.0296168	0.024476	0.0244852	0.0320117	0.0359732	0.0318001	0.022868	0.0246907	0.0198125	0.0332872	0.045809	0.0402709	0.0456073	0.047065	0.036144	0.0274588	0.0216861	0.0168989	0.017545	0.0133026	0.014693	0.0123252	0.0168515	0.0166829	0.0131719	0.0195422	0.0173546	0.0183064	0.016852	0.0203974	0.0129182	0.0251107	0.0147832	0.0173339	0.0159573	0.0162595
vu	0.0137262	0.0191371	0.0248388	0.0234949	0.0205623	0.0153551	0.0146543	0.0171708	0.0177181	0.0193878	0.0224948	0.0349834	0.0369568	0.0305892	0.0355644	0.0341574	0.0434476	0.0263324	0.033267	0.0214968	0.0244593	0.0245841	0.0225528	0.0232462	0.021977	0.0243002	0.0206197	0.0183196	0.021678	0.0180383	0.011668	0.0159584	0.0190498	0.018786	0.0186457	0.0132584	0.0331939	0.0289656	0.0348345	0.0375743	0.042955
un	0.0139147	0.0165653	0.0162828	0.0181757	0.0180348	0.0199724	0.019397	0.0213105	0.0221416	0.0240409	0.0196082	0.0190742	0.0233085	0.0209119	0.0241343	0.0232162	0.0237564	0.0186951	0.0212966	0.0164025	0.0181485	0.0186023	0.0162699	0.0189972	0.0199277	0.0257817	0.023394	0.0237932	0.0322604	0.0248215	0.0273104	0.0236956	0.0255099	0.0325402	0.023438	0.0199189	0.0367483	0.0338454	0.0549104	0.0500956	0.0497514
voyageur	0.0102167	0.00575294	0.00558964	0.00553421	0.0069231	0.00851231	0.00914457	0.0101962	0.00971595	0.00779248	0.00756961	0.0100097	0.0122704	0.0129594	0.0182322	0.0173329	0.0271523	0.0228216	0.0367385	0.031563	0.0276812	0.0328845	0.0438046	0.032891	0.0387515	0.0403536	0.0347356	0.0282896	0.026384	0.0294048	0.0256437	0.0221952	0.0308219	0.0286512	0.0356055	0.0253397	0.0379675	0.036559	0.0401749	0.0428472	0.062986
qui	0.0151507	0.00965582	0.00938713	0.00978398	0.0123528	0.0140352	0.0156739	0.0194069	0.0214263	0.0208995	0.0198738	0.0193837	0.0180494	0.0195794	0.0295865	0.0281923	0.039446	0.0300303	0.0417394	0.0303302	0.029764	0.0291402	0.0390824	0.0250568	0.0331231	0.0268786	0.0261669	0.0210763	0.0197326	0.0197041	0.0152201	0.0164376	0.0173055	0.0166009	0.0185787	0.0194056	0.0204358	0.0265024	0.0396771	0.048439	0.0676887
s'	0.0303198	0.020423	0.0186357	0.0194569	0.0261051	0.0261408	0.0193499	0.0154199	0.0121461	0.0103793	0.00938435	0.00816788	0.00698701	0.00974686	0.0134841	0.0128635	0.0194477	0.0138354	0.0200569	0.0166778	0.0175813	0.022417	0.0410205	0.022852	0.0289528	0.0306416	0.0311602	0.0241752	0.0229683	0.0221898	0.0173445	0.0184569	0.0179	0.0184179	0.0187621	0.0244304	0.019194	0.0269604	0.0552354	0.0810189	0.109293
avançait	0.0366124	0.0137515	0.0132938	0.0128191	0.00728175	0.0069077	0.00528549	0.00648266	0.00868675	0.00823578	0.0087043	0.00888284	0.00870583	0.0147184	0.0171429	0.0182814	0.0218896	0.023725	0.0316182	0.0310496	0.0333657	0.0323968	0.0346131	0.0325696	0.0320424	0.0328262	0.0311407	0.0292576	0.0245528	0.0340971	0.0239541	0.0392542	0.0385563	0.03149	0.0353532	0.0298314	0.0345665	0.0337675	0.0333371	0.036237	0.0427156
enveloppé	0.0219572	0.0147959	0.0156626	0.0162179	0.0128874	0.0127757	0.00790827	0.00679133	0.00624521	0.00566704	0.00625315	0.00564085	0.00548857	0.00860035	0.00777143	0.00919683	0.0118369	0.0139164	0.0192163	0.024256	0.0287206	0.0296662	0.0379833	0.0379149	0.0313106	0.0457222	0.0447189	0.0410434	0.0362626	0.0442734	0.0483261	0.048871	0.0383425	0.0442427	0.0434423	0.0405503	0.0344337	0.0243767	0.021863	0.0220969	0.0227532
dans	0.0516267	0.0229533	0.0232445	0.0261504	0.022678	0.0259346	0.0169813	0.012797	0.00883866	0.00565762	0.0047498	0.00358402	0.0032624	0.00525627	0.00953111	0.0100495	0.0153956	0.0128058	0.0178253	0.0247564	0.0230346	0.0274601	0.0452788	0.0334833	0.0304667	0.0370823	0.0314365	0.0283054	0.0244373	0.0319673	0.0294922	0.0285391	0.0278381	0.0297311	0.0377888	0.0385115	0.0272693	0.0226109	0.0369957	0.040658	0.0435348
un	0.0284359	0.0228184	0.021785	0.030073	0.024391	0.021977	0.0197288	0.0136757	0.007682	0.00459467	0.00368643	0.00321406	0.0029943	0.00485637	0.00710963	0.00723414	0.0134619	0.0100907	0.0206285	0.0284774	0.0294826	0.0436062	0.0532171	0.0474581	0.0403243	0.0445602	0.0327199	0.0306697	0.0306689	0.0311978	0.0290938	0.0340994	0.0267764	0.0260884	0.0255987	0.0260078	0.0225583	0.0228934	0.0288432	0.0419603	0.0352604
manteau	0.029947	0.0179436	0.0201016	0.0206217	0.0194676	0.0194537	0.015014	0.00991347	0.00715221	0.00613539	0.00566142	0.00544543	0.00558446	0.00746862	0.0129229	0.0113018	0.0167543	0.00899011	0.0111981	0.0153003	0.0172093	0.0168107	0.0280056	0.0234106	0.0220002	0.0240707	0.0238498	0.0280442	0.0239362	0.0360823	0.0311672	0.0352264	0.0383751	0.0374787	0.0424757	0.0466249	0.0387294	0.0365893	0.0546798	0.06218	0.0666761
</S>	0.0113397	0.0106983	0.0106574	0.0122905	0.0113593	0.0101818	0.0107668	0.0111932	0.0104356	0.0101768	0.00945374	0.00857872	0.00793915	0.00813897	0.0109219	0.0121154	0.0175036	0.0166091	0.0259121	0.0309395	0.0391353	0.0423951	0.0472287	0.0468846	0.0413782	0.0412434	0.0345763	0.0330344	0.0337538	0.032907	0.0260526	0.0310043	0.0256281	0.0231885	0.0274005	0.0274386	0.0252049	0.0344563	0.0412461	0.0426064	0.0460254
