 	e	l	é	m	b	í	s	í	l	í	y	é	é	l	é	m	b	í	s	í	b	á	a	n	g	á	m	w	á	n	a	é	d	í	i	k	u	n	d	ú	</S>
la	0.00730643	0.00753169	0.00785773	0.00767162	0.0137529	0.016456	0.020263	0.0271804	0.0264961	0.0300503	0.0401007	0.0302528	0.0479271	0.0402663	0.0443754	0.0592176	0.034462	0.0592722	0.0692294	0.050124	0.053707	0.0355493	0.0145037	0.0140917	0.0120316	0.00962471	0.0168071	0.0142076	0.00911589	0.00834592	0.00747574	0.00752338	0.00803218	0.0330179	0.0184566	0.0167636	0.0122022	0.012556	0.0174453	0.019044	0.0197047
manière	0.00602774	0.00454576	0.0146437	0.00728999	0.0102821	0.0139362	0.0207266	0.040157	0.0303603	0.0464444	0.0619183	0.0532798	0.0690423	0.0492429	0.030202	0.0664425	0.0165486	0.0515691	0.0312602	0.0541018	0.0285501	0.0440053	0.0466287	0.0212889	0.0162983	0.0191055	0.027918	0.00677938	0.00949875	0.00912953	0.015414	0.00984626	0.0149823	0.0159204	0.0106286	0.00628009	0.00448347	0.00583547	0.00342203	0.00292663	0.00303713
dont	0.0649279	0.0182773	0.0118659	0.00937616	0.0093065	0.0126167	0.0141812	0.0179451	0.0124932	0.017048	0.0229037	0.0202768	0.0371912	0.0278049	0.0185744	0.0277716	0.0212348	0.0258226	0.0207298	0.0326938	0.0521283	0.0422501	0.0876071	0.045103	0.0380864	0.0254111	0.0376378	0.0361957	0.0150224	0.0212523	0.0141449	0.0312953	0.028482	0.019323	0.005687	0.00453685	0.00497072	0.0081731	0.013505	0.00917837	0.0169676
ils	0.0338014	0.0600149	0.078467	0.0346012	0.0171012	0.0084996	0.00917849	0.0111397	0.00709743	0.0107472	0.0103232	0.0113513	0.0110993	0.0132685	0.0174679	0.0184117	0.0255862	0.0838003	0.098129	0.0670241	0.0987499	0.0564896	0.0250543	0.0180208	0.0122468	0.0157213	0.0179109	0.0114931	0.00999684	0.0148804	0.00667815	0.0140865	0.00617441	0.00786452	0.00387007	0.00329426	0.00287104	0.00512915	0.00726907	0.00879196	0.0262973
ont	0.0662479	0.0637193	0.058207	0.0496244	0.0433352	0.0323883	0.0208173	0.0309607	0.0248772	0.0145534	0.0136708	0.0150769	0.0248916	0.021299	0.0105795	0.0172182	0.0189066	0.0218997	0.0159506	0.0141128	0.0409615	0.0399155	0.0483744	0.0286628	0.0280288	0.0273878	0.0111704	0.0128457	0.0208948	0.0267871	0.0115416	0.0194231	0.0128911	0.0119977	0.0106705	0.00833512	0.00808487	0.0107395	0.0102912	0.00903722	0.0236228
égaré	0.0263553	0.0320751	0.0479777	0.0637737	0.0663517	0.0541946	0.0411313	0.0383552	0.0251763	0.0130414	0.00936051	0.00900544	0.0150998	0.0123098	0.00815003	0.0155291	0.0184477	0.0175519	0.0147611	0.0161033	0.0245495	0.0377253	0.0337116	0.0205268	0.0343669	0.0279602	0.0142212	0.0118374	0.0207913	0.0187126	0.0154638	0.0207911	0.0135032	0.0103677	0.0131165	0.0108232	0.0126533	0.0146133	0.0191508	0.0250994	0.0552638
mon	0.0532315	0.0540578	0.0307283	0.0363378	0.0166135	0.0195288	0.0194045	0.0205171	0.0223897	0.0124548	0.00955182	0.00887592	0.00926491	0.00872277	0.0132469	0.0219823	0.0305001	0.0243573	0.024757	0.0180554	0.0367052	0.0339339	0.0272998	0.0239349	0.0243243	0.0381214	0.0206035	0.0279371	0.037089	0.0261833	0.0102211	0.00917258	0.00710452	0.00344874	0.00636326	0.00819948	0.011872	0.0123281	0.021477	0.0349908	0.124112
fils	0.0422181	0.0416135	0.0390747	0.0527584	0.0415811	0.0269346	0.013835	0.0135115	0.0151433	0.0132703	0.0124946	0.00913546	0.0111938	0.0100259	0.00842746	0.0107344	0.0155939	0.0115263	0.0131818	0.0111127	0.0241277	0.0210283	0.0285845	0.0162694	0.0320886	0.0345571	0.0225874	0.0262911	0.0305508	0.02282	0.0184939	0.0146516	0.00733295	0.00634465	0.00788416	0.0105	0.0150958	0.0178863	0.0264208	0.056133	0.146985
relève	0.061533	0.0635883	0.0438687	0.0467805	0.0345825	0.0248624	0.0145116	0.0137214	0.0112451	0.00806512	0.00592936	0.00634091	0.00785015	0.00716411	0.00978811	0.0133571	0.0256706	0.0119926	0.0133616	0.00776401	0.0175953	0.0196811	0.0232718	0.0159126	0.0335695	0.0263719	0.0161084	0.0162827	0.0188793	0.0109146	0.0152613	0.00929787	0.00761155	0.00912924	0.0176011	0.0166992	0.0214822	0.024215	0.0294043	0.0651938	0.15354
de	0.133328	0.0892722	0.051603	0.0360352	0.0228886	0.0145483	0.00943039	0.00555794	0.00482248	0.00444134	0.00463666	0.00352947	0.00471709	0.00424007	0.00410062	0.00653668	0.00906788	0.00698332	0.0099407	0.00655353	0.0171337	0.0144463	0.0260743	0.0149431	0.0207602	0.0332532	0.0209415	0.0163189	0.0204932	0.00962689	0.0121765	0.00543034	0.00558659	0.00582919	0.00829838	0.0109696	0.0227676	0.041325	0.0402945	0.0860232	0.135074
