 	b	á	a	á	b	h	é	m	b	i	k	ó	l	i	t	s	i	i	n	a	á	p	f	é	s	á	o	y	ó	l	o	</S>
ils	0.15594	0.17162	0.195227	0.132491	0.0641136	0.0256441	0.016937	0.00714314	0.00905261	0.00795275	0.00649153	0.00800746	0.014556	0.0084071	0.00911793	0.0160532	0.0114647	0.00924159	0.00826972	0.00895892	0.0104223	0.00614052	0.00946176	0.00948344	0.0107784	0.00871109	0.00783321	0.00793284	0.0137955	0.0109437	0.00827047	0.00953727
ont	0.0136886	0.00574696	0.0050362	0.00740327	0.00690119	0.0270343	0.0350447	0.0473569	0.042244	0.0589635	0.0719444	0.0740728	0.0809422	0.099147	0.0610316	0.029328	0.0129893	0.0532342	0.0771964	0.0325122	0.0277023	0.0311912	0.0172645	0.0135692	0.0117737	0.0115657	0.0123053	0.00794495	0.00695941	0.00676547	0.00608996	0.00505073
marché	0.0296417	0.0238969	0.0238417	0.033024	0.016609	0.0454448	0.0405716	0.0324088	0.0245459	0.0354875	0.0306745	0.0307501	0.02527	0.0269997	0.0456278	0.0565996	0.0527346	0.0406541	0.0351533	0.035049	0.0325123	0.0307594	0.0354974	0.0307526	0.0301536	0.0374714	0.0317849	0.018843	0.0125729	0.0118991	0.0146915	0.0280773
toute	0.0160991	0.0158925	0.0188255	0.0139842	0.0108101	0.022172	0.0186005	0.0158584	0.0155019	0.0214794	0.0198638	0.0231176	0.0225898	0.0237914	0.0297383	0.027592	0.0297979	0.0320859	0.0239153	0.0284844	0.0490609	0.0407117	0.0749283	0.0545829	0.0869889	0.0697453	0.0488988	0.0246604	0.0342679	0.033739	0.0275271	0.0246885
la	0.00563496	0.0110574	0.0108661	0.0106661	0.00832663	0.0189195	0.0263681	0.0320165	0.0367741	0.0349395	0.0409142	0.0491717	0.0579329	0.0561324	0.051666	0.0741744	0.0593956	0.0405853	0.0331327	0.0304438	0.0298306	0.0267442	0.0284654	0.0282351	0.0301976	0.0242239	0.0227548	0.0216779	0.0204084	0.0214074	0.0257389	0.0311982
nuit	0.0118112	0.0134667	0.0121484	0.0106988	0.00897969	0.010921	0.0159471	0.0184265	0.0198196	0.0310589	0.0310892	0.0351057	0.0307184	0.0340025	0.0281334	0.0434166	0.0492565	0.0478711	0.0361692	0.0425733	0.044174	0.0437935	0.0512912	0.0727964	0.0604628	0.0353572	0.0290118	0.0217892	0.0139825	0.0161474	0.0374506	0.0421297
et	0.035532	0.0357061	0.0211308	0.0159868	0.0160812	0.0158757	0.0169127	0.0184717	0.0203126	0.0233168	0.0232078	0.0241624	0.0295083	0.0250621	0.017884	0.0175022	0.0178171	0.0150832	0.0231891	0.0313398	0.0354919	0.0351746	0.0399042	0.0450888	0.0480222	0.0468269	0.0487231	0.0484414	0.043083	0.0439737	0.0559156	0.0652724
son	0.0435948	0.0359748	0.0199383	0.0159866	0.021299	0.0191724	0.0243038	0.0330579	0.0362828	0.0387297	0.0376482	0.0303247	0.0305207	0.0267237	0.0195354	0.0221122	0.0142721	0.0109649	0.0144943	0.017229	0.0181414	0.0176229	0.0220406	0.0295521	0.0310915	0.0359451	0.0363477	0.0377814	0.0484498	0.0674752	0.0584545	0.0849325
arrivés	0.0179983	0.0119926	0.0105283	0.0087306	0.0119587	0.014934	0.00678346	0.0052004	0.00712831	0.00741032	0.00704539	0.00726949	0.0107121	0.00634575	0.00574522	0.00657131	0.00965896	0.0122171	0.0134448	0.0175837	0.0302638	0.0228372	0.0386497	0.0589129	0.0529699	0.0914776	0.0573198	0.068132	0.0808515	0.0854772	0.108639	0.10521
à	0.0244681	0.0129312	0.011453	0.00962315	0.0153134	0.0181856	0.0145255	0.0110181	0.0157209	0.0124698	0.0106185	0.00952779	0.0142755	0.00873441	0.00986691	0.010213	0.0141076	0.0175924	0.0218915	0.0306181	0.0595154	0.0506772	0.064285	0.0669875	0.0490531	0.0628255	0.0427956	0.0477193	0.0473977	0.043302	0.0837872	0.0885002
l'	0.0339769	0.0191205	0.0181891	0.0145058	0.0247657	0.0313067	0.0279242	0.0216109	0.025407	0.0171012	0.012179	0.0109081	0.01357	0.00724976	0.00909256	0.00871245	0.00951065	0.0124919	0.0209599	0.0361571	0.0495158	0.0405404	0.0489375	0.0387894	0.0454264	0.0394617	0.0434732	0.0359533	0.0402857	0.0368889	0.0866548	0.119333
aube	0.0144942	0.00797606	0.00688683	0.00671652	0.00963277	0.0158917	0.00947391	0.0116981	0.0147677	0.0131212	0.0114501	0.00988496	0.0133625	0.00861202	0.0132846	0.0154727	0.0246243	0.0248451	0.0370793	0.0389717	0.046992	0.0461307	0.0397137	0.0343838	0.0345634	0.0603613	0.0499932	0.050186	0.0543478	0.0556144	0.0977488	0.121719
</S>	0.0272295	0.0111408	0.012348	0.0103918	0.00810412	0.0226838	0.0191044	0.0246001	0.028091	0.0252874	0.0254613	0.0215662	0.0214492	0.0262062	0.0233303	0.0237867	0.0236047	0.0326934	0.0402986	0.030903	0.0427652	0.035083	0.0552107	0.0555852	0.0354999	0.031873	0.0189176	0.0173808	0.0255385	0.0274116	0.048455	0.147999
