 	b	í	s	í	l	é	k	í	í	s	i	a	b	é	á	m	á	á	d	z	e	ó	s	w	έ	b	h	έ	y	á	k	ó	ó	</S>
nous	0.185367	0.20606	0.132044	0.0705705	0.0666536	0.0472277	0.0178713	0.017199	0.0129824	0.0156418	0.0145157	0.0194714	0.0225484	0.0160653	0.0138837	0.0107054	0.0111959	0.00644707	0.0064016	0.00570895	0.0056511	0.00627906	0.00727457	0.00578814	0.00787915	0.00647584	0.00663292	0.00830022	0.00720086	0.0077022	0.00632718	0.00798566	0.00818218	0.00975968
avons	0.0682214	0.139083	0.0352299	0.0289648	0.036201	0.046461	0.0509858	0.0474444	0.0816096	0.106859	0.0825401	0.0694109	0.0439433	0.0269587	0.0217808	0.0170445	0.00969046	0.00543514	0.00636409	0.00712927	0.0069001	0.00592534	0.00398289	0.00637938	0.00641661	0.00732795	0.00397453	0.00646942	0.00595267	0.00428159	0.00291128	0.00292712	0.00237093	0.00282302
comblé	0.0162748	0.0178161	0.0157424	0.0128326	0.00960614	0.00937837	0.0202065	0.020892	0.0259283	0.0291787	0.068307	0.128788	0.0835234	0.0725595	0.0640513	0.068772	0.0729649	0.0523679	0.0341269	0.0244798	0.0237278	0.0167914	0.0100563	0.0105584	0.0117294	0.00965966	0.0107009	0.00949038	0.00803445	0.00897973	0.00546318	0.0074891	0.0114308	0.00809178
les	0.0258782	0.0254258	0.0243192	0.0234428	0.0224041	0.0222687	0.0186432	0.0160128	0.0147509	0.0163811	0.0230593	0.0180722	0.0150389	0.0176458	0.0275491	0.0238629	0.0282219	0.058653	0.0586821	0.0638391	0.0633544	0.0738722	0.070056	0.0486425	0.0212703	0.0194085	0.0164097	0.0195191	0.011745	0.0124607	0.012364	0.0172764	0.0344707	0.0349994
trous	0.01748	0.0163391	0.0123134	0.00961648	0.0148439	0.0143286	0.0132781	0.0150996	0.0271571	0.0338039	0.0366582	0.0395511	0.0389291	0.0321157	0.0385881	0.0547836	0.0698562	0.0637475	0.0654693	0.0521	0.0441917	0.0399785	0.0320324	0.0145534	0.0126604	0.0106334	0.0111158	0.0182477	0.0112701	0.0154383	0.0150991	0.0254176	0.0387718	0.0445308
qui	0.0129304	0.0166922	0.0103075	0.00688392	0.00753476	0.00836436	0.0058503	0.00724039	0.013708	0.0156376	0.0188249	0.0207814	0.0214888	0.0171588	0.02213	0.0385594	0.0536899	0.0565529	0.0751227	0.0532644	0.0548932	0.0497654	0.0253753	0.0113021	0.0101589	0.016573	0.0156895	0.0224893	0.0206246	0.0276536	0.0394354	0.0470918	0.0755752	0.10065
étaient	0.0108945	0.0142668	0.0113276	0.0106926	0.0146956	0.0154479	0.00840009	0.00821963	0.0133602	0.0151172	0.0174907	0.0227996	0.0279041	0.0200281	0.0223944	0.0358056	0.043182	0.0543399	0.0729255	0.0532638	0.0492682	0.0417013	0.0353981	0.0222732	0.024905	0.025983	0.0299875	0.0344031	0.0294183	0.0347291	0.0415889	0.0387798	0.043254	0.0557548
au	0.0141326	0.0180735	0.0198621	0.0133586	0.013546	0.0141622	0.0147695	0.017107	0.0291279	0.034045	0.0355886	0.0387071	0.0444896	0.0410151	0.0386906	0.0328762	0.0319696	0.0141563	0.0179781	0.0174815	0.011636	0.0119684	0.00781996	0.00869358	0.00546891	0.00617686	0.00827854	0.0354457	0.0186384	0.042064	0.0428517	0.0846301	0.102212	0.112979
milieu	0.0123414	0.0160906	0.0182169	0.0104099	0.0102883	0.0102319	0.0110612	0.0158092	0.0278434	0.0329986	0.0334461	0.0369758	0.0470733	0.0345171	0.0295851	0.025416	0.0256725	0.0113187	0.0138329	0.0135605	0.00895974	0.0113858	0.00683412	0.00887433	0.00615851	0.00790775	0.0119246	0.0406848	0.0275623	0.0554885	0.0571195	0.0999307	0.109528	0.110953
de	0.0229758	0.0245837	0.0238171	0.0160121	0.0210074	0.0188842	0.0220916	0.024684	0.0264617	0.0270029	0.027477	0.0279437	0.0350628	0.0357679	0.0348362	0.0275441	0.0325157	0.0317255	0.0271531	0.0225658	0.0199363	0.0188751	0.0215537	0.037162	0.0202953	0.0185857	0.0211248	0.0282111	0.0238855	0.0268008	0.0330223	0.0477454	0.0562679	0.0964218
la	0.0547512	0.0244369	0.0222131	0.0132007	0.00873014	0.00823156	0.00779909	0.00882824	0.00942278	0.0177016	0.0139351	0.0134653	0.0141438	0.0130522	0.0125037	0.0189069	0.0320663	0.0395503	0.0414527	0.0242853	0.0202889	0.0281511	0.0203473	0.0149828	0.0165132	0.0288324	0.0363478	0.0387504	0.0434468	0.0547549	0.0530593	0.0697266	0.078896	0.0972255
route	0.0353701	0.0142265	0.0143815	0.00839624	0.00605778	0.00513263	0.00727792	0.0154444	0.0216419	0.0313601	0.0282434	0.0322154	0.0333887	0.0246157	0.0156296	0.0151451	0.0218911	0.0224532	0.0338219	0.0226402	0.0218269	0.0188745	0.01364	0.0119943	0.00618629	0.0154344	0.0259376	0.0326672	0.0564078	0.0716796	0.0626625	0.0844194	0.0831137	0.0858226
</S>	0.0457742	0.0256811	0.0265639	0.0200901	0.0223246	0.0167372	0.0188823	0.0213148	0.0215271	0.0259255	0.0243118	0.0253038	0.0245614	0.0269452	0.047034	0.0536853	0.0534874	0.0474485	0.0449528	0.0484346	0.0405972	0.0270963	0.033964	0.0249771	0.0233226	0.0205779	0.0170876	0.0189483	0.0195043	0.0193784	0.0242701	0.0238734	0.0264826	0.0389348
