 	m	w	a	n	d	z	a	ó	b	v	e	m	ó	n	d	é	e	y	á	b	í	n	í	n	g	ó	l	ó	m	i	</S>
la	0.015492	0.0442671	0.0373549	0.0258917	0.0173382	0.0328205	0.0456815	0.0499496	0.0469383	0.0479134	0.0333566	0.0378034	0.0333312	0.0310435	0.0255401	0.0334912	0.0272509	0.0323499	0.0240578	0.0206434	0.0295436	0.0341477	0.0353795	0.0381207	0.0362504	0.0277828	0.0281221	0.030138	0.0326652	0.0234311	0.0219037
foudre	0.0373147	0.0605679	0.0829671	0.206929	0.241477	0.14	0.14028	0.0244038	0.0152918	0.00747256	0.00345102	0.00084591	0.000961633	0.000809671	0.00115004	0.00145115	0.000976331	0.00119355	0.00108436	0.00113829	0.00071305	0.00136155	0.000614697	0.000952752	0.00228282	0.00262944	0.00278653	0.00672083	0.00421302	0.00530087	0.00265861
est	0.0439988	0.0184465	0.0218718	0.0185163	0.0191477	0.0128519	0.020465	0.0160453	0.0298442	0.0390712	0.0325975	0.0239519	0.0378373	0.0263666	0.0319531	0.0363462	0.0641833	0.0970065	0.0939249	0.0742975	0.0423367	0.0345077	0.032954	0.022706	0.0225889	0.0172347	0.0157302	0.00786929	0.00776336	0.019803	0.0177827
tombée	0.0340252	0.018862	0.0164874	0.0205589	0.025827	0.0317015	0.034774	0.0366201	0.0505752	0.0433711	0.0446023	0.0371353	0.0462495	0.0285029	0.0206639	0.0146089	0.0459096	0.0274631	0.0326905	0.0265929	0.0244003	0.0189521	0.0276881	0.0199761	0.0194218	0.0259262	0.0303943	0.0294993	0.0357699	0.0393678	0.0913826
sur	0.0589398	0.0267855	0.0168503	0.0164288	0.0187174	0.0201196	0.0266866	0.0223418	0.0417751	0.0453447	0.0318465	0.0231106	0.0348348	0.024512	0.0394133	0.020806	0.0483937	0.0388592	0.0561344	0.0536702	0.0341189	0.0123797	0.0224686	0.0122067	0.0112896	0.0182209	0.020363	0.0238787	0.0416799	0.0439772	0.0938464
la	0.0115667	0.0178472	0.00945159	0.00961234	0.00798864	0.00511273	0.00591992	0.00595305	0.0104779	0.0158502	0.0194812	0.0235054	0.0320209	0.0284626	0.0330335	0.0323918	0.0476389	0.0340483	0.0473659	0.0657111	0.053423	0.0304062	0.0272995	0.0274777	0.0253351	0.0494145	0.0520005	0.0792133	0.0721163	0.0709359	0.0489382
maison	0.0301443	0.0244514	0.0174526	0.0164546	0.0178927	0.0210229	0.0227823	0.0232637	0.0265939	0.0306929	0.0406411	0.0351614	0.0411351	0.0210765	0.0229531	0.0259087	0.0301352	0.029138	0.0321586	0.0498734	0.0484557	0.0337665	0.0193179	0.0325928	0.0326544	0.0475745	0.0379511	0.0351623	0.0314124	0.0438852	0.0782948
de	0.0600045	0.0301664	0.0175329	0.019738	0.0255742	0.0230085	0.022099	0.0160352	0.0147239	0.0175212	0.0317542	0.0293512	0.056075	0.0711223	0.0756768	0.0576435	0.0653825	0.0460835	0.0389347	0.0403374	0.0333574	0.0211825	0.00876196	0.0151478	0.0143368	0.0233372	0.0221775	0.0121871	0.0107152	0.018672	0.0613598
votre	0.138207	0.0570826	0.0408887	0.0164883	0.0116678	0.00810931	0.00671905	0.0045045	0.00476612	0.0064708	0.011299	0.0113399	0.0284529	0.0229528	0.0499407	0.0606171	0.0465291	0.0319934	0.0203142	0.0304392	0.0194248	0.0229665	0.0134286	0.0233798	0.0178583	0.0448978	0.0515049	0.0223285	0.0311157	0.0390698	0.105243
oncle	0.108919	0.0426111	0.0433687	0.0187455	0.014597	0.0105521	0.00684161	0.00912356	0.00642969	0.012639	0.02007	0.0269615	0.0597828	0.0356245	0.0480064	0.0403243	0.0249491	0.0241479	0.017777	0.0246594	0.0223636	0.0279164	0.0076525	0.0208071	0.0186168	0.047034	0.0459866	0.0242015	0.0267808	0.031846	0.130664
</S>	0.0849388	0.0516276	0.0454721	0.0226992	0.0110209	0.00715354	0.00563019	0.00574065	0.0060794	0.00811149	0.0118622	0.0202936	0.0347022	0.0270599	0.0361704	0.0348393	0.0415831	0.0231062	0.0221171	0.0195159	0.017049	0.0162303	0.012371	0.0134828	0.0141662	0.0310271	0.0434699	0.037541	0.041631	0.0540932	0.199215
