 	n	g	á	í	p	i	i	i	m	b	a	m	b	a	m	ó	n	y	έ	n	y	έ	</S>
j'	0.169655	0.208276	0.167172	0.124921	0.0832557	0.0226443	0.0135988	0.00983687	0.0211259	0.0206237	0.0237611	0.0226921	0.0191989	0.0152886	0.0148981	0.00978491	0.00832522	0.0077868	0.00843759	0.00844926	0.0064452	0.00708255	0.00674008
ai	0.0800486	0.0842565	0.132285	0.0606349	0.0306991	0.0451304	0.0106058	0.0376405	0.0883253	0.0401977	0.022119	0.011696	0.0131311	0.0239827	0.032254	0.0357726	0.0413738	0.0464795	0.0366076	0.031637	0.020383	0.0293785	0.045362
attrapé	0.0184541	0.0134285	0.0166812	0.0429527	0.058178	0.0780878	0.0644225	0.0660973	0.088774	0.0566218	0.0525547	0.0575588	0.0478562	0.0354802	0.0198696	0.0191254	0.0317412	0.0316301	0.0404247	0.0474169	0.0457406	0.0398916	0.0270121
une	0.0296125	0.0289934	0.0189001	0.0187212	0.023164	0.0204018	0.0229136	0.0277666	0.0251108	0.0499827	0.0441398	0.083596	0.0653792	0.0549283	0.0416235	0.0500284	0.0431041	0.0468836	0.0430102	0.0495864	0.0630446	0.0677077	0.0814015
grenouille	0.00909949	0.00567722	0.00750808	0.0122036	0.0200052	0.0876648	0.0667281	0.0785104	0.0586543	0.047086	0.0354852	0.0352032	0.0444548	0.0430831	0.0623658	0.0629063	0.0467224	0.0455821	0.0339861	0.0296154	0.0304145	0.0417569	0.095287
dans	0.0235116	0.0163321	0.0150857	0.0150627	0.0190202	0.0133312	0.0176235	0.0467134	0.0326994	0.0234064	0.0232178	0.0271017	0.0284019	0.0328704	0.0430156	0.0420532	0.0287508	0.0353863	0.0406963	0.0478456	0.0979074	0.111137	0.21883
la	0.0449929	0.0274951	0.0158096	0.0162769	0.0197817	0.0208417	0.0215178	0.0357801	0.028852	0.0322991	0.0443623	0.0601453	0.0569264	0.0407178	0.0325151	0.0358133	0.0383904	0.0414941	0.0489718	0.0614923	0.0599721	0.0794437	0.136108
petite	0.013915	0.0120774	0.0164111	0.0201799	0.0355277	0.0457169	0.0290588	0.0307594	0.0189908	0.0147499	0.0197113	0.0231461	0.0346451	0.0375305	0.0514441	0.0560964	0.0482493	0.0667255	0.0624222	0.0527399	0.0523825	0.0907487	0.166772
nasse	0.0377127	0.0333952	0.0277493	0.0370289	0.0355295	0.0364101	0.0195745	0.0216899	0.0159071	0.014119	0.0156686	0.0192526	0.0241313	0.0202456	0.0169746	0.0238449	0.0387734	0.0510836	0.0556079	0.089888	0.098643	0.111185	0.155585
</S>	0.0805955	0.0497066	0.0420143	0.104795	0.0599114	0.0234648	0.0196861	0.028533	0.0142582	0.0201429	0.0169409	0.0133486	0.0145286	0.0122877	0.0129186	0.0181346	0.0202192	0.0230383	0.0281493	0.0470855	0.067069	0.0791666	0.204006
