 	m	w	á	n	a	y	e	é	d	i	s	ó	b	é	é	w	ú	u	a	s	á	a	m	ω	n	g	ω	</S>
cet	0.0123817	0.0220173	0.0275924	0.0199264	0.00670434	0.00479684	0.0113071	0.0048545	0.00515121	0.0113553	0.019993	0.038716	0.0384813	0.0796935	0.0673552	0.0915477	0.068646	0.0705102	0.093912	0.0700751	0.0627296	0.0366467	0.0136764	0.0198929	0.0176161	0.0226367	0.0276796	0.034105
enfant	0.0138577	0.055156	0.0639199	0.0935755	0.122991	0.0993584	0.106584	0.138731	0.0887312	0.0421019	0.0205567	0.0328391	0.00457868	0.0045333	0.0051125	0.00574731	0.00355456	0.00241785	0.00487907	0.0138918	0.0218947	0.0218781	0.0105649	0.0112964	0.0062507	0.00212698	0.00223408	0.000635892
qui	0.047261	0.0237582	0.010935	0.0117416	0.0133245	0.0220173	0.0201829	0.0153902	0.0134844	0.011158	0.00665867	0.00723289	0.0231513	0.0265412	0.0413263	0.120295	0.0387639	0.102671	0.127438	0.0821754	0.0568002	0.03829	0.0320153	0.0256715	0.0197108	0.0192087	0.0272419	0.0155552
est	0.0135168	0.0227178	0.0171748	0.0150658	0.0201291	0.0244648	0.00976851	0.0528764	0.0555325	0.0538347	0.0319377	0.0469039	0.0612187	0.0841678	0.110853	0.0606287	0.0597079	0.0316215	0.024661	0.0270188	0.021092	0.0260816	0.0179515	0.0194027	0.0193213	0.0188294	0.028387	0.0251347
dans	0.0458282	0.0453692	0.0446293	0.0370951	0.0341573	0.0355426	0.0286978	0.0353598	0.0329434	0.0211668	0.0120444	0.014686	0.00858899	0.0151605	0.0168444	0.0269347	0.0223639	0.020767	0.0317646	0.0394805	0.0381983	0.0442264	0.0456892	0.0513689	0.0557477	0.0497413	0.0624773	0.0831262
le	0.0571875	0.0435582	0.0320424	0.0158064	0.0185825	0.016158	0.0152864	0.0159789	0.0154089	0.0242875	0.0295938	0.0358571	0.0391255	0.0182991	0.0320298	0.0214333	0.0267091	0.0187044	0.0156993	0.0190405	0.0236676	0.0416231	0.0369516	0.0531615	0.0625029	0.0755107	0.0741837	0.12161
lit	0.0621714	0.046214	0.0382992	0.021764	0.0240427	0.0127399	0.0128923	0.0160552	0.0124809	0.0179242	0.0199776	0.0167932	0.0109288	0.013423	0.0145038	0.0142426	0.0106781	0.00714695	0.0110731	0.0247508	0.0366054	0.0555614	0.0652616	0.0705284	0.0976933	0.073139	0.0869002	0.106209
est	0.119099	0.0625098	0.0400886	0.0231431	0.0298873	0.0203302	0.0197891	0.0248428	0.0291258	0.0340308	0.0317634	0.0330382	0.0383274	0.0257014	0.0258543	0.0295515	0.0152692	0.009722	0.0241331	0.0311864	0.0227294	0.0159086	0.0201522	0.0549816	0.0491511	0.0306925	0.0470204	0.0919703
encore	0.0473609	0.0252045	0.0206999	0.015747	0.0142193	0.012213	0.0108401	0.0143763	0.0192333	0.0179701	0.0186268	0.0252284	0.0292685	0.0430279	0.03819	0.0315364	0.0237357	0.0306652	0.037993	0.0385453	0.0431923	0.0423346	0.0521716	0.0500766	0.0681527	0.0752937	0.055841	0.098256
éveillé	0.042603	0.0402236	0.0405868	0.0243428	0.0269956	0.0210706	0.0151072	0.0246654	0.0279577	0.026224	0.0237613	0.0312886	0.0355522	0.0278684	0.0336277	0.0424009	0.0309161	0.0190022	0.0204287	0.0208961	0.01722	0.0229671	0.0312986	0.0646217	0.0753349	0.0614389	0.0663583	0.0852417
</S>	0.102959	0.0654054	0.0577882	0.0363828	0.0384448	0.02867	0.0179863	0.0157476	0.00932104	0.0062269	0.0132535	0.0204969	0.0160645	0.0253871	0.0279189	0.0273299	0.0216137	0.0207719	0.023702	0.0246135	0.0405995	0.040808	0.0378503	0.0357745	0.0443157	0.0427107	0.0585273	0.0993297
