 	n	g	á	í	f	ú	ú	m	u	m	b	v	ú	á	s	á	n	d	é	e	y	ó	b	i	a	y	a	n	g	á	</S>
je	0.0991431	0.211918	0.176876	0.221851	0.0486454	0.0225763	0.00471266	0.00669803	0.0031882	0.00484312	0.0138163	0.0108514	0.00872604	0.0127608	0.00942501	0.00958505	0.00778758	0.00523763	0.00563852	0.0038283	0.00628629	0.0103672	0.00933603	0.00988845	0.00797953	0.00784648	0.0123252	0.0127753	0.0100771	0.0127958	0.0122141
me	0.164028	0.0683667	0.0571401	0.0307749	0.0642682	0.0376244	0.0526728	0.0631211	0.0645981	0.0529889	0.0386211	0.0319572	0.0244447	0.024326	0.01903	0.0142633	0.00902351	0.00541599	0.00743329	0.00900075	0.00633653	0.00382824	0.00768122	0.0119193	0.0236376	0.0208014	0.0204393	0.00931432	0.00757487	0.0180566	0.0313119
suis	0.048652	0.0635455	0.0203063	0.036081	0.0608835	0.0497344	0.0595415	0.01303	0.0146845	0.0162851	0.0197261	0.0254226	0.0281308	0.0390234	0.0492333	0.0411843	0.0343919	0.0291606	0.0342028	0.0230399	0.0238435	0.0261383	0.0158316	0.0252159	0.0175876	0.0431385	0.0306764	0.0195966	0.0412758	0.0322326	0.0182034
abrité	0.0294606	0.0224503	0.00733787	0.00564939	0.0113099	0.0267709	0.0495171	0.0311628	0.0473789	0.0472008	0.0574565	0.0799266	0.0782423	0.0619753	0.0535189	0.0419208	0.0362777	0.0331878	0.0279829	0.0202558	0.014765	0.0141988	0.0175754	0.0225152	0.023116	0.0316927	0.0261556	0.0142034	0.0187274	0.018828	0.0292395
de	0.00737089	0.0122243	0.00668857	0.00746347	0.0130821	0.0140009	0.0142651	0.0166718	0.0160818	0.0190023	0.0165247	0.0219478	0.0195253	0.0276093	0.0377733	0.0465981	0.0446535	0.0526333	0.0633916	0.060271	0.0602396	0.0565047	0.0495043	0.0411282	0.0205917	0.0374456	0.0332492	0.0438496	0.0403941	0.0442618	0.0550521
la	0.092499	0.0519913	0.0429138	0.0412613	0.0474119	0.0212823	0.0246878	0.0258522	0.0171625	0.0264107	0.0279546	0.0284885	0.015401	0.0216183	0.0177379	0.0179832	0.0176046	0.0168352	0.0228287	0.0252348	0.0252534	0.026125	0.0253022	0.0313592	0.0374298	0.0278805	0.0377858	0.0461993	0.0346511	0.0477757	0.0570785
pluie	0.0109206	0.0167604	0.012561	0.0238773	0.0175519	0.0207738	0.019085	0.0301639	0.0335955	0.0410326	0.0412378	0.0529958	0.0401268	0.0433813	0.0445166	0.043787	0.060084	0.0303866	0.0193972	0.0205323	0.00720963	0.0133093	0.00709428	0.0196629	0.0168426	0.0454929	0.0324118	0.0217782	0.0413364	0.0432704	0.128824
dans	0.0586316	0.0399736	0.0251154	0.0364229	0.0210236	0.0107798	0.0102985	0.0134128	0.0160424	0.0152919	0.0128515	0.0154955	0.0152226	0.0175841	0.0226479	0.0302439	0.0306323	0.0329898	0.0346432	0.0538628	0.0437796	0.0451887	0.0346329	0.0425966	0.0367524	0.0427662	0.0396569	0.0441753	0.05241	0.0518148	0.0530605
la	0.0394964	0.0411149	0.0223234	0.0281276	0.0202835	0.0180164	0.019681	0.0225532	0.0159969	0.0199474	0.0152802	0.0147548	0.0129701	0.0154914	0.0165601	0.0235048	0.0219015	0.0134184	0.0203269	0.0299931	0.0464882	0.0620592	0.0377076	0.0675969	0.0479918	0.0486249	0.053737	0.0488365	0.0521786	0.0510173	0.0520201
maison	0.0255232	0.0226812	0.021978	0.0232717	0.0155209	0.0129381	0.0124675	0.0138171	0.0159041	0.0185378	0.0217556	0.0270301	0.025124	0.025701	0.0297337	0.0369112	0.0414016	0.0323078	0.0299458	0.0399557	0.0176095	0.0317589	0.0130312	0.0404588	0.0243999	0.066444	0.0497349	0.029264	0.0770955	0.0640712	0.0936259
de	0.060229	0.0298191	0.0110415	0.0120953	0.0200064	0.0169696	0.0219226	0.0174309	0.0158735	0.0201708	0.0231796	0.0262953	0.0276556	0.031958	0.0363322	0.0487155	0.0337124	0.0226562	0.0321122	0.0342487	0.0325628	0.0334773	0.0211577	0.0331127	0.0337206	0.0493369	0.0446626	0.0411878	0.053697	0.0517547	0.0629053
mon	0.0922781	0.0417876	0.0162545	0.0183727	0.0270599	0.0204594	0.019204	0.0133026	0.0151299	0.0151974	0.0158557	0.0164771	0.0177656	0.018948	0.0190012	0.0253421	0.0141309	0.012877	0.0185506	0.0267723	0.0346595	0.0431101	0.0172873	0.0418136	0.0298466	0.0536766	0.0527817	0.0406382	0.0699571	0.0645	0.0869621
ami	0.0383146	0.0144363	0.00855797	0.0158998	0.0186235	0.02298	0.0160494	0.0128548	0.013291	0.011893	0.0131694	0.0140416	0.0172356	0.0183447	0.020077	0.0288594	0.0193561	0.016588	0.0208455	0.0367524	0.0147298	0.025485	0.0165352	0.034338	0.0337776	0.0663285	0.0680162	0.062087	0.0935221	0.0924587	0.114552
</S>	0.047912	0.0281309	0.00942324	0.0105936	0.0167048	0.0211214	0.0277844	0.0224026	0.0202313	0.0200782	0.0219148	0.0246733	0.0308888	0.0412897	0.0473604	0.051291	0.0324897	0.0272364	0.0251043	0.0202105	0.0192326	0.0176497	0.0120695	0.0171571	0.0252628	0.0386505	0.0317067	0.0260342	0.0595712	0.0586377	0.147186
