 	m	ú	a	m	ó	ó	y	í	í	n	g	á	ó	i	k	o	ó	l	ó	s	é	m	b	á	ó	m	i	b	ó	n	a	a	</S>
le	0.00956018	0.0116023	0.0159489	0.0116166	0.0134319	0.0143394	0.0210266	0.0213396	0.0302173	0.0442933	0.0371537	0.0942226	0.091305	0.0838872	0.0376489	0.0222398	0.0135763	0.0155181	0.0168061	0.0173539	0.0168391	0.0211841	0.017417	0.0177701	0.0172164	0.0234772	0.0340509	0.0381664	0.0391683	0.0377743	0.043778	0.038845	0.031226
panier	0.0150223	0.0205101	0.0576495	0.126639	0.09656	0.0736766	0.0452625	0.0294357	0.0351635	0.0376023	0.0682501	0.0729765	0.0380985	0.026118	0.0159543	0.00675939	0.00507525	0.0086512	0.00314038	0.00316129	0.0030051	0.0109692	0.00881163	0.00859514	0.0107702	0.0225037	0.0547796	0.0291779	0.028506	0.0139482	0.0117844	0.00700584	0.00443632
que	0.182213	0.0777648	0.0348903	0.0158046	0.0140021	0.0125961	0.0164234	0.0163094	0.0213781	0.0200514	0.0188563	0.0170072	0.0221823	0.022006	0.0273537	0.0353988	0.0319345	0.0271741	0.0337427	0.0396938	0.0369913	0.0376935	0.0505234	0.0237023	0.0255163	0.0275899	0.0166225	0.019109	0.025341	0.0163834	0.0121226	0.00999565	0.0116268
j'	0.0420082	0.0560397	0.0654146	0.0609844	0.0442188	0.0424461	0.0353154	0.0193669	0.0224206	0.0295341	0.0376405	0.0598948	0.0699248	0.0478428	0.031974	0.0284431	0.0202716	0.0172705	0.017991	0.0283568	0.0289177	0.0176671	0.0113654	0.0063402	0.00806902	0.00791702	0.00895029	0.010141	0.0130768	0.026256	0.0263341	0.0193085	0.038298
avais	0.0716112	0.0540366	0.0496658	0.0546056	0.05195	0.0482282	0.0303698	0.0215537	0.0249585	0.0223402	0.0280353	0.0216465	0.0149611	0.0165816	0.022669	0.0387485	0.0408609	0.039683	0.0339023	0.0420852	0.0418606	0.0520204	0.0276798	0.0151673	0.0156441	0.0115911	0.00733538	0.00938123	0.00903562	0.00855186	0.00813227	0.0156825	0.0494247
laissé	0.060969	0.041711	0.0367401	0.0407082	0.033503	0.0359347	0.0255063	0.0145156	0.0123492	0.0124513	0.0155005	0.0128313	0.0115392	0.0157069	0.0260118	0.0301231	0.0320176	0.0313488	0.0272488	0.0266951	0.0251337	0.0275586	0.0378893	0.0274531	0.0226637	0.0275641	0.0276612	0.0425632	0.0423365	0.0385487	0.0323756	0.0396488	0.0651921
sur	0.0339799	0.0291473	0.0281354	0.0277866	0.0252987	0.0318006	0.0275611	0.0226587	0.0256451	0.023205	0.0304046	0.0273058	0.0211512	0.013966	0.0169547	0.0206767	0.0296799	0.0235208	0.0277345	0.029624	0.0394528	0.0334857	0.0401127	0.0247636	0.0217894	0.0240016	0.0193456	0.0308669	0.0293967	0.0334558	0.0377801	0.0553224	0.09399
la	0.0277674	0.0323963	0.0250201	0.0244573	0.0254395	0.0301537	0.0416663	0.0392549	0.0386987	0.0363639	0.037507	0.0283316	0.0242011	0.0182751	0.0221732	0.02516	0.0297734	0.027351	0.02714	0.0316566	0.0411493	0.0268263	0.0331333	0.0160302	0.0173996	0.0243993	0.0163654	0.02112	0.0204591	0.0230833	0.0188807	0.0464975	0.101869
termitière	0.0188061	0.0132393	0.0153255	0.00863078	0.00495848	0.00405632	0.0066474	0.00918784	0.00869193	0.00570344	0.00852705	0.00825969	0.00798963	0.00947466	0.0126071	0.021641	0.0373712	0.0501166	0.0529384	0.0598391	0.0558922	0.060767	0.0729345	0.0540962	0.0614572	0.0608103	0.0424907	0.0312331	0.0361661	0.0191682	0.00887723	0.0309383	0.101157
a	0.0652185	0.0439641	0.0260166	0.0121315	0.00561378	0.00481194	0.0064889	0.00985239	0.0101942	0.00796469	0.00798281	0.00711032	0.00737187	0.0101706	0.0307447	0.0533344	0.0715946	0.0513189	0.0662387	0.0679278	0.067462	0.0544365	0.0538839	0.0438351	0.0206882	0.0249539	0.0116325	0.0101872	0.0144186	0.0155201	0.00720486	0.033899	0.0758268
dégringolé	0.110693	0.0471627	0.0231072	0.00975607	0.00525875	0.00484287	0.00425989	0.00403622	0.00353503	0.00324821	0.00387605	0.00422308	0.00451384	0.00855334	0.0159192	0.0309047	0.0406996	0.0314447	0.0442741	0.0597986	0.0460803	0.0536152	0.0396321	0.0353005	0.0233586	0.039555	0.031654	0.0300049	0.0393772	0.0390196	0.0301118	0.0501227	0.0820612
</S>	0.0586507	0.0390818	0.0309716	0.0176473	0.00938385	0.00846653	0.0132172	0.0281744	0.0306964	0.0215158	0.0238965	0.0147368	0.0120854	0.00805872	0.0167583	0.0258353	0.0362867	0.0263698	0.0362259	0.042263	0.0455851	0.0474926	0.0449786	0.0290195	0.0160927	0.0239515	0.0151756	0.0199031	0.0247371	0.0319901	0.0296432	0.0566287	0.11448
