 	w	á	á	n	ω	o	d	z	e	o	t	í	n	a	a	k	a	á	i	d	í	n	ω	k	y	έ	r	ε	o	t	á	á	s	a	k	a	á	</S>
si	0.137515	0.13837	0.121629	0.058512	0.0269084	0.0166605	0.0137484	0.0164131	0.0173021	0.016584	0.0160577	0.0172791	0.0162174	0.0153896	0.0157687	0.0157939	0.015018	0.0182528	0.0170692	0.0215038	0.0167327	0.00924666	0.00772176	0.0114624	0.00818977	0.00940367	0.00982127	0.00991069	0.00895189	0.0224008	0.0159419	0.0174742	0.0258194	0.0232509	0.0197237	0.0183971	0.0204315	0.0131275
tu	0.19337	0.0863712	0.0769965	0.0576454	0.0519095	0.0588261	0.0527773	0.0687821	0.0515417	0.0181043	0.0160986	0.019029	0.0219342	0.0204241	0.0206014	0.0209605	0.014489	0.0240771	0.0202517	0.0165935	0.0240813	0.00898606	0.00317447	0.00548686	0.00192337	0.00135621	0.0017306	0.00119861	0.000698327	0.000608952	0.000607722	0.000646824	0.00176863	0.00396112	0.00280743	0.00415197	0.00575883	0.0202694
ne	0.0198735	0.0189684	0.0153006	0.0272656	0.0159217	0.030986	0.0483218	0.0416422	0.0301598	0.0284465	0.0395618	0.0482854	0.0343141	0.0329248	0.082566	0.0547386	0.0572586	0.0626177	0.0482508	0.0390375	0.0200523	0.0181375	0.00893945	0.00586296	0.00602001	0.00569304	0.00581237	0.00602238	0.00370584	0.00642685	0.00867127	0.0068202	0.0104639	0.0206717	0.0173397	0.0270266	0.0256481	0.0202444
bouges	0.0268254	0.0335748	0.0314846	0.0192635	0.0316659	0.0140113	0.0427975	0.0427569	0.0226622	0.0325784	0.0326613	0.0370518	0.0182579	0.0323316	0.0766708	0.0342933	0.0470788	0.0414509	0.0113579	0.0153442	0.0175516	0.026846	0.0291306	0.0294571	0.0373342	0.0302705	0.0415748	0.0258479	0.016809	0.0141464	0.01058	0.0103334	0.0120723	0.0100402	0.0068216	0.0108829	0.00889281	0.0172898
pas	0.00564965	0.00448044	0.0049126	0.0129042	0.0129412	0.0153821	0.0131657	0.0151263	0.0151979	0.0142633	0.0150575	0.0164798	0.0154627	0.00837199	0.0131125	0.0116848	0.0110718	0.0260961	0.0198928	0.0260778	0.041586	0.0284692	0.0397867	0.0527197	0.0554913	0.054385	0.0690376	0.0434522	0.0524196	0.0249181	0.0193178	0.028713	0.0401117	0.0196511	0.0242131	0.0363256	0.0355367	0.0565347
je	0.0236703	0.013587	0.0119212	0.0087767	0.011615	0.012892	0.0151569	0.0257072	0.0217713	0.0197672	0.0156053	0.0190039	0.0115907	0.0116231	0.0196213	0.0105877	0.00978939	0.0109322	0.00856529	0.0135641	0.0201819	0.0139275	0.0246292	0.0272664	0.0316146	0.0316963	0.0346151	0.0430971	0.0517068	0.0570762	0.0319683	0.0579077	0.0689201	0.0352956	0.0376148	0.0394963	0.0320269	0.0652115
ne	0.00742144	0.00601678	0.00478221	0.0118579	0.0149075	0.0189161	0.0182711	0.023462	0.0251146	0.0259835	0.0264971	0.0229853	0.0160514	0.0166128	0.0230568	0.0156764	0.0200759	0.0181326	0.0118382	0.0190107	0.0161627	0.0153172	0.0189398	0.0194952	0.0233888	0.0194642	0.0244084	0.0250597	0.028646	0.0319848	0.0210976	0.0320437	0.0384715	0.0505433	0.0530053	0.0665312	0.070269	0.098501
te	0.0121308	0.008442	0.00689947	0.0146776	0.0138334	0.019879	0.0192957	0.021924	0.0218044	0.0185343	0.0207569	0.0132424	0.0179164	0.0146058	0.0172271	0.0162099	0.0201253	0.0302873	0.0297187	0.0389642	0.0317361	0.0265591	0.0373001	0.0352892	0.0408332	0.0324593	0.0350974	0.0248904	0.0241628	0.0168141	0.0106819	0.0225765	0.0209323	0.0249664	0.0284331	0.0511895	0.0666985	0.0929052
ferai	0.0229619	0.02516	0.0189406	0.0140417	0.0182188	0.0142335	0.0265102	0.0204275	0.0150104	0.00884529	0.0104356	0.00958792	0.0188119	0.0112175	0.0134441	0.0136583	0.0159593	0.022721	0.0273124	0.0319652	0.0404244	0.0479943	0.0620815	0.0496995	0.0490941	0.0445844	0.0500288	0.0295372	0.0264355	0.0258986	0.0223489	0.0209228	0.0204902	0.016474	0.0141243	0.0272413	0.029529	0.0636279
pas	0.0187139	0.0163657	0.0114719	0.00988315	0.0114558	0.012365	0.0112018	0.0121803	0.0117672	0.0118402	0.0116728	0.0126428	0.0125414	0.0163985	0.0218896	0.0195413	0.0249199	0.0279352	0.0223744	0.0280094	0.0303975	0.0345064	0.042955	0.0425339	0.0455304	0.0434567	0.0697145	0.0434404	0.0359906	0.0346046	0.0344111	0.0341716	0.0297295	0.0289946	0.0289904	0.0304301	0.0314206	0.0335519
de	0.0256422	0.0136457	0.0155928	0.0250295	0.028764	0.0363484	0.0301444	0.0365772	0.0330611	0.0206779	0.0172955	0.0163412	0.0152386	0.0194118	0.0216971	0.0248261	0.0228004	0.0241297	0.020741	0.0236538	0.0244082	0.0260521	0.0250341	0.0260206	0.0247262	0.0238941	0.0227209	0.0210272	0.0230708	0.0239519	0.0187167	0.0225972	0.0214013	0.0306269	0.0308931	0.0494203	0.0492559	0.064564
mal	0.0136629	0.00955912	0.0100583	0.0177598	0.0201543	0.0314063	0.0251024	0.0267747	0.0246774	0.0185623	0.0205192	0.0186109	0.0130825	0.013621	0.021303	0.0145761	0.0152537	0.0225299	0.015106	0.0209024	0.0224047	0.0255516	0.024829	0.0258433	0.0237021	0.0230063	0.0207182	0.0161997	0.021606	0.045867	0.0211087	0.0342692	0.033916	0.0407229	0.0461776	0.0628877	0.0618567	0.0761111
</S>	0.0389605	0.0255099	0.0205034	0.0215315	0.0238455	0.0251473	0.0226833	0.0167399	0.0166213	0.0107614	0.0118993	0.00939899	0.0095421	0.00943433	0.0159834	0.0138243	0.0164626	0.0181871	0.00978285	0.0150908	0.0192989	0.0271923	0.0269264	0.0360458	0.0309783	0.0266183	0.0350401	0.0188545	0.0193938	0.0269347	0.0162173	0.0195678	0.0327384	0.0320283	0.0349291	0.063763	0.0650535	0.11651
