 	l	e	b	o	n	g	i	í	s	á	a	s	á	n	d	z	á	l	é	</S>
il	0.015224	0.0178293	0.0178929	0.0146505	0.0285679	0.0449516	0.112313	0.126761	0.087458	0.0838934	0.10442	0.0780797	0.0609497	0.0385902	0.0328971	0.0282322	0.0283951	0.0273974	0.0288823	0.0226153
y	0.106427	0.0609102	0.0735022	0.0842159	0.104207	0.116139	0.129245	0.0562937	0.014756	0.0151242	0.0341075	0.0283588	0.0403673	0.04886	0.035211	0.0152353	0.0124637	0.00795793	0.00753061	0.00908925
a	0.0747244	0.0636292	0.0473953	0.0348169	0.0250882	0.0267722	0.0297452	0.0511123	0.0470068	0.0388953	0.0433735	0.038851	0.0551386	0.0667813	0.112709	0.0858936	0.0550039	0.0413056	0.0327889	0.0289685
des	0.0306848	0.0288604	0.0230146	0.0310775	0.0455834	0.0631515	0.0415814	0.0186539	0.0118763	0.0162427	0.0409171	0.062679	0.0733396	0.0850245	0.110794	0.109334	0.0548134	0.0531395	0.0467645	0.0524682
nappes	0.0682765	0.0708222	0.0606647	0.0529276	0.0348461	0.0296781	0.0263485	0.0420077	0.0603712	0.0432225	0.0620011	0.0408506	0.0364157	0.047126	0.0528058	0.0645571	0.0500213	0.0409595	0.0433482	0.0727497
de	0.0389189	0.0379972	0.0281048	0.0410753	0.0343294	0.0352861	0.031553	0.0422081	0.0548102	0.0564509	0.0633138	0.0395481	0.0435563	0.0390399	0.0366695	0.062663	0.0639242	0.0691571	0.0650829	0.116311
brume	0.0762417	0.0604568	0.0424274	0.0556532	0.045714	0.0432014	0.0357299	0.0184473	0.0150178	0.0131519	0.0177791	0.0153119	0.0157495	0.0224393	0.0330186	0.0686768	0.0796578	0.0783997	0.085872	0.177054
sur	0.0798751	0.0894557	0.0736052	0.0683684	0.0594295	0.0506059	0.0310825	0.0153646	0.00958964	0.0127828	0.0152384	0.0165683	0.0270628	0.0285379	0.0272376	0.0393647	0.0463134	0.066698	0.0839346	0.158885
le	0.0818104	0.0703383	0.0522212	0.0541204	0.0298114	0.0284072	0.0264842	0.0232242	0.0182907	0.0201628	0.0174138	0.0170042	0.0190835	0.0188801	0.0172557	0.037436	0.0574977	0.106596	0.116364	0.187599
fleuve	0.0800381	0.0700212	0.0508283	0.0490372	0.0276386	0.0216611	0.0184074	0.015572	0.0131352	0.0121018	0.0130461	0.0129261	0.0137656	0.0148607	0.0218795	0.0446163	0.0606065	0.10364	0.125953	0.230265
</S>	0.115743	0.0688353	0.0442741	0.0387498	0.0268723	0.0284788	0.0255895	0.0143733	0.00975828	0.00920192	0.0134604	0.0096784	0.00947013	0.0101271	0.0165827	0.0449541	0.075227	0.119357	0.12859	0.190677
