 	n	g	á	i	d	í	l	a	i	t	ω	n	d	ω	m	ó	e	k	o	o	i	p	á	p	a	l	í	i	k	ώ	s	ώ	l	ώ	n	g	á	</S>
j'	0.0995244	0.470617	0.113141	0.0633215	0.0326573	0.0149411	0.018598	0.0313212	0.0110067	0.00796265	0.0134093	0.0144634	0.00851723	0.0121345	0.0107548	0.00515742	0.00362662	0.00707334	0.00400348	0.00402772	0.00439579	0.00449985	0.00511958	0.0050287	0.00278764	0.00249736	0.00229188	0.00173594	0.00204299	0.00180956	0.00141836	0.00207093	0.00274346	0.00234092	0.00283983	0.00321015	0.00340643	0.00350251
ai	0.0375252	0.0123933	0.0368759	0.0751219	0.0597291	0.0309243	0.0202476	0.0384713	0.0190514	0.0412504	0.0811185	0.0639106	0.0726125	0.0567906	0.0504742	0.0255832	0.0170533	0.0366865	0.0310337	0.0141123	0.0147453	0.0173089	0.0148704	0.0125897	0.00711641	0.0145633	0.00819364	0.00456849	0.0100151	0.00559205	0.00992772	0.00598159	0.00243799	0.0119843	0.00220386	0.010024	0.00830668	0.0186047
une	0.0330251	0.0426523	0.0375772	0.0574862	0.0411828	0.0380384	0.0209017	0.0276375	0.0186477	0.0255424	0.0541023	0.0577378	0.0389078	0.061283	0.0550587	0.0455064	0.0458646	0.0284904	0.0177072	0.0197535	0.0203791	0.0196174	0.0208007	0.0139164	0.0133126	0.0132141	0.0126573	0.0148893	0.010584	0.00866334	0.00906423	0.00815848	0.00894917	0.0083413	0.0111446	0.0161104	0.0148207	0.00827392
ampoule	0.0158868	0.0070787	0.00951688	0.0134169	0.0147573	0.0245603	0.0201262	0.00959255	0.00663411	0.0103055	0.0308289	0.0329996	0.0274917	0.0332192	0.0326624	0.0252781	0.0364589	0.0347719	0.0203684	0.0239212	0.0199054	0.0207231	0.0175719	0.0164413	0.0197262	0.0225669	0.0218612	0.0251216	0.0257355	0.0441294	0.057159	0.0452387	0.0561817	0.0678481	0.0345534	0.0242203	0.0248764	0.0262644
au	0.0144983	0.00653926	0.0119007	0.0113494	0.0163105	0.00825422	0.0134166	0.0129426	0.0189578	0.0181937	0.0140138	0.0172258	0.0174584	0.0160034	0.024687	0.0311709	0.0422734	0.0220316	0.0498605	0.0394045	0.0247321	0.0176062	0.0127171	0.0152957	0.0148701	0.0106284	0.0135971	0.0207186	0.0131326	0.0289084	0.016321	0.0183653	0.0461684	0.0312346	0.0539189	0.0630796	0.0890208	0.103192
pied	0.0047466	0.00526928	0.00522408	0.00682031	0.00816013	0.0103664	0.0120735	0.0259182	0.0314817	0.0215989	0.0216255	0.0233561	0.0284567	0.0174407	0.0212674	0.0245301	0.0413774	0.0327155	0.0376924	0.0292123	0.0287568	0.0209481	0.019424	0.0178495	0.022145	0.0195095	0.0243624	0.0257313	0.0339039	0.0354217	0.0337519	0.0381899	0.0392354	0.0398271	0.0413974	0.0354922	0.0442186	0.0705025
ma	0.00900491	0.00559334	0.00621701	0.00840205	0.010797	0.00703745	0.00907426	0.0125962	0.0146222	0.0201344	0.0212569	0.0264432	0.036873	0.0246007	0.0312225	0.0230029	0.0329993	0.0247085	0.0320524	0.0433651	0.0434451	0.0275481	0.0168618	0.0148762	0.0210153	0.0184949	0.0205135	0.0211613	0.0303613	0.0382001	0.0352146	0.0376351	0.0419308	0.0336913	0.0455453	0.0390145	0.0491924	0.065295
chaussure	0.0134236	0.00828814	0.00680278	0.0088114	0.00877707	0.0151904	0.0130864	0.014982	0.0102562	0.00852141	0.0230265	0.016701	0.0352252	0.0315843	0.0402894	0.0388015	0.0448394	0.0459501	0.0438866	0.0496163	0.0463249	0.0280396	0.0205934	0.0136273	0.0160509	0.0166842	0.0136418	0.00906393	0.0286962	0.0181688	0.0258487	0.0262657	0.0260534	0.046183	0.0281594	0.0291428	0.0473086	0.0820877
me	0.0292228	0.019919	0.0170032	0.023211	0.0167794	0.0164815	0.0137801	0.0127389	0.0113407	0.0120513	0.0220657	0.0226515	0.0359932	0.0299172	0.0456409	0.0411115	0.0430653	0.0482031	0.0434694	0.0380362	0.0248983	0.0251298	0.0220358	0.0194263	0.0188979	0.0151179	0.0115563	0.0105448	0.0188034	0.0230471	0.0228264	0.0242665	0.0233542	0.0397127	0.030999	0.0340943	0.0432966	0.049311
blesse	0.0238299	0.0233158	0.0201758	0.0235184	0.0186985	0.0238036	0.0101353	0.0161708	0.015715	0.00585623	0.0100199	0.00895863	0.0266149	0.029949	0.0328199	0.0312968	0.0364142	0.0462378	0.0578202	0.0377605	0.0283689	0.0236215	0.0336876	0.0221889	0.0219024	0.0301244	0.0226497	0.0201028	0.0270699	0.0257899	0.0166447	0.0182065	0.0213729	0.0252767	0.0237945	0.0376084	0.0425583	0.0599209
</S>	0.0317343	0.0189053	0.0159112	0.0228715	0.0167734	0.0238369	0.0124878	0.0154389	0.00983656	0.0125917	0.0186017	0.0203204	0.0169309	0.0186672	0.0265274	0.034056	0.0276011	0.0231156	0.0279309	0.0172154	0.0158254	0.0189309	0.0249056	0.0361697	0.0331366	0.0200453	0.0191461	0.0211385	0.0184388	0.0348171	0.0223796	0.0310308	0.0253581	0.0351017	0.0671948	0.0473093	0.0563095	0.0614081
