 	n	g	ó	o	y	a	b	í	s	í	á	l	á	m	b	i	t	s	a	n	g	í	s	á	a	k	a	á	b	o	</S>
notre	0.0406861	0.0234205	0.0139431	0.0126673	0.0097877	0.00742448	0.0171254	0.0152876	0.0325575	0.0367319	0.0373399	0.0532492	0.0629139	0.0793787	0.114483	0.043099	0.030308	0.0144662	0.00951725	0.0247505	0.0273952	0.0375809	0.0350553	0.0276556	0.0300686	0.033266	0.0260867	0.0272517	0.027474	0.0258618	0.0231672
maman	0.263066	0.233485	0.316828	0.0763871	0.0495319	0.0298554	0.00602364	0.00191634	0.000611189	0.000217901	0.000200945	0.000313202	0.000524906	0.000782142	0.000891957	0.00114772	0.00107847	0.00141635	0.00157615	0.00136684	0.00226092	0.00211153	0.00194144	0.0028134	0.00146107	0.000683421	0.000632229	0.000289837	0.000242753	0.000164539	0.000176852
a	0.0146872	0.0255916	0.0348945	0.0394922	0.0322592	0.03193	0.0315148	0.034488	0.0463139	0.0538614	0.0926999	0.0501284	0.0677515	0.0801362	0.0614242	0.05537	0.0299468	0.0241691	0.0344275	0.0249108	0.0206323	0.0290154	0.025276	0.0161095	0.0122101	0.00968572	0.00731398	0.00389084	0.00328027	0.00406687	0.00252192
préparé	0.0205637	0.0145688	0.0168008	0.0198858	0.0166577	0.0130317	0.0160544	0.0188805	0.024373	0.0329263	0.03645	0.037623	0.0269507	0.0254347	0.0315345	0.0332822	0.0566397	0.05445	0.0547156	0.0397503	0.0473981	0.0275721	0.0249248	0.0189031	0.0247233	0.0365988	0.032475	0.0365236	0.0384879	0.0493248	0.0724954
du	0.0223601	0.0174606	0.0165678	0.0213358	0.0221842	0.0273265	0.0324224	0.0450327	0.0431505	0.0404263	0.0406902	0.0434634	0.0396811	0.0340568	0.042131	0.0366363	0.0301296	0.0224053	0.0249123	0.0224786	0.0212351	0.0186566	0.0203648	0.0157406	0.0219829	0.0271575	0.0346057	0.0358878	0.0400541	0.0476557	0.0918076
poisson	0.034145	0.0135874	0.0159053	0.0127034	0.0211105	0.0183435	0.0221572	0.0380547	0.0392316	0.0370432	0.0381977	0.046042	0.0337544	0.022697	0.018043	0.0166039	0.0281741	0.0369731	0.0319821	0.0268721	0.0330506	0.0338709	0.0270011	0.0266482	0.0329266	0.0287992	0.0351229	0.0361404	0.038362	0.0577745	0.0986826
salé	0.0179306	0.0142051	0.0142236	0.0140995	0.0155409	0.0176344	0.0172479	0.0350275	0.0270861	0.0218909	0.0247276	0.0240376	0.0180061	0.0113801	0.00908748	0.0110519	0.0278052	0.0356946	0.0374994	0.0380554	0.0463691	0.0442768	0.0449835	0.0395437	0.0506065	0.0493939	0.0532809	0.053308	0.053141	0.0579438	0.0749211
aux	0.0272343	0.0212025	0.0212509	0.021263	0.0221442	0.0230757	0.0200812	0.0188727	0.0190496	0.0140057	0.013704	0.0134533	0.0132541	0.00985397	0.00782512	0.00975643	0.0118003	0.0130206	0.0144795	0.0182448	0.026568	0.0318425	0.0340871	0.0287222	0.0554955	0.0580817	0.0721983	0.0782413	0.0783213	0.080451	0.122419
aubergines	0.0407708	0.0281388	0.0261529	0.0294536	0.0303144	0.0172376	0.0135568	0.0265372	0.0206673	0.0158141	0.017816	0.0124255	0.0112971	0.00667302	0.00545481	0.00697428	0.0109648	0.0119377	0.0193904	0.02029	0.0207939	0.0255593	0.0281671	0.0186172	0.0393229	0.0295371	0.0588373	0.0717612	0.0607128	0.10719	0.167634
</S>	0.0327291	0.0239302	0.0260103	0.0301571	0.0284973	0.0257288	0.0227618	0.0203687	0.0211655	0.0159712	0.0147541	0.0102914	0.00578297	0.0047884	0.00487162	0.00515929	0.00811961	0.0103319	0.0155039	0.0255634	0.0331979	0.0269285	0.0247069	0.0167883	0.0366493	0.0410753	0.0585711	0.0752664	0.0701956	0.107499	0.156635
