 	o	t	ó	n	g	i	n	d	é	e	á	b	v	ú	r	u	o	y	ó	l	í	s	á	o	n	ω	ω	m	á	n	d	é	e	</S>
le	0.0118311	0.0115066	0.0115637	0.0114554	0.0161931	0.0119627	0.0115639	0.0142963	0.020285	0.0264995	0.0403985	0.0495584	0.0686508	0.0714566	0.0502342	0.063866	0.040772	0.0370099	0.0428452	0.041062	0.0373151	0.0350989	0.0277264	0.0177825	0.0187212	0.0129664	0.018562	0.0158844	0.0185781	0.017414	0.0318242	0.0309407	0.0292554	0.0349198
maçon	0.0167069	0.0178692	0.0274166	0.0302041	0.0345124	0.0447735	0.0629364	0.111295	0.108158	0.171632	0.147467	0.0618413	0.051186	0.0392299	0.0179534	0.00914967	0.00354486	0.00316331	0.00343569	0.00165004	0.00224393	0.00118533	0.00109099	0.0015419	0.00155204	0.00315151	0.0031249	0.00480329	0.00455025	0.00402471	0.00343191	0.0027877	0.00137247	0.00101338
a	0.0300701	0.0230912	0.0160297	0.0100813	0.00872485	0.0134062	0.016607	0.0251605	0.0220062	0.0136537	0.0133602	0.0100918	0.0113469	0.0175565	0.0417251	0.0299948	0.063307	0.0610934	0.0850184	0.0614527	0.0345769	0.0412967	0.0459854	0.04502	0.0260372	0.0294979	0.0309252	0.0226666	0.0277273	0.0316413	0.0233529	0.0317403	0.0240953	0.0116597
encore	0.0546106	0.05203	0.0590098	0.0637864	0.0613825	0.054352	0.044075	0.0367959	0.0427954	0.0292888	0.0189308	0.0188849	0.0121022	0.0176686	0.0201026	0.0213013	0.0227494	0.0265588	0.0234546	0.0213252	0.01415	0.0127205	0.00937379	0.0112964	0.00549336	0.00818755	0.00788454	0.0088339	0.0138864	0.0155006	0.0184452	0.0256019	0.0478409	0.0995803
élargi	0.0361217	0.031074	0.0292271	0.0297238	0.0294655	0.0338081	0.0321596	0.0378276	0.0383287	0.0307429	0.0217513	0.023633	0.0183373	0.0195248	0.0192656	0.0178197	0.0255479	0.0322277	0.0265152	0.0402837	0.0395597	0.0302772	0.0280715	0.0386521	0.0183	0.0153093	0.0163876	0.0147207	0.0194317	0.0213403	0.0281636	0.0292424	0.0423328	0.0848255
la	0.0144021	0.0166465	0.0183584	0.0145867	0.0133007	0.016323	0.0137056	0.0121986	0.012264	0.0112505	0.0179571	0.0153541	0.0126317	0.018861	0.0196084	0.0233061	0.036229	0.0486764	0.0481263	0.0508135	0.0450044	0.0409024	0.0253072	0.0433608	0.0227007	0.0206499	0.0417296	0.0300017	0.0420399	0.0471571	0.0418532	0.0464076	0.0514393	0.0668465
porte	0.0202764	0.0164385	0.0158475	0.0148146	0.0124092	0.0131529	0.012579	0.0139235	0.0129847	0.00764181	0.00873636	0.00765781	0.00525451	0.00631131	0.00613675	0.00694767	0.00833029	0.0127706	0.0170487	0.0262134	0.0528086	0.0484542	0.0401295	0.0690831	0.040461	0.0395992	0.0540222	0.0527404	0.0574047	0.0586945	0.0567535	0.0622467	0.0580318	0.0640953
de	0.0451603	0.0273975	0.0193473	0.0134815	0.0109896	0.011668	0.0100416	0.0132139	0.0142211	0.011286	0.0133808	0.00936815	0.0061596	0.0103923	0.0148692	0.0186789	0.0325516	0.0438671	0.0662502	0.0548243	0.0789561	0.0600549	0.0393519	0.0699102	0.0438922	0.0287121	0.0419938	0.0212515	0.0360182	0.0269927	0.021552	0.0200408	0.0144703	0.0496545
la	0.0817432	0.0495446	0.0333026	0.0254511	0.0189601	0.00955895	0.0079325	0.00882166	0.0101184	0.00927702	0.0116931	0.00966211	0.00491977	0.00526826	0.00609258	0.00432866	0.00383128	0.00595236	0.00531864	0.0101451	0.0146678	0.0372365	0.0357345	0.0794427	0.0510374	0.0384851	0.033393	0.0286618	0.0447224	0.0395758	0.0376215	0.0695936	0.0588605	0.109045
maison	0.0413168	0.0311524	0.0214793	0.0160459	0.0114699	0.0055954	0.00401284	0.00342828	0.00361758	0.0036596	0.00503503	0.00430567	0.00331895	0.00387914	0.00334455	0.00264649	0.00246477	0.00365188	0.00428523	0.00664716	0.00889266	0.0196472	0.030161	0.0710431	0.0666802	0.0683711	0.0588665	0.0480789	0.0536194	0.0540978	0.0444677	0.107625	0.0828587	0.104234
</S>	0.160633	0.097042	0.0638157	0.0390455	0.0261068	0.0113918	0.00742272	0.00596712	0.00590279	0.00721773	0.00773402	0.00764562	0.00299632	0.00471273	0.00568721	0.00472736	0.00603711	0.00760585	0.00757865	0.0176602	0.0219323	0.033654	0.0407208	0.0383885	0.0356496	0.0280831	0.0284732	0.017252	0.0337303	0.037129	0.0271111	0.0251089	0.0234872	0.11235
