 	n	g	á	m	w	á	s	í	b	ó	l	á	a	s	á	r	á	m	ú	a	m	í	k	ω	ω	</S>
ma	0.0128619	0.135895	0.187015	0.160972	0.0518319	0.0549576	0.0189881	0.0110209	0.0130188	0.013726	0.0315426	0.0358331	0.0590551	0.0341373	0.0433727	0.0207028	0.0134971	0.00930421	0.0147464	0.0124157	0.012031	0.0168837	0.00753376	0.00835154	0.0114128	0.008893
femme	0.122028	0.0731523	0.0698609	0.0510825	0.095544	0.0985586	0.119913	0.0729313	0.0382815	0.0664685	0.0138707	0.0324359	0.024575	0.0147621	0.00941786	0.00707457	0.00627056	0.0127573	0.0094876	0.0109178	0.0245515	0.0161994	0.00563299	0.00267258	0.000885027	0.000668632
est	0.014697	0.0297685	0.0446253	0.0587761	0.0725738	0.0538845	0.060033	0.0800664	0.0743743	0.128317	0.116258	0.0497141	0.047827	0.0400987	0.0314573	0.0214009	0.0147535	0.0116973	0.00809564	0.00337565	0.0050131	0.00501785	0.00312008	0.00627624	0.0089166	0.0098622
en	0.0247848	0.0116011	0.0155465	0.0290919	0.0220456	0.0250456	0.0240468	0.0346697	0.0455601	0.0439536	0.0608544	0.0499417	0.0573545	0.0741933	0.0818999	0.0537437	0.0601914	0.0466966	0.0374799	0.0234169	0.0175851	0.0180394	0.0191402	0.0309169	0.0425799	0.0496202
train	0.0878328	0.0371989	0.0237058	0.0255204	0.0258416	0.0253598	0.0287862	0.0255714	0.0560916	0.0522899	0.0367772	0.030769	0.0387133	0.0391599	0.0373477	0.0339816	0.0344075	0.0401784	0.0460928	0.0417065	0.0435172	0.0434841	0.0355983	0.0351315	0.0353434	0.0395933
de	0.0586975	0.025817	0.0219782	0.0351074	0.0190508	0.0373988	0.0169101	0.0195571	0.0234577	0.0242505	0.0304535	0.020048	0.0188485	0.0132669	0.0273221	0.0372069	0.0526795	0.0420318	0.0568911	0.0380726	0.0127017	0.0153742	0.0165467	0.019344	0.0343164	0.282671
soulever	0.0245398	0.0219949	0.019344	0.0166654	0.0200913	0.0313733	0.0490801	0.0963762	0.093422	0.084898	0.0709175	0.091185	0.0665084	0.0442985	0.0349086	0.0252081	0.0260355	0.0246628	0.0178688	0.0137837	0.014756	0.0134667	0.0159497	0.0229199	0.0212142	0.0385315
un	0.0646476	0.0555764	0.0365827	0.0286479	0.0294284	0.0248997	0.0240813	0.022695	0.0230586	0.0217993	0.0221553	0.0251624	0.0228475	0.0261877	0.0302411	0.0314589	0.0398764	0.0514073	0.0463573	0.0182517	0.0329519	0.0355356	0.0300905	0.058199	0.0653059	0.132555
panier	0.0383063	0.024223	0.0143349	0.0186891	0.0141509	0.014228	0.00922587	0.0122759	0.0228829	0.0124697	0.014982	0.0166029	0.0234101	0.031743	0.0375495	0.040069	0.0539491	0.0669057	0.0833228	0.0346252	0.0567483	0.0518055	0.0421222	0.0547048	0.0672104	0.143463
de	0.175512	0.0977352	0.0459239	0.0339346	0.0294772	0.0271226	0.0189357	0.0198102	0.018838	0.0134509	0.00960392	0.0120276	0.013295	0.0127234	0.0126282	0.0151956	0.0182857	0.01469	0.0225175	0.0222915	0.0193041	0.0238673	0.038991	0.0620872	0.0763839	0.145367
maniocs	0.0820382	0.0891177	0.0825985	0.0700026	0.0681466	0.0580792	0.0730321	0.0480725	0.0191461	0.0196839	0.0208688	0.0172609	0.015236	0.0165208	0.0194315	0.0233937	0.0216501	0.0166285	0.0135222	0.0127766	0.0116427	0.0129001	0.020019	0.033259	0.0420702	0.0929028
</S>	0.103811	0.118837	0.0928672	0.0681279	0.0703391	0.0462037	0.0342866	0.0182588	0.0204228	0.0207032	0.0227598	0.0266269	0.0261462	0.0287402	0.0239131	0.0225794	0.0224133	0.0184554	0.0154926	0.0109961	0.0110846	0.0106969	0.0122051	0.0259177	0.0478505	0.0802651
