 	l	é	e	b	ó	n	d	á	a	n	d	z	ú	e	b	á	a	f	ú	ú	n	g	á	s	á	n	d	é	e	y	á	b	á	a	</S>
on	0.0365043	0.015122	0.0190129	0.0272753	0.035088	0.0353557	0.0510909	0.0675091	0.0632978	0.0514157	0.0456281	0.0390354	0.0288082	0.0351811	0.0596217	0.047154	0.0288406	0.0195995	0.0115152	0.0102135	0.00968213	0.011271	0.0151375	0.0165634	0.0165072	0.0190484	0.0205166	0.0201777	0.0150512	0.0230568	0.0258828	0.0245636	0.0150023	0.0176866	0.0225835
entend	0.0989816	0.0783881	0.0644622	0.0675599	0.0547116	0.0696156	0.0619567	0.0644569	0.0503309	0.0439952	0.0382058	0.0342014	0.0258423	0.0185968	0.023621	0.0225012	0.0131313	0.00531018	0.00905319	0.00640431	0.00311284	0.00384097	0.0105693	0.00980136	0.00887358	0.0111637	0.00792431	0.0128647	0.0121332	0.0102748	0.0159851	0.0188721	0.008709	0.0062091	0.00833991
les	0.0225453	0.0223274	0.0188357	0.0128544	0.0157197	0.02019	0.0339425	0.0381686	0.0477377	0.0506398	0.0495589	0.0498749	0.0505934	0.0484537	0.0468374	0.0521893	0.0390781	0.0270336	0.0232526	0.0324425	0.0225867	0.0245849	0.0232023	0.0218173	0.0231021	0.0259459	0.0199942	0.0256961	0.0175269	0.0189462	0.0156043	0.0177044	0.0152133	0.0168653	0.00893473
abeilles	0.0456878	0.0547979	0.0541784	0.044136	0.0408684	0.0345436	0.0270129	0.0272907	0.0292824	0.0349674	0.0431579	0.0443928	0.0357693	0.0313421	0.0288607	0.0458465	0.0329465	0.0284934	0.0270107	0.0230034	0.021919	0.0184551	0.0212598	0.0232489	0.0226644	0.0148991	0.0162481	0.00797923	0.0134668	0.00847696	0.00965015	0.00988477	0.0172883	0.0155717	0.0453991
bourdonner	0.024378	0.0272984	0.0303535	0.0217339	0.0342609	0.039026	0.0596646	0.0515724	0.063448	0.0589973	0.0434493	0.0435856	0.0414484	0.0393948	0.0334252	0.0415935	0.0257271	0.0288006	0.0273081	0.0350939	0.0244203	0.0179534	0.0189653	0.0149638	0.0160634	0.00811968	0.00704349	0.00838617	0.00822973	0.00845156	0.00536997	0.0106058	0.0119817	0.0138681	0.0550182
autour	0.0303063	0.023173	0.0201074	0.0190455	0.0252697	0.0291832	0.0323839	0.0277718	0.0278886	0.021956	0.0140658	0.0151052	0.0162432	0.0168721	0.0221871	0.0332688	0.0236832	0.0363544	0.0435581	0.0616682	0.0479931	0.0500906	0.037894	0.0351673	0.0322302	0.0262945	0.0237207	0.0152979	0.021448	0.0146127	0.0171007	0.0181049	0.0250896	0.0267433	0.0681208
de	0.0127698	0.011113	0.0109402	0.0127272	0.0145819	0.0162895	0.0196465	0.0204798	0.0225886	0.0190703	0.0153425	0.0164155	0.0171547	0.0198495	0.0229093	0.0297817	0.0271482	0.0296753	0.0381578	0.0601684	0.0535308	0.0595657	0.0394811	0.0377511	0.0525605	0.0317673	0.0289701	0.0212058	0.0233736	0.0248201	0.0262066	0.0230715	0.0345096	0.0308235	0.0755528
la	0.0111671	0.00911329	0.00896099	0.0101381	0.0122208	0.0145124	0.0161382	0.011638	0.0115137	0.0109539	0.0100563	0.0104019	0.0100314	0.0103363	0.00810199	0.00958285	0.0102373	0.0191258	0.0430919	0.0446531	0.0588224	0.07256	0.0563033	0.0542409	0.0614295	0.043319	0.0419092	0.0326264	0.0372333	0.0388266	0.0363488	0.0348736	0.0379763	0.0371165	0.0644385
ruche	0.0429183	0.0191086	0.0174546	0.0247221	0.0232276	0.0240337	0.0197636	0.0127098	0.0109059	0.0117183	0.0111405	0.0114563	0.0140977	0.0184332	0.0205688	0.0194254	0.0239421	0.0310381	0.0638581	0.0311735	0.0454787	0.0266059	0.0392656	0.0325439	0.0186227	0.0153328	0.0209259	0.017608	0.0419713	0.0320729	0.018149	0.0286036	0.0210372	0.0558782	0.134208
</S>	0.0239534	0.0164822	0.0159676	0.0184353	0.0176517	0.0164141	0.0146716	0.0123882	0.0104526	0.0103636	0.00700921	0.00756982	0.00769673	0.00866742	0.00934952	0.00984104	0.0110953	0.0312011	0.0427414	0.0365924	0.0474763	0.0713334	0.0427499	0.039839	0.0519661	0.0235005	0.0265829	0.0169517	0.026597	0.0311901	0.0317639	0.0311462	0.0598485	0.0548948	0.115615
