 	w	a	á	p	έ	ε	n	g	á	m	ú	a	m	á	k	í	l	i	</S>
il	0.11904	0.38544	0.161033	0.148711	0.0703081	0.021677	0.0167781	0.00603333	0.00584563	0.0058576	0.00604106	0.00594796	0.0062988	0.00636242	0.00750518	0.00773873	0.00637714	0.00635327	0.00665153
m'	0.0521911	0.0351009	0.0558992	0.152713	0.132415	0.0814585	0.0650923	0.0644248	0.0691616	0.058062	0.0287142	0.0262494	0.0676358	0.0362414	0.0371342	0.0138733	0.00504056	0.00901603	0.00957658
a	0.0328881	0.0527059	0.0338623	0.0265775	0.0343349	0.0543471	0.0832525	0.0855009	0.0443374	0.044197	0.038775	0.0407249	0.0563311	0.0552809	0.0540572	0.0593718	0.0634556	0.0720336	0.0679663
donné	0.016418	0.0392007	0.0188269	0.0127994	0.011604	0.0118479	0.0174011	0.0342051	0.0432737	0.0864584	0.124856	0.13392	0.105598	0.0845105	0.0602673	0.0462782	0.0445697	0.0372998	0.0706663
un	0.020897	0.0109083	0.0141193	0.0063532	0.00575989	0.00613317	0.00818522	0.0246629	0.0212482	0.0304527	0.0362008	0.0373579	0.0478497	0.146744	0.0984418	0.101649	0.17956	0.0943621	0.109115
panier	0.0087208	0.00972516	0.00935501	0.00676055	0.00932873	0.013817	0.0198242	0.0261146	0.0281642	0.0419746	0.0410786	0.0458312	0.086244	0.0765782	0.095809	0.0985799	0.0791422	0.107835	0.195117
de	0.0182618	0.0131231	0.0149561	0.0182646	0.0245763	0.032575	0.0478329	0.0476109	0.0525489	0.0576721	0.0544674	0.0604854	0.0625398	0.0700062	0.0751026	0.0792121	0.0809506	0.0796017	0.110212
safous	0.035819	0.0435386	0.0238249	0.0223821	0.0240983	0.0463289	0.0496233	0.0493175	0.063512	0.0328633	0.0317068	0.0318463	0.0441599	0.0581003	0.0589894	0.0705066	0.115448	0.0755916	0.122343
bien	0.0335074	0.0351122	0.0265548	0.0334574	0.0345627	0.0379239	0.0408722	0.0410271	0.0414693	0.0443753	0.0505296	0.0369395	0.0785926	0.0612619	0.071359	0.0747416	0.070427	0.0772771	0.110009
mûrs	0.0272853	0.0272722	0.0280363	0.0295082	0.0297088	0.0308192	0.0312963	0.0354346	0.0460811	0.0573571	0.056389	0.0320896	0.0629361	0.0617823	0.0748483	0.0706493	0.0749792	0.0884139	0.135113
</S>	0.0287319	0.0263909	0.0371443	0.0360091	0.0364834	0.0368463	0.0372733	0.0391318	0.0404381	0.0438997	0.0442017	0.0480141	0.0409268	0.0620804	0.0616525	0.0613128	0.116673	0.0948259	0.107964
