 	n	g	ó	o	á	b	έ	r	i	w	a	t	s	í	n	a	á	k	ú	m	u	b	o	l	a	a	k	o	o	</S>
sa	0.204242	0.192109	0.0449893	0.044332	0.0207204	0.0065316	0.00599769	0.00838316	0.00997743	0.0102465	0.0204312	0.0367351	0.0370842	0.0287765	0.0175186	0.00839629	0.022306	0.0251232	0.0243013	0.0171433	0.0319938	0.0322576	0.0363652	0.0215337	0.0129013	0.0172318	0.0137809	0.0156486	0.0155706	0.017372
mère	0.149645	0.0588845	0.0752517	0.0414758	0.131287	0.113646	0.124181	0.129735	0.0607172	0.0500875	0.0274716	0.0119098	0.00420401	0.00166831	0.000313951	0.000554659	0.000245763	0.000782974	0.00131035	0.00261265	0.00202918	0.00243699	0.0016337	0.00162023	0.00170872	0.00156355	0.00120921	0.00134785	0.000329996	0.000136021
l'	0.0373318	0.0381803	0.074758	0.0319089	0.0355374	0.0402723	0.0412598	0.0627238	0.0547645	0.129552	0.041058	0.0407876	0.0307388	0.0188519	0.0144047	0.0136813	0.0184285	0.0120608	0.0135467	0.0233326	0.0239706	0.0243059	0.0207634	0.0257122	0.0198686	0.0288911	0.0249934	0.0237976	0.020066	0.0144511
a	0.0144899	0.0182153	0.0372885	0.0441574	0.0629383	0.0831278	0.0774687	0.0566149	0.0603891	0.0681808	0.0591303	0.0550092	0.0517104	0.0332825	0.0176237	0.0214498	0.0201973	0.0155379	0.0116822	0.0244845	0.0183263	0.0218781	0.0160993	0.0137811	0.0142973	0.0137842	0.0135244	0.0166791	0.0188196	0.019832
frappé	0.0176125	0.00771762	0.0117068	0.0135071	0.0102106	0.0158839	0.0191761	0.0349216	0.0491767	0.0408743	0.0380505	0.0274581	0.0472858	0.0589035	0.0575977	0.0600168	0.0492098	0.03957	0.04054	0.0408652	0.0372456	0.0308552	0.030146	0.0306451	0.0276315	0.027988	0.0270413	0.0277615	0.0359606	0.0444407
parce	0.0234582	0.029007	0.0236508	0.0225421	0.040493	0.0419505	0.043111	0.043061	0.0469986	0.0514161	0.0584779	0.0528193	0.054207	0.0392594	0.0293699	0.0216625	0.0155793	0.0191187	0.0292959	0.037384	0.0179428	0.0192971	0.0369546	0.0259529	0.0294446	0.0193991	0.0275683	0.0316238	0.0373561	0.0315985
qu'	0.0390476	0.0178968	0.0168341	0.017466	0.0210531	0.0201723	0.021954	0.0317893	0.0292286	0.0281754	0.0155914	0.0132427	0.0212111	0.0179035	0.0261547	0.0389032	0.0301979	0.0238314	0.0213899	0.0518862	0.0375429	0.0292491	0.0467148	0.0451658	0.0377855	0.0388462	0.0388873	0.0493685	0.067008	0.105503
il	0.0170563	0.0127313	0.0162367	0.0186809	0.0244714	0.0201427	0.0247744	0.0329866	0.025966	0.022834	0.0148612	0.014485	0.0162561	0.0182322	0.0252012	0.0357487	0.0453154	0.0404395	0.0481146	0.0428709	0.0379952	0.040347	0.0593902	0.0597391	0.0372703	0.036258	0.0255622	0.0284808	0.042137	0.115415
a	0.0501284	0.0273511	0.0307329	0.0333166	0.0233348	0.0204098	0.0192684	0.0282846	0.0200511	0.0205148	0.0158296	0.0133427	0.0302793	0.0530401	0.0453751	0.0476985	0.0395096	0.0365002	0.0390334	0.0423499	0.0153497	0.0353476	0.0360905	0.0188682	0.0181599	0.0178684	0.0151174	0.0351121	0.0662088	0.105526
écarté	0.04249	0.0325221	0.0264714	0.0305403	0.0210096	0.0227132	0.0161255	0.0291274	0.0131198	0.0179733	0.00840452	0.00724273	0.0147123	0.0262127	0.0250585	0.0425165	0.028422	0.04195	0.0483977	0.0637128	0.0256363	0.0460031	0.0408897	0.0299942	0.0320718	0.0307726	0.0286216	0.0401028	0.064145	0.103041
les	0.0497194	0.045536	0.033928	0.0343281	0.0216528	0.0198221	0.0153102	0.0145221	0.0111244	0.00622549	0.00675952	0.00919952	0.010814	0.0176126	0.0150618	0.0164859	0.0119897	0.0310659	0.0586464	0.0557214	0.0333679	0.0481597	0.0410895	0.0220394	0.0343701	0.0290165	0.0514177	0.0698682	0.0844771	0.100669
jambes	0.0630262	0.0601124	0.058099	0.0435513	0.0395766	0.0295661	0.0181211	0.0174634	0.00982324	0.00505391	0.00417422	0.00345501	0.00565288	0.00862468	0.00820363	0.0150078	0.0147431	0.0258593	0.0324682	0.0325798	0.0164225	0.025329	0.0304546	0.0222354	0.0235847	0.0244011	0.0285143	0.0520738	0.0959458	0.185877
de	0.0602309	0.0435664	0.0757935	0.0447516	0.0364154	0.0248069	0.0247692	0.021866	0.0149061	0.00585794	0.00619026	0.00875292	0.00747403	0.00901968	0.00584989	0.00703357	0.00645575	0.0155757	0.0337119	0.0317938	0.0203056	0.0193598	0.0326219	0.0285201	0.035449	0.0404426	0.0667021	0.0846698	0.0820156	0.105092
sa	0.0558165	0.0444342	0.0667472	0.0396064	0.0405263	0.0276599	0.0269835	0.0179558	0.0121341	0.00453328	0.00515964	0.00766424	0.00596779	0.00682483	0.00453532	0.00563837	0.00586507	0.0138598	0.0480149	0.0345126	0.026246	0.0282637	0.0412183	0.0315973	0.0338994	0.0377422	0.0585619	0.0699544	0.0781409	0.119936
soeur	0.0741444	0.0564628	0.0833474	0.0558319	0.0324575	0.0217731	0.0169805	0.0110869	0.00939441	0.00235657	0.00324484	0.00554288	0.00356536	0.0034266	0.0033011	0.00351645	0.00423001	0.0115744	0.0424459	0.0204071	0.0136354	0.0202303	0.030575	0.0131002	0.01275	0.0159624	0.0269287	0.0600297	0.106908	0.23479
