 	o	l	é	b	h	i	i	s	á	n	d	z	á	l	é	m	b	í	m	o	r	o	y	é	é	d	í	o	y	é	b	h	á	o	t	s	á	b	h	a	έ	</S>
celui	0.0141692	0.0121648	0.0186536	0.0276061	0.0364171	0.0325379	0.0342498	0.0393393	0.0385956	0.0311989	0.0386887	0.0359074	0.0382216	0.0197057	0.0389792	0.0359134	0.0297809	0.0325202	0.0450345	0.0199318	0.01547	0.010996	0.00748933	0.0078853	0.00954825	0.0125477	0.0100793	0.0123772	0.0116426	0.0117108	0.0135534	0.0157436	0.0185824	0.0164756	0.0140982	0.0234713	0.0209092	0.0267879	0.0289942	0.0326744	0.0346468	0.0247008
qui	0.0810912	0.0196686	0.0109125	0.00885436	0.00636406	0.0207752	0.0214181	0.0255505	0.0160423	0.011443	0.0149213	0.0214036	0.0164397	0.0197563	0.0472257	0.093221	0.0543203	0.0836817	0.0790818	0.0638219	0.07251	0.053389	0.0478522	0.0187199	0.0127762	0.00866496	0.0105125	0.00406294	0.00421369	0.00377963	0.00534718	0.00347115	0.0032362	0.00331442	0.00199372	0.0039587	0.00537236	0.00522384	0.00598397	0.00306435	0.00265961	0.0039004
se	0.081398	0.0495552	0.0277746	0.0334852	0.0256209	0.0457436	0.0344681	0.0190611	0.0114349	0.0114889	0.0101552	0.0249667	0.013433	0.00868194	0.0149983	0.0148496	0.00918655	0.0133737	0.0221298	0.0418281	0.0252697	0.0260384	0.0238826	0.0153671	0.0261751	0.0248516	0.0226371	0.0329115	0.0229903	0.0246791	0.0215376	0.0239587	0.0305626	0.0245927	0.0179696	0.0192959	0.0179313	0.0204105	0.0157389	0.0169185	0.0212235	0.0114242
noie	0.0303776	0.0358643	0.032406	0.0258968	0.017937	0.0125584	0.0091247	0.00897473	0.00656989	0.00481163	0.00686736	0.011961	0.00934082	0.0103814	0.0103015	0.0177183	0.0184749	0.0418518	0.05536	0.107838	0.0415934	0.0620328	0.0272533	0.0268747	0.0249003	0.0223282	0.0193783	0.0200948	0.0232892	0.0230253	0.0240891	0.0211434	0.0255711	0.0246434	0.0274659	0.0216243	0.0177086	0.0154323	0.0093801	0.00870872	0.0115987	0.0272476
dans	0.0160552	0.0208055	0.0141787	0.0171738	0.0234821	0.0457296	0.0521343	0.0396912	0.0279231	0.031834	0.0179717	0.0458421	0.0256695	0.0215615	0.0274277	0.0230581	0.00988029	0.0131416	0.0163145	0.0202118	0.0159167	0.0157406	0.0185273	0.0123505	0.0114676	0.0202488	0.0221692	0.0169644	0.0168403	0.0179901	0.0245062	0.0134472	0.0165815	0.0181213	0.0144146	0.0165025	0.0120159	0.0147035	0.0144757	0.01677	0.0253435	0.134816
le	0.0174555	0.0253799	0.0305814	0.0313932	0.0392478	0.035625	0.0336137	0.0240656	0.0288325	0.0200801	0.0200456	0.0311502	0.0263582	0.0251286	0.0254405	0.0297978	0.0193892	0.0275525	0.0210799	0.0245824	0.0193455	0.0201147	0.0232305	0.0175581	0.0142704	0.0219821	0.0178919	0.0140544	0.015063	0.0195278	0.0164954	0.0174084	0.0146457	0.0163588	0.0168727	0.0277229	0.0202271	0.0209186	0.0222645	0.0327807	0.0289517	0.0455153
fleuve	0.0446181	0.036678	0.0309406	0.0319171	0.0222716	0.0160166	0.0134788	0.00843434	0.0076274	0.0115159	0.0096073	0.0149453	0.0143515	0.0144137	0.0123929	0.022693	0.0185423	0.0239578	0.0189326	0.0282091	0.0171285	0.0207049	0.0184111	0.0185836	0.0188254	0.0248995	0.0231799	0.0281166	0.0300003	0.0288402	0.02117	0.0190911	0.0156237	0.0175198	0.0161051	0.0176274	0.0211257	0.0195408	0.0302271	0.0419156	0.0503987	0.0994211
ne	0.0671577	0.0357931	0.0281115	0.0237418	0.0132744	0.0119523	0.0177122	0.010403	0.00833298	0.0149134	0.0118869	0.0211966	0.0260199	0.0248728	0.0213901	0.0243106	0.0211154	0.0285329	0.0288603	0.0343755	0.0272459	0.0276914	0.0337192	0.0275363	0.0271878	0.0363332	0.0348162	0.0353656	0.0258082	0.0171045	0.0110913	0.00419261	0.00504036	0.0088464	0.00848438	0.0126051	0.0149124	0.0116005	0.016811	0.0214966	0.0344656	0.0836919
sait	0.0656799	0.0302805	0.0228148	0.0242788	0.0238537	0.0139525	0.0207791	0.0146025	0.014938	0.0267945	0.0165044	0.0204851	0.0226582	0.015919	0.0138282	0.018177	0.0171083	0.0210992	0.0263932	0.0243522	0.0264445	0.0229817	0.0188658	0.0214159	0.0394061	0.0316883	0.0325062	0.0443431	0.0344727	0.0314747	0.0224998	0.00898474	0.0122801	0.0173705	0.016866	0.0162985	0.013973	0.0110944	0.0152541	0.0188153	0.0275065	0.0609589
pas	0.100811	0.0444591	0.024831	0.0119148	0.00777745	0.00710872	0.00769802	0.00729653	0.00704574	0.00736741	0.00713406	0.00901554	0.0102814	0.0107228	0.0104721	0.014732	0.0143636	0.0218516	0.0255061	0.0222412	0.021186	0.0196945	0.023731	0.025044	0.0407027	0.0364353	0.0359844	0.0413833	0.0442187	0.0323234	0.0261895	0.0168363	0.0201013	0.0207446	0.0233445	0.0229603	0.0246768	0.0244904	0.0288785	0.030219	0.0280082	0.0402173
