 	w	a	á	s	i	l	i	m	b	v	á	n	d	é	e	k	i	n	d	i	ó	n	g	u	a	</S>
il	0.103029	0.411302	0.250491	0.141936	0.0430847	0.00890308	0.00151231	0.00188825	0.00208595	0.0024463	0.00280173	0.00252166	0.00260183	0.00158252	0.00133314	0.000787043	0.00134202	0.0021752	0.00190677	0.00242189	0.00249778	0.00252144	0.00257829	0.0025379	0.00230472	0.00140733
a	0.0184609	0.0116157	0.00671088	0.0122058	0.0246997	0.0238529	0.0385111	0.0760427	0.137202	0.174046	0.0563252	0.0804753	0.0598979	0.0460485	0.0439881	0.0294772	0.0250532	0.0160297	0.0404265	0.0230984	0.00933933	0.00718519	0.00727045	0.00603787	0.0115305	0.0144688
donné	0.0146691	0.0133616	0.0111105	0.00737579	0.0132811	0.0122731	0.0286988	0.0322818	0.0657787	0.0589297	0.0488948	0.0433075	0.0609503	0.0711986	0.0850801	0.0486709	0.055629	0.0548307	0.0659039	0.0505046	0.0308628	0.0264338	0.0260934	0.020848	0.0261838	0.0268476
un	0.0142581	0.00720592	0.00766265	0.0101781	0.0229156	0.0140031	0.0254572	0.0219379	0.0441059	0.0329263	0.0297838	0.05764	0.0548679	0.0648313	0.0767674	0.0810479	0.0609185	0.0739293	0.0338654	0.0431141	0.0464445	0.031859	0.0369396	0.0276665	0.034049	0.0456249
coup	0.0113256	0.00825221	0.00675096	0.00616648	0.00833106	0.0108801	0.018245	0.0179136	0.0170576	0.0198731	0.021121	0.0225202	0.0384302	0.0621928	0.0861905	0.0719936	0.0832986	0.0961979	0.0614155	0.0609832	0.0540135	0.0443551	0.0328779	0.0419968	0.0360527	0.061565
de	0.00513278	0.00463706	0.0049065	0.00845785	0.0103543	0.0116543	0.00907928	0.010928	0.0114789	0.0130323	0.0144476	0.0168813	0.0358927	0.0623518	0.0715786	0.0569986	0.0819967	0.0978947	0.0727813	0.0625627	0.0759861	0.052761	0.046527	0.0446899	0.0526837	0.064305
pied	0.0178389	0.0147697	0.0119287	0.0186138	0.030613	0.0382397	0.0331786	0.0279811	0.0230261	0.0217836	0.0185587	0.025002	0.0336656	0.0466037	0.0461584	0.0337122	0.0310557	0.0348178	0.0375604	0.0319812	0.0550761	0.0622304	0.0554382	0.0620214	0.0715796	0.116565
au	0.0197093	0.0192952	0.015842	0.0220966	0.0277418	0.0364088	0.0259087	0.0218677	0.0173642	0.0170545	0.0150158	0.0206389	0.0281968	0.0410772	0.0389631	0.0286392	0.0340582	0.0392348	0.036553	0.0315635	0.0586235	0.0715382	0.0731848	0.0783051	0.0847036	0.0964154
chien	0.0252666	0.0210907	0.0280849	0.0329458	0.0301453	0.0204026	0.0198426	0.0214453	0.0155007	0.0144842	0.013617	0.0181023	0.0309776	0.0425031	0.0386039	0.0336701	0.0400982	0.0470543	0.0487645	0.0454362	0.0533472	0.0562006	0.0682603	0.0787276	0.0734495	0.0819789
pour	0.0132982	0.0129181	0.0242636	0.0298282	0.0346954	0.0298603	0.0319771	0.025618	0.0178826	0.0139136	0.0129286	0.0190267	0.0227184	0.0287833	0.0239965	0.0187	0.0232814	0.0234568	0.0304213	0.0336463	0.0594196	0.066755	0.0810261	0.0921711	0.0985353	0.130878
rien	0.047321	0.0415089	0.0495665	0.0522819	0.0404832	0.0381474	0.0188168	0.0167871	0.0165465	0.0152663	0.0125292	0.016146	0.0156511	0.0209817	0.0237231	0.0247016	0.0252582	0.0261473	0.0268811	0.0405928	0.0516756	0.0647055	0.0580556	0.0651454	0.0755511	0.115529
</S>	0.0395721	0.0210172	0.0243951	0.0279636	0.040132	0.0346119	0.046709	0.0379733	0.0283586	0.0190516	0.0131806	0.0266384	0.0302175	0.0403278	0.0412248	0.0405423	0.0345005	0.0266399	0.0263942	0.026113	0.0349279	0.0398608	0.0498918	0.0558511	0.0604242	0.133481
