 	e	t	ó	n	g	o	y	é	é	t	ó	í	b	í	s	í	é	d	z	e	l	a	k	á	l	á	d	í	a	b	v	ú	u	b	í	s	í	a	n	d	z	ó	r	o	á	b	h	i	l	a	s	u	ε	</S>
dans	0.00992385	0.0207556	0.0164694	0.0197995	0.0284878	0.036051	0.0379639	0.0322819	0.0365092	0.0432804	0.0337866	0.02911	0.0268652	0.0286781	0.0235307	0.0270949	0.021944	0.035086	0.0240048	0.0182819	0.0114571	0.00793027	0.00657502	0.00770187	0.0101993	0.00870066	0.0116689	0.00893231	0.00946458	0.0117784	0.0102257	0.00675548	0.00830131	0.00635529	0.00639028	0.00823634	0.0108708	0.0107873	0.0153613	0.0110804	0.0132906	0.0148656	0.0125707	0.0142672	0.0151811	0.0225939	0.022954	0.0243521	0.0197658	0.0192113	0.0206339	0.0230391	0.0171697	0.0214276
l'	0.0774469	0.0354498	0.0336368	0.0283089	0.0228887	0.0212759	0.0221805	0.0198319	0.0225625	0.017482	0.0255443	0.0364208	0.0323399	0.0449541	0.0530261	0.0245341	0.0301923	0.0431682	0.0346588	0.0551486	0.0279814	0.0240019	0.0138847	0.0118537	0.0107767	0.00921914	0.00556457	0.00598607	0.0056959	0.00336772	0.00529231	0.00844167	0.00977799	0.00701229	0.0117921	0.0134482	0.0117502	0.0129915	0.0094726	0.0104153	0.0108955	0.00810827	0.00779917	0.00957934	0.00705116	0.00657939	0.0077823	0.00763881	0.00767394	0.00647089	0.00567114	0.00425715	0.00509968	0.00561621
étang	0.03591	0.0337276	0.0382565	0.0220322	0.0115639	0.0107115	0.0154709	0.00888352	0.0122246	0.0129144	0.00476012	0.00612539	0.00737856	0.0385605	0.0424403	0.0341896	0.0171831	0.012568	0.0183787	0.00803762	0.00655106	0.0101239	0.0202343	0.0130204	0.00885554	0.00955651	0.00606409	0.00475557	0.0100883	0.00901657	0.00567713	0.00405464	0.0049628	0.00874091	0.0096471	0.0209962	0.0162125	0.0209011	0.0452345	0.0340138	0.0258568	0.0199337	0.0330263	0.0266222	0.019684	0.0208369	0.0216332	0.028951	0.0220103	0.0277916	0.0299716	0.0431213	0.0105859	0.00995125
où	0.0242206	0.0245173	0.0314831	0.0335663	0.0420619	0.0389294	0.0409528	0.0375048	0.0252548	0.0270822	0.0254228	0.0249364	0.0114429	0.0116892	0.0107879	0.0126356	0.0139273	0.0196928	0.0384835	0.031863	0.0227203	0.0329499	0.0335496	0.0223769	0.0213692	0.0177626	0.0205781	0.0191952	0.0174082	0.0163857	0.0252032	0.0148522	0.0195655	0.0169298	0.0147303	0.0123884	0.0208967	0.0127684	0.0106378	0.0102054	0.00867129	0.00786126	0.00595662	0.00568319	0.0042039	0.00551752	0.00600325	0.00487572	0.00477516	0.00398583	0.00439963	0.00570452	0.00651735	0.0169164
nous	0.00417455	0.0127681	0.0247142	0.0305431	0.0359476	0.0325552	0.0384293	0.0352068	0.0421214	0.0415017	0.0312366	0.024554	0.0153156	0.0200244	0.0225776	0.0239829	0.0211704	0.020349	0.0207192	0.0149059	0.0177075	0.0208776	0.0265537	0.0176424	0.0143081	0.018766	0.0149628	0.0100656	0.0106541	0.0138626	0.0181935	0.0114404	0.0187266	0.0293391	0.0249003	0.0204458	0.0205859	0.0150286	0.0187109	0.00893945	0.0113337	0.00765622	0.00980052	0.00706071	0.0069529	0.00689397	0.00800051	0.00674508	0.00523714	0.00510837	0.0074904	0.0123301	0.0142008	0.0266812
avons	0.0157375	0.0398605	0.0499501	0.0589337	0.0637353	0.0351872	0.0302043	0.0303335	0.0237992	0.011072	0.0114903	0.0145569	0.0172408	0.0267101	0.0305867	0.0297636	0.0247075	0.0242982	0.0162162	0.0081164	0.00726859	0.00925849	0.0132661	0.012183	0.00987101	0.0155167	0.0187704	0.0166378	0.017679	0.018064	0.0203635	0.0158936	0.0201273	0.0218256	0.0211809	0.0144768	0.0202726	0.0121776	0.0129481	0.00836169	0.00954045	0.00505744	0.00723306	0.00621803	0.00671969	0.00606281	0.007521	0.00928249	0.00813645	0.00757291	0.0110072	0.0152181	0.0130925	0.018695
pêché	0.0292391	0.0282992	0.0226809	0.0216132	0.028399	0.0262427	0.0230434	0.0290451	0.0180878	0.00975879	0.00726677	0.00991192	0.0106816	0.0114771	0.0119206	0.0142412	0.0138053	0.0140298	0.0140442	0.0131826	0.0110635	0.0115989	0.0135383	0.0165438	0.0153855	0.0222227	0.0255438	0.0246213	0.0275836	0.0252894	0.0277099	0.0223599	0.0321684	0.0281842	0.0299152	0.0186361	0.0301571	0.0217274	0.0176101	0.0148286	0.0167015	0.0112423	0.0122039	0.0131494	0.0136706	0.00982824	0.0118796	0.0125195	0.0129432	0.0138721	0.0153057	0.0169535	0.0191856	0.0268871
il	0.0246978	0.0222208	0.0212584	0.019647	0.0317366	0.0397183	0.0434333	0.0486847	0.0326121	0.0325483	0.0196321	0.0141022	0.00974018	0.00802643	0.0063249	0.00851964	0.0107423	0.0117439	0.0152545	0.0123619	0.0148756	0.0144416	0.0180325	0.0215222	0.0192251	0.0247595	0.0259442	0.0270158	0.0315285	0.0253569	0.0292714	0.022949	0.0262234	0.0278416	0.0264366	0.0144295	0.0161399	0.0154743	0.0114147	0.00989104	0.0108609	0.00664061	0.0064031	0.00755205	0.00605424	0.00392361	0.00507987	0.00586344	0.00678456	0.00741301	0.00884922	0.0111077	0.0145398	0.0431496
y	0.106184	0.0364786	0.0234722	0.0125403	0.0123042	0.0103459	0.0139279	0.0127013	0.010972	0.00582261	0.00358627	0.00656975	0.0111484	0.0142446	0.015798	0.0171893	0.0172749	0.0138983	0.0161516	0.012232	0.0107652	0.00763054	0.00857082	0.011638	0.00950039	0.0161665	0.0160949	0.0189369	0.0248286	0.0144516	0.0124247	0.0197061	0.0244999	0.0309641	0.040061	0.0286075	0.0267533	0.0296108	0.0194946	0.027445	0.0198199	0.0290028	0.0128939	0.016996	0.0137656	0.0136882	0.0125763	0.0120878	0.0135636	0.0135877	0.0149716	0.0172064	0.0169246	0.0219231
avait	0.0643904	0.0215657	0.019286	0.0128261	0.00951967	0.00837849	0.00710753	0.00698821	0.00474044	0.00434093	0.00361967	0.00421941	0.00376263	0.00395794	0.00427933	0.0042608	0.00586594	0.00860415	0.014111	0.0146045	0.0161721	0.0132339	0.0136265	0.0145872	0.0129292	0.0146827	0.0151325	0.0144414	0.0192254	0.0178299	0.0206846	0.0191209	0.0289319	0.0228247	0.0268584	0.0271366	0.0303938	0.027483	0.0232946	0.0277208	0.026403	0.0322834	0.0254992	0.0302756	0.0300509	0.029608	0.0243469	0.0207264	0.0204442	0.0203099	0.0204195	0.0234745	0.0301723	0.0332472
