 	w	a	a	d	i	í	m	b	a	r	á	a	t	s	ú	s	u	a	b	v	ú	r	ú	n	d	é	e	y	á	o	l	ó	m	i	</S>
elle	0.057608	0.0861437	0.220515	0.237181	0.214064	0.103075	0.015433	0.0137277	0.0115333	0.00453648	0.00267598	0.0025195	0.00223037	0.00128777	0.00136228	0.00129043	0.00143165	0.000978545	0.00146488	0.00166667	0.0017325	0.00166862	0.00171814	0.00151342	0.00140086	0.00155007	0.00174627	0.00165252	0.00128704	0.00141324	0.00108757	0.000819712	0.000705394	0.000547279	0.00043178
changea	0.0122794	0.0131574	0.0126382	0.0107402	0.0161506	0.0253567	0.046163	0.0464533	0.0376658	0.0611128	0.0483717	0.0312034	0.0351692	0.0407287	0.0400876	0.0352059	0.0338448	0.0340604	0.0419992	0.043691	0.0364311	0.0518991	0.0287593	0.0281555	0.0412674	0.0178179	0.0184358	0.0207067	0.0159313	0.0154974	0.0121032	0.00967291	0.00865175	0.0111601	0.017431
d'	0.0103008	0.0113209	0.0115053	0.013191	0.0154838	0.0150709	0.0140329	0.0145947	0.0132592	0.0176878	0.0203522	0.0254902	0.0319359	0.0297069	0.018539	0.0121467	0.0210966	0.0258384	0.0277252	0.0354528	0.0421711	0.0542174	0.0334928	0.0351675	0.0587908	0.0376186	0.0585451	0.0450182	0.0315506	0.0348703	0.0386812	0.0284718	0.0322537	0.0399366	0.044483
avis	0.010386	0.0108009	0.0184774	0.0207412	0.0209406	0.0257666	0.0204446	0.0178954	0.0220251	0.0326108	0.0253731	0.0239516	0.0255899	0.0254339	0.0311904	0.0286579	0.0354803	0.0370135	0.033386	0.0276596	0.030887	0.0290236	0.0168346	0.0206079	0.0375434	0.0312315	0.0395917	0.029542	0.0290356	0.0313639	0.0265735	0.0284791	0.0336326	0.0417692	0.0800598
et	0.00567159	0.00909601	0.00955545	0.00714202	0.0163147	0.0170419	0.0259996	0.0448654	0.0127333	0.022767	0.0129918	0.0102346	0.0129512	0.0222224	0.0541343	0.0618815	0.0683015	0.0781517	0.0920631	0.106696	0.0817724	0.0419177	0.0115646	0.013865	0.018577	0.0155998	0.0189992	0.0155906	0.0143941	0.0170199	0.0133139	0.00943789	0.00987608	0.00520229	0.0220547
rentra	0.0275648	0.035126	0.0364673	0.0377486	0.0355161	0.0413996	0.0770194	0.0876228	0.0827935	0.0810613	0.0325857	0.0188468	0.0139395	0.0177188	0.0180962	0.0172321	0.0195925	0.0188233	0.0226526	0.0188806	0.0216357	0.0128116	0.0122472	0.0111481	0.0197546	0.0217043	0.0175101	0.0100496	0.0170301	0.0141374	0.0170672	0.017276	0.017378	0.0154258	0.0341368
chez	0.0129416	0.0165332	0.0210011	0.014034	0.0138457	0.018214	0.016801	0.0195381	0.0177449	0.0199714	0.0152994	0.0121639	0.0137534	0.0172248	0.0199129	0.0248907	0.0328664	0.0299083	0.0311422	0.0289912	0.0322605	0.028192	0.0292207	0.0374161	0.0512291	0.047851	0.0384347	0.0258051	0.0258769	0.0433027	0.046076	0.0553154	0.0535044	0.0403409	0.0483961
son	0.0207306	0.0225266	0.0227941	0.0275896	0.0409666	0.0413227	0.0478284	0.0367808	0.0260821	0.0250934	0.0143368	0.00980676	0.0070137	0.00933206	0.00982602	0.0123982	0.016419	0.0200615	0.0241452	0.0225703	0.0242344	0.0164903	0.0191725	0.0168699	0.0243309	0.0233539	0.0307207	0.0203741	0.0364812	0.0393702	0.0511928	0.0503194	0.0481425	0.0471864	0.0941365
mari	0.00716503	0.00541206	0.0063691	0.00612421	0.0111181	0.0116799	0.0115382	0.00738895	0.00425991	0.0044627	0.00370182	0.00375462	0.00393655	0.00575366	0.00835264	0.0123769	0.0202455	0.0204211	0.0244051	0.0183046	0.0266814	0.0183785	0.0276422	0.0271681	0.0373931	0.0372761	0.0494109	0.0387193	0.037772	0.0472123	0.0627376	0.0783852	0.0924345	0.0790565	0.142962
</S>	0.0113371	0.0114765	0.0109919	0.01302	0.0254926	0.0187604	0.0254173	0.0133018	0.00868732	0.0115814	0.0101729	0.0109425	0.00964777	0.0122358	0.0117299	0.0142961	0.0203459	0.0171654	0.0194712	0.0164096	0.0178933	0.0168609	0.0115151	0.0139374	0.0205017	0.0226608	0.0247863	0.0181231	0.0199412	0.0211575	0.0318369	0.0808921	0.0886474	0.128924	0.189839
