 	o	t	ω	m	b	í	l	i	m	ó	ó	b	é	b	h	í	l	a	p	ó	a	ó	m	i	y	ε	m	i	n	ε	</S>
le	0.0144333	0.0175203	0.0177842	0.0167248	0.0151453	0.0216905	0.0262551	0.0330241	0.052733	0.0465877	0.0640301	0.0437311	0.0865874	0.0463084	0.0255663	0.0221404	0.0217061	0.0282234	0.0245946	0.0218162	0.0430449	0.0420527	0.0407713	0.0277011	0.0243659	0.0224905	0.0248824	0.0232056	0.0248962	0.0292454	0.0507415
véhicule	0.0174435	0.0140968	0.0199979	0.0183776	0.0343592	0.0409726	0.0320372	0.0431537	0.0608314	0.0347467	0.0378522	0.0389919	0.0339817	0.0384662	0.0586699	0.0324439	0.0189911	0.0107971	0.00905048	0.00491652	0.00608481	0.012482	0.0374152	0.036666	0.0816252	0.0921052	0.0597773	0.0510253	0.0117202	0.00644154	0.00447973
qui	0.0230246	0.0253803	0.0170235	0.0131307	0.00963613	0.0153171	0.034941	0.0260204	0.0238319	0.0283148	0.0291721	0.0445873	0.0467515	0.0437845	0.027289	0.0290286	0.0178183	0.0128482	0.0208961	0.0253001	0.0227258	0.0583969	0.0511199	0.0838266	0.0565403	0.0400985	0.0412881	0.0431841	0.0448686	0.0343815	0.00947352
est	0.0165763	0.0249567	0.0383167	0.0385766	0.0470151	0.0574447	0.0596138	0.0553107	0.0397947	0.0392531	0.0389135	0.0313311	0.0431024	0.0197458	0.02274	0.0162057	0.0268205	0.0239801	0.0268911	0.0460286	0.0274621	0.0327181	0.0259729	0.0162889	0.0222171	0.0223744	0.0260252	0.0248637	0.0227594	0.0203241	0.0463769
tombé	0.0378806	0.0230405	0.020946	0.0209242	0.0315877	0.028507	0.0250376	0.0216803	0.0172399	0.0162032	0.015296	0.0186407	0.044479	0.037732	0.0477821	0.0525249	0.0465319	0.0306011	0.0288862	0.031246	0.0258878	0.0270504	0.045646	0.0539579	0.0373954	0.0571784	0.0261317	0.0352463	0.0278799	0.0178722	0.0489872
en	0.0505873	0.0398206	0.0309775	0.0271359	0.0282105	0.0236805	0.021378	0.0239425	0.0149973	0.0135034	0.01194	0.0162097	0.014792	0.017858	0.0256517	0.0556346	0.0656849	0.0464818	0.0381613	0.0769238	0.0738064	0.0385453	0.0352835	0.0274654	0.026252	0.0393726	0.0238923	0.020574	0.0128147	0.0130296	0.0453929
panne	0.0399028	0.0474053	0.0591464	0.0459432	0.0510441	0.0515934	0.0478401	0.0472272	0.0337811	0.0331087	0.0355322	0.0449671	0.0144145	0.0170038	0.0167126	0.0281009	0.0282973	0.0247673	0.0217806	0.0243926	0.0320326	0.0212047	0.0201209	0.0153368	0.0184716	0.0239999	0.0218514	0.0204029	0.0186983	0.0239338	0.0709858
hier	0.0547954	0.0541673	0.0562051	0.0356834	0.0150965	0.0131372	0.0163486	0.0212972	0.0163089	0.0152367	0.010891	0.0102769	0.0119721	0.0141635	0.0271048	0.0258666	0.0569798	0.0331096	0.0320516	0.0479258	0.0420739	0.0435684	0.0339517	0.024064	0.0274363	0.0236768	0.0283079	0.0310238	0.0305339	0.0377299	0.109015
est	0.175279	0.0972845	0.0585195	0.0320596	0.0106066	0.00843473	0.00747034	0.00733531	0.00538147	0.0035595	0.00301044	0.00327085	0.00445028	0.00497699	0.00795894	0.0138047	0.023353	0.0310175	0.0295837	0.0223235	0.0339341	0.0321345	0.0241621	0.0144845	0.0193414	0.0172428	0.0242827	0.0392397	0.0459088	0.0580232	0.141566
déjà	0.110602	0.065817	0.0288308	0.0103514	0.00339792	0.00249132	0.00248447	0.00233025	0.00234118	0.00185098	0.00184367	0.00197689	0.0027208	0.00597106	0.00598263	0.0119492	0.0221989	0.0252529	0.025694	0.0156083	0.0140635	0.0185486	0.019066	0.0133754	0.0228924	0.016877	0.0427215	0.0928252	0.095459	0.129082	0.185393
réparé	0.114157	0.0667747	0.0301842	0.0124841	0.0045902	0.00350381	0.00343747	0.00282093	0.00285656	0.00244383	0.00235181	0.00257118	0.00354448	0.0101879	0.0101812	0.0192461	0.0269185	0.0260653	0.0267015	0.0150822	0.0129332	0.0166534	0.0195973	0.0186623	0.0277818	0.0249663	0.0507196	0.0951352	0.0894478	0.11124	0.14676
</S>	0.0672692	0.0389828	0.0339799	0.0242124	0.015243	0.0154174	0.0215817	0.0232559	0.0206401	0.0150226	0.00990155	0.00918536	0.0178205	0.0183524	0.0165032	0.0192577	0.0277238	0.0272233	0.029707	0.0247232	0.0143553	0.0188301	0.0216886	0.0211662	0.0357268	0.0327749	0.0538435	0.0698939	0.0655836	0.063909	0.126225
