 	t	s	ó	s	ó	b	ó	l	á	a	t	ώ	b	h	ώ	l	ώ	a	s	á	n	g	í	m	á	á	d	i	ó	t	s	ε	n	g	ε	</S>
la	0.0190476	0.0126611	0.00674079	0.00882429	0.00775384	0.00977267	0.00997905	0.0125016	0.00783557	0.0106417	0.0111632	0.0166238	0.0290175	0.0487302	0.0653849	0.103105	0.0755255	0.0698005	0.0549781	0.0516817	0.0470456	0.043448	0.0340002	0.0301211	0.025047	0.0249346	0.0248144	0.0170321	0.012573	0.0155856	0.0230058	0.0116079	0.0115481	0.01391	0.0125095	0.0210487
poule	0.0473801	0.123645	0.21781	0.122207	0.0376222	0.0143669	0.0199975	0.0246541	0.0137909	0.0100901	0.0294139	0.0319487	0.0247633	0.0299378	0.0512719	0.0505959	0.0414688	0.0328291	0.00920016	0.00478346	0.00380639	0.00248055	0.00308525	0.00473384	0.0039774	0.0040551	0.00341939	0.00783479	0.00832212	0.00441017	0.00369275	0.00304122	0.00314981	0.0030713	0.00186002	0.00128344
picore	0.0134884	0.0216905	0.0151049	0.0146603	0.0170141	0.0316997	0.0379124	0.025506	0.0217223	0.020853	0.0156662	0.0251225	0.0389648	0.0207731	0.0160369	0.0165177	0.031563	0.0419259	0.0664231	0.0780965	0.0864649	0.0502059	0.0644905	0.0703854	0.0277129	0.0168295	0.019625	0.0204905	0.0227757	0.014374	0.0110779	0.00716365	0.00456475	0.00360301	0.00687553	0.00261938
les	0.0744661	0.0840313	0.0843209	0.0554908	0.0401429	0.0285928	0.0264185	0.0668252	0.0579294	0.0659855	0.0767331	0.0593657	0.0591912	0.0368185	0.0215022	0.0167904	0.0133515	0.00921633	0.00507926	0.00567043	0.00476177	0.00505928	0.00787493	0.0050612	0.00254984	0.00300629	0.00245884	0.0076411	0.00522249	0.00526419	0.00685203	0.00576743	0.00921752	0.00504485	0.0143529	0.0219432
grains	0.0759405	0.0919475	0.087164	0.0892222	0.0753503	0.0591568	0.0437706	0.0279098	0.0180023	0.0231334	0.0205838	0.01639	0.0200874	0.0198911	0.00860891	0.00662761	0.00872879	0.0112503	0.0166331	0.0123482	0.0152098	0.0143089	0.00968109	0.0092614	0.0122514	0.00921177	0.0107655	0.0100546	0.0162644	0.01907	0.0155647	0.0155038	0.0139323	0.0198989	0.0204233	0.0558514
de	0.127483	0.117488	0.108569	0.0995463	0.0785844	0.0454014	0.0427176	0.0345277	0.0300613	0.0255335	0.0268543	0.0163549	0.0204593	0.0137196	0.00599739	0.00535629	0.00523232	0.00646169	0.00758124	0.00798677	0.0116388	0.0133032	0.0144995	0.00897564	0.00483723	0.0038257	0.00261027	0.00416586	0.00401708	0.00519437	0.00550916	0.00453489	0.00806612	0.00911609	0.0147135	0.0590767
maïs	0.0567896	0.044505	0.0425352	0.0408831	0.0412604	0.0394767	0.0268826	0.0141811	0.00978638	0.0116897	0.0112658	0.00645218	0.00867121	0.00969829	0.00589439	0.00654605	0.00657238	0.00891293	0.0171761	0.0271044	0.031671	0.033105	0.0237332	0.0200125	0.0267758	0.0251482	0.0218395	0.0190292	0.026658	0.0325215	0.0252067	0.0301842	0.0382598	0.0430458	0.0463761	0.12015
qui	0.0717939	0.0494312	0.0530904	0.0452602	0.0415489	0.0233735	0.0131819	0.011401	0.00815971	0.0114378	0.00795936	0.00696934	0.00634278	0.00563354	0.00607203	0.00333129	0.00489318	0.00646116	0.0111279	0.0147532	0.0122546	0.0165382	0.0172681	0.0171691	0.0196076	0.0212639	0.0232481	0.0263656	0.0298192	0.0399002	0.0310113	0.0451066	0.055676	0.0644406	0.0573756	0.120733
sont	0.0456144	0.0366984	0.0487339	0.0610775	0.0730848	0.0353357	0.0112725	0.0102251	0.00791467	0.0106446	0.00957785	0.00825708	0.00738484	0.00770074	0.00707327	0.00498465	0.00478006	0.00522856	0.00669964	0.00673064	0.0102783	0.0117204	0.0112194	0.00876393	0.0106453	0.010988	0.0110138	0.0149806	0.0187225	0.0332901	0.0237055	0.0340247	0.0442258	0.0693214	0.0507915	0.22729
par	0.0392977	0.0328186	0.0396474	0.0432339	0.0370928	0.0127513	0.00908506	0.00995764	0.00773951	0.0086339	0.00818274	0.00589471	0.00759447	0.00914548	0.00419131	0.00432369	0.00499558	0.00659067	0.0100765	0.00832599	0.0179217	0.0209049	0.0197682	0.0127893	0.013497	0.0119128	0.00997733	0.014782	0.0217721	0.041643	0.0364268	0.0392346	0.0499325	0.0875759	0.0968717	0.195411
terre	0.0246714	0.018943	0.0196173	0.019888	0.021143	0.0134092	0.00515763	0.00393242	0.00274409	0.00316415	0.00268772	0.00226418	0.00295785	0.00355414	0.00198203	0.00215137	0.00420256	0.00690071	0.0140398	0.0139346	0.0286249	0.0300895	0.0237998	0.0168319	0.023716	0.0155095	0.010989	0.0140967	0.0198419	0.0414517	0.0397542	0.045765	0.0605375	0.118613	0.122256	0.200778
</S>	0.0537543	0.03772	0.0302756	0.0271612	0.0213207	0.0127618	0.00558106	0.00391943	0.00262809	0.0031029	0.00308371	0.00209003	0.00266059	0.00361903	0.0018361	0.00193301	0.00274749	0.00393251	0.00688903	0.00889328	0.0211439	0.0232466	0.0213185	0.0132124	0.0208641	0.0185889	0.0181759	0.0197266	0.0258305	0.0446596	0.0387569	0.050736	0.0529959	0.104706	0.117371	0.172757
