 	l	ε	k	ú	b	h	ε	l	á	s	w	é	í	m	i	b	h	á	r	á	á	w	a	m	ó	o	n	g	o	n	g	a	</S>
l'	0.0159574	0.0104694	0.0130046	0.0108585	0.00842337	0.0105725	0.0144233	0.0320134	0.0375634	0.0437744	0.0739357	0.0879561	0.0997702	0.0783406	0.0523699	0.0463754	0.0306629	0.0265179	0.0216073	0.015332	0.0172478	0.0117764	0.0139198	0.0307384	0.0233091	0.0150763	0.0181969	0.0274073	0.0222181	0.0201573	0.0285787	0.022133	0.0193126
arête	0.0152775	0.0350621	0.0366528	0.0528172	0.0166552	0.0271521	0.0287382	0.0147941	0.0476363	0.096369	0.138599	0.0434028	0.117632	0.0584396	0.0791784	0.0474616	0.0336076	0.0247294	0.0151993	0.0142175	0.011856	0.00366072	0.0052616	0.00858766	0.00569472	0.00747055	0.00467122	0.00378906	0.00134469	0.000964236	0.00194583	0.000567203	0.000565109
du	0.066241	0.094712	0.0574055	0.0307865	0.0323205	0.0364452	0.0566522	0.0491154	0.0372617	0.0249424	0.0163121	0.018567	0.0143925	0.00868955	0.0189678	0.014725	0.0120044	0.0159848	0.0178564	0.0203818	0.0246803	0.0168477	0.0322484	0.034187	0.0248576	0.046281	0.0331301	0.0390347	0.0166756	0.0178894	0.0307947	0.0220507	0.017559
poisson	0.0988459	0.172516	0.164251	0.11681	0.0825965	0.0441762	0.0333473	0.0233249	0.0188569	0.0205485	0.0220725	0.0112451	0.0100758	0.00751731	0.00934082	0.00859473	0.0086255	0.00863536	0.0129216	0.0105417	0.00759308	0.00606421	0.00587525	0.00476881	0.00594055	0.00714084	0.00584382	0.00759134	0.00521376	0.00837689	0.00973522	0.00911053	0.0319027
s'	0.0646994	0.0660829	0.0672745	0.0669283	0.0571489	0.0429142	0.0489782	0.0528021	0.053045	0.0380822	0.0225595	0.0131177	0.0137815	0.0141699	0.0251879	0.0228107	0.0310092	0.0334571	0.0358504	0.0262884	0.0209857	0.0183577	0.0205107	0.0156195	0.0100078	0.00968579	0.00689474	0.00884491	0.00558353	0.00800306	0.0153132	0.0131698	0.0508357
est	0.0802931	0.0866434	0.0645833	0.0609433	0.0525167	0.0390874	0.0344466	0.029199	0.0275579	0.0175128	0.0105863	0.00985756	0.0103616	0.0153775	0.0306692	0.0264901	0.0277036	0.0186913	0.0211019	0.0147833	0.0103973	0.0087558	0.0079434	0.00844904	0.00571083	0.0109429	0.0202505	0.0275287	0.0205658	0.0331043	0.0564873	0.0430072	0.0684509
coincée	0.0414868	0.0281588	0.0264212	0.0250423	0.0255955	0.0283364	0.0282067	0.0264506	0.0332321	0.0251125	0.019956	0.0181153	0.0175323	0.0204251	0.0244563	0.0312217	0.0474538	0.0348033	0.0368298	0.0314477	0.0241796	0.0178522	0.0263667	0.0361519	0.0214999	0.025077	0.0319347	0.0333549	0.0363923	0.0366053	0.0420391	0.036126	0.0621363
dans	0.0254491	0.0286364	0.0246247	0.0366643	0.0385038	0.0429887	0.038834	0.0363031	0.0337724	0.0246183	0.0218695	0.0275731	0.0376005	0.0414761	0.0603024	0.0354616	0.0419981	0.0349852	0.030899	0.0225931	0.0154107	0.0160614	0.0133844	0.0100232	0.00800293	0.0124014	0.0165732	0.0181835	0.0184542	0.0215396	0.0295718	0.0365129	0.0987273
sa	0.0807232	0.0763081	0.0588015	0.0547918	0.0400803	0.0260446	0.0190732	0.0164714	0.0123072	0.00964915	0.00722405	0.0130659	0.0118035	0.0131181	0.0194438	0.0121262	0.0118497	0.0118977	0.0210543	0.0140265	0.0148043	0.0188854	0.0335516	0.02892	0.0196205	0.0256745	0.0263622	0.0295023	0.03016	0.0356711	0.0462783	0.0472692	0.11344
gorge	0.0724239	0.0587606	0.040128	0.0270902	0.0178761	0.011768	0.00951176	0.00844107	0.00567275	0.00458935	0.00609217	0.0093252	0.0101417	0.0130243	0.0243689	0.0231764	0.0249773	0.02266	0.0306902	0.0197571	0.0120419	0.0132608	0.0231804	0.0201464	0.0153132	0.0334001	0.0369337	0.0416911	0.0364006	0.0482616	0.0580804	0.0605694	0.160246
</S>	0.0733914	0.0811476	0.0858129	0.0713256	0.0470287	0.0247159	0.0174308	0.0148362	0.0118169	0.00923541	0.00383413	0.00715947	0.00553524	0.0057001	0.00742807	0.0143386	0.0201235	0.023192	0.0354366	0.0339187	0.0269759	0.0228055	0.0209609	0.0120763	0.0119318	0.0160129	0.0173785	0.0188979	0.0146304	0.0256705	0.026495	0.034028	0.158729
