 	n	g	ó	o	á	d	z	a	r	i	w	á	a	n	g	u	n	d	á	o	b	v	έ	o	b	v	έ	t	s	í	n	a	w	a	a	p	é	n	d	í	i	b	o	ó	p	á	m	i	</S>
sa	0.171445	0.094974	0.0366668	0.0400092	0.0275589	0.0204717	0.0129601	0.0245044	0.0182792	0.0119161	0.0140454	0.0207051	0.0120862	0.0194064	0.0156369	0.0238279	0.0206405	0.0147813	0.0306082	0.0184563	0.0117067	0.00532763	0.00753334	0.00301095	0.0025506	0.00342327	0.00482168	0.00879536	0.00897186	0.00498345	0.0133235	0.0140355	0.00627391	0.00645579	0.00901721	0.00617585	0.0114331	0.0108026	0.0109876	0.019264	0.0386182	0.0232883	0.0223899	0.0152592	0.0206509	0.0169284	0.0173507	0.0163802	0.0112609
mère	0.214305	0.123027	0.156132	0.108482	0.0989441	0.0565805	0.0355893	0.0306851	0.0240075	0.00765559	0.00760864	0.00827567	0.00516039	0.00777674	0.00281034	0.00138514	0.00207674	0.000922793	0.000622111	0.000413125	0.00048347	0.000376497	0.000420432	0.000315441	0.000452596	0.00188917	0.00227855	0.00431002	0.00565761	0.00474346	0.0134135	0.0121792	0.00339146	0.00221705	0.00110846	0.00047608	0.0027122	0.00428822	0.00132483	0.00268887	0.0102835	0.00831988	0.00663676	0.00994183	0.00215903	0.00274442	0.00165002	0.000559158	0.000518149
lui	0.0154526	0.0437679	0.0558332	0.0698276	0.0487556	0.0395714	0.01525	0.011425	0.0213563	0.0245489	0.0202102	0.0464528	0.0108857	0.0160161	0.0279179	0.0304971	0.0365121	0.0149969	0.0153424	0.0176156	0.025968	0.0234934	0.0132278	0.0069547	0.00696423	0.0074106	0.00811026	0.0165723	0.0101941	0.0115261	0.0124869	0.0176974	0.0117912	0.00920972	0.00881898	0.0160941	0.0140736	0.0143397	0.0156201	0.0127309	0.0224293	0.0396123	0.0179067	0.0207439	0.0166057	0.013124	0.00666164	0.00924223	0.008155
a	0.0128984	0.0104924	0.0111648	0.0126022	0.015632	0.0175719	0.0163929	0.00955706	0.00815351	0.0102386	0.0107418	0.0070923	0.00744576	0.00807016	0.0176626	0.0295004	0.0495731	0.0225011	0.0413464	0.0289147	0.0344479	0.0277346	0.0385427	0.0405338	0.03547	0.0399602	0.0314091	0.0361587	0.0273472	0.0202052	0.0184915	0.0125228	0.0156673	0.0135915	0.0121008	0.0110974	0.014064	0.0136356	0.00504071	0.00825922	0.0110808	0.0126999	0.0140054	0.0355791	0.0156004	0.0182587	0.0221849	0.0276413	0.0391174
administré	0.01544	0.0120632	0.0128176	0.0158941	0.0159844	0.0192503	0.0207958	0.0156657	0.0142667	0.0247075	0.0152793	0.0143858	0.0154764	0.0119228	0.0112588	0.0159117	0.0249466	0.020203	0.0259463	0.0282046	0.0413574	0.059533	0.0342235	0.0159705	0.0147173	0.0131164	0.015932	0.0263757	0.0196729	0.0123595	0.0291545	0.0351967	0.0189703	0.0179434	0.0139662	0.0131022	0.00810692	0.0089168	0.00939087	0.0162383	0.0195673	0.031436	0.025227	0.0342205	0.0186519	0.0244775	0.0204222	0.0151061	0.0362266
une	0.0139002	0.0120049	0.010406	0.0138349	0.0158944	0.0139145	0.0143544	0.0139972	0.0127203	0.0153479	0.0141697	0.0124465	0.00921938	0.00678312	0.00341995	0.0039213	0.0050289	0.00899724	0.0204891	0.0177787	0.0349876	0.0403959	0.044493	0.0415868	0.0370856	0.0181088	0.0192761	0.0329561	0.0302593	0.0265449	0.0287147	0.0325667	0.0298712	0.0340545	0.0209659	0.0192525	0.0175121	0.0249161	0.012327	0.0144724	0.0138753	0.0229106	0.0229234	0.0213308	0.016112	0.0222431	0.021018	0.019823	0.0407884
bonne	0.0298086	0.0236153	0.0206167	0.0240824	0.0251633	0.0248596	0.021453	0.0136021	0.0114453	0.0177556	0.0126097	0.00910036	0.0104017	0.011781	0.0127524	0.0143498	0.0126228	0.0171603	0.0232311	0.023044	0.0226781	0.0215117	0.014807	0.0104764	0.0100871	0.00837036	0.00942181	0.0223068	0.0124746	0.00928775	0.0235011	0.0183145	0.0146239	0.0161508	0.0137338	0.00709126	0.0129805	0.0625916	0.00570791	0.00686293	0.0408972	0.012527	0.0363162	0.0439441	0.0212041	0.0330711	0.0449982	0.03041	0.0541971
fessée	0.00604631	0.0058301	0.00465633	0.00527106	0.00670243	0.00623621	0.00695977	0.00861899	0.0112545	0.0142261	0.0158624	0.0107443	0.00977592	0.00917665	0.00749927	0.00747154	0.00768146	0.00700009	0.00921333	0.0102476	0.0146322	0.0177892	0.0204125	0.0300127	0.0403541	0.0356469	0.0386844	0.0460852	0.0547687	0.0579678	0.0387736	0.0358087	0.0416367	0.0378866	0.0431545	0.0294528	0.0291426	0.0486439	0.00768225	0.00764285	0.0161253	0.00923955	0.0204428	0.0199575	0.0164397	0.0119697	0.0183926	0.0160536	0.0247266
car	0.00751595	0.00811533	0.00878142	0.00936163	0.00795483	0.00802976	0.00561589	0.00327788	0.00321107	0.00374332	0.00343084	0.00219718	0.00567318	0.00554865	0.00629795	0.00930722	0.00792613	0.0047459	0.0101378	0.0115754	0.0177131	0.0156575	0.0312259	0.0453264	0.0566377	0.0421618	0.060781	0.0637945	0.0541893	0.0480603	0.0401314	0.01872	0.0250558	0.0207668	0.018737	0.0115484	0.017959	0.0124395	0.00555709	0.00548247	0.00678188	0.00437041	0.0124917	0.0294204	0.0252888	0.0296158	0.0448591	0.0527031	0.0500765
il	0.00526236	0.00463067	0.00568114	0.00615132	0.00603756	0.0052213	0.00574739	0.00326461	0.00361502	0.00593998	0.00380853	0.00310675	0.00387461	0.00410843	0.00609161	0.016949	0.0184261	0.0077855	0.0142455	0.0174736	0.0249614	0.0349717	0.0398953	0.0261101	0.0361398	0.0341949	0.0461883	0.0388062	0.0319687	0.0280447	0.0377943	0.0203363	0.0274675	0.0231722	0.0288902	0.0145802	0.0338762	0.0310343	0.00880649	0.0153599	0.015008	0.00941131	0.0245597	0.0324357	0.0384108	0.0233748	0.041023	0.036302	0.049455
est	0.0201608	0.0151075	0.0142253	0.014214	0.0079629	0.00803561	0.0086512	0.00571828	0.00465721	0.00483904	0.00617961	0.00604157	0.00794064	0.00943458	0.0224112	0.0266926	0.0389598	0.025622	0.0431307	0.0403919	0.047401	0.0267081	0.0495202	0.0522254	0.0498065	0.0513353	0.0471651	0.0423545	0.0268189	0.0223968	0.0311791	0.0185474	0.0189125	0.00891661	0.0169229	0.0127736	0.0105156	0.0087995	0.00460759	0.00605479	0.0039128	0.00304086	0.00541972	0.00729095	0.0063335	0.004467	0.0133892	0.0171725	0.0556355
trop	0.0219836	0.0196115	0.0160008	0.0127404	0.00817873	0.00778958	0.00755586	0.00733975	0.00678457	0.00689553	0.0114984	0.00864635	0.00956568	0.0256126	0.0332017	0.0313454	0.0368417	0.046314	0.0639007	0.0482867	0.0606967	0.013934	0.0351743	0.0470918	0.0381516	0.0523265	0.04856	0.0385364	0.0202155	0.0255773	0.0412487	0.0205157	0.0116906	0.0058854	0.00747909	0.00526617	0.00341007	0.00545861	0.00292916	0.00319568	0.00470764	0.0041541	0.00536266	0.00787832	0.00500655	0.00502114	0.0125722	0.0121601	0.0257004
têtu	0.0176672	0.0193674	0.0216532	0.0177604	0.0196705	0.0209686	0.0198855	0.0101307	0.00800404	0.0108554	0.0109448	0.00565894	0.00858214	0.0096475	0.0218824	0.0340997	0.0373404	0.0129627	0.0336025	0.0263793	0.0468669	0.0316149	0.0334132	0.0260394	0.0303294	0.036001	0.0345909	0.0357623	0.0213905	0.0153821	0.0209419	0.0110409	0.011115	0.0109205	0.00845846	0.00498512	0.00660938	0.00750197	0.00131755	0.00189796	0.00507865	0.00422153	0.006997	0.0161693	0.0119428	0.016621	0.0374173	0.050897	0.087413
</S>	0.0112296	0.0126627	0.0170636	0.015176	0.0126079	0.0104072	0.0086025	0.0050923	0.00499714	0.00556938	0.0050437	0.00356226	0.00492283	0.00539863	0.00883085	0.015268	0.0155557	0.00792874	0.0140689	0.0124387	0.0255812	0.0246659	0.0293196	0.0243386	0.0275566	0.0229317	0.0205436	0.026847	0.0164804	0.013814	0.0189501	0.00992695	0.0178824	0.0174656	0.0241718	0.0165751	0.0208711	0.0250963	0.0042324	0.00854716	0.0161826	0.0110643	0.0266409	0.0448248	0.0677464	0.0433148	0.0640035	0.057008	0.0769907
