 	a	y	ú	r	u	b	á	a	t	ó	n	á	w	a	t	s	í	n	a	w	a	a	d	í	e	b	ώ	l	ώ	ώ	</S>
les	0.355659	0.207246	0.0326305	0.00361507	0.00263584	0.00242199	0.00276037	0.00414956	0.0092141	0.00803926	0.020219	0.0272327	0.0417503	0.0193543	0.0182795	0.02552	0.00915828	0.0197946	0.00546502	0.0102216	0.00827339	0.00584076	0.00910872	0.0198478	0.0285347	0.0229403	0.0185052	0.0192845	0.0175288	0.0131918	0.0115772
femmes	0.0644324	0.146558	0.094483	0.100895	0.0860518	0.066975	0.0547869	0.0393352	0.00990895	0.0116244	0.00962595	0.0168962	0.011785	0.0124281	0.0109229	0.00269514	0.00929387	0.00797469	0.00455662	0.00537574	0.00348579	0.00915429	0.0160353	0.0287663	0.0704624	0.058797	0.0173658	0.00514824	0.00880009	0.00765521	0.00772482
le	0.0296896	0.0432464	0.066966	0.0867902	0.026693	0.0139095	0.0208909	0.0195527	0.0315287	0.0395631	0.0202916	0.02022	0.0229687	0.0329366	0.0317455	0.039478	0.0429675	0.0250581	0.0362835	0.0275071	0.0217744	0.0154919	0.0141149	0.0292563	0.0513742	0.0394011	0.046135	0.027699	0.0257204	0.0313212	0.0194249
quittent	0.00901107	0.0163582	0.02702	0.0414351	0.0564474	0.0443208	0.0275282	0.0280382	0.0396751	0.0344111	0.0475594	0.0380303	0.0717164	0.0560307	0.10812	0.0613267	0.0645936	0.0354449	0.0426691	0.0165986	0.0152396	0.0105655	0.0153565	0.0115892	0.00640282	0.00954315	0.00535619	0.00489752	0.0146814	0.0184179	0.0216151
parce	0.0370825	0.0354266	0.027327	0.0493414	0.0483174	0.0464118	0.0274043	0.032915	0.031268	0.0314968	0.0289759	0.0444188	0.036967	0.0277436	0.0388221	0.0480283	0.0480567	0.0420499	0.0395145	0.0132942	0.0235629	0.0226473	0.0109852	0.0176069	0.0145774	0.0240706	0.0212687	0.0216988	0.0349273	0.0337386	0.0400545
qu'	0.154133	0.111683	0.0608639	0.0225467	0.0199164	0.0171674	0.0120277	0.00929942	0.0198692	0.0143047	0.0171851	0.0124699	0.0252165	0.00890716	0.018635	0.0141806	0.0169011	0.0194263	0.0233379	0.0258691	0.020501	0.0204259	0.013243	0.0319841	0.0272113	0.0452283	0.0292693	0.0237188	0.0424168	0.0522512	0.0698098
il	0.0721205	0.0219729	0.0194193	0.0268904	0.023253	0.0253981	0.0204394	0.0165297	0.0182633	0.0161914	0.0172766	0.0107701	0.02339	0.0114103	0.0196472	0.0217909	0.0361679	0.0467065	0.0633391	0.0389585	0.0612764	0.0351235	0.029469	0.0281683	0.0192261	0.0418006	0.0241095	0.0326831	0.0559495	0.0601712	0.0620877
est	0.0375189	0.0450786	0.0406863	0.0491672	0.0457738	0.0351749	0.0242441	0.0161975	0.0206119	0.0187501	0.0184963	0.0089406	0.0144699	0.0149066	0.024857	0.0217038	0.0438448	0.0389962	0.0444928	0.0179621	0.0287148	0.0248896	0.0234864	0.0253755	0.0252431	0.0295109	0.0225393	0.0276906	0.0612757	0.0500395	0.099361
fainéant	0.0640936	0.0570339	0.0497686	0.0480972	0.0307524	0.0162441	0.00806985	0.0106711	0.0158072	0.0110033	0.0157276	0.0104539	0.0394989	0.0331192	0.0406469	0.0491542	0.0374667	0.0443533	0.0448208	0.0190957	0.016694	0.0144375	0.0149521	0.0146692	0.0131274	0.0276288	0.0161113	0.0106988	0.0488037	0.0412383	0.13576
</S>	0.0444567	0.0410102	0.0403605	0.0420266	0.0297097	0.0182873	0.0108416	0.00599092	0.0114049	0.00801549	0.00775769	0.00384909	0.0047396	0.00605043	0.0106301	0.0102638	0.0141925	0.0259305	0.0187551	0.0117581	0.0282247	0.0247863	0.0230826	0.0427456	0.0427441	0.0446193	0.0466006	0.046967	0.104552	0.0894743	0.140172
