 	o	k	a	m	b	a	b	ó	l	á	a	b	h	ε	n	g	έ	b	v	á	r	e	</S>
le	0.0189865	0.0225523	0.0255308	0.0371335	0.0289239	0.0275419	0.0394872	0.0395222	0.0434207	0.0221026	0.0235356	0.0415311	0.0832836	0.0782867	0.0936549	0.10421	0.0859331	0.0484228	0.0338032	0.0269922	0.0228071	0.0284273	0.023911
sculpteur	0.0155351	0.0131706	0.0194087	0.105703	0.0241856	0.0487137	0.0963122	0.157752	0.129272	0.0559697	0.126737	0.111896	0.0321309	0.0225057	0.0158402	0.00806277	0.00966168	0.0027808	0.002575	0.00116867	0.000235037	0.000175438	0.000208167
est	0.0317667	0.0361991	0.0290907	0.0450237	0.0457476	0.0739565	0.116894	0.0905397	0.0722253	0.0607498	0.0880697	0.0602113	0.0595588	0.0437132	0.0363478	0.0422407	0.0145148	0.0113714	0.00992038	0.00796406	0.00490202	0.00584154	0.0131507
en	0.0484324	0.0517647	0.0611804	0.0495637	0.0738059	0.0567777	0.058641	0.0354965	0.0331873	0.0192109	0.0192504	0.0114949	0.0156857	0.0204169	0.0575875	0.0652428	0.0663169	0.0377047	0.0581614	0.0437352	0.0202992	0.0435984	0.0524456
train	0.0340107	0.0281205	0.0239011	0.0344022	0.0331096	0.0445176	0.0658242	0.0592458	0.0612789	0.0673678	0.0620876	0.0333554	0.03565	0.0400055	0.0469111	0.059524	0.0480537	0.0434027	0.0412554	0.0334326	0.0354799	0.0287054	0.0403583
de	0.0632277	0.0702881	0.0612889	0.0546504	0.0206353	0.021416	0.0251274	0.0697453	0.0548885	0.0506206	0.0523348	0.0940371	0.0396102	0.0457473	0.0204535	0.0150756	0.00965761	0.0164525	0.0143578	0.0281648	0.0241061	0.0281373	0.119977
tailler	0.0741238	0.0454507	0.045337	0.047214	0.0444937	0.0512315	0.0483785	0.0547119	0.0474023	0.0391279	0.0407181	0.0366045	0.0273358	0.0310948	0.0644466	0.0748845	0.057852	0.0362092	0.0298209	0.0190636	0.0116677	0.0207822	0.0520489
la	0.0775746	0.0583529	0.0499666	0.0385008	0.0386953	0.0503084	0.0425604	0.0335942	0.0261577	0.0159149	0.01345	0.0104734	0.00789494	0.0132885	0.0223304	0.0280947	0.0372044	0.0618551	0.0594916	0.0502811	0.0356232	0.0767065	0.15168
pirogue	0.0779088	0.0514729	0.0383084	0.0306653	0.0208456	0.0075672	0.00454414	0.00312402	0.00467614	0.00663104	0.00515828	0.00473672	0.00494781	0.00907933	0.0145434	0.0324472	0.064036	0.0824204	0.0809389	0.090606	0.102579	0.109276	0.153487
</S>	0.0886362	0.0627335	0.0504325	0.0367324	0.0197778	0.00909815	0.00701457	0.00527902	0.00654645	0.00833403	0.00667333	0.00647235	0.00577045	0.00876306	0.00911028	0.0156638	0.0309733	0.0650471	0.0840447	0.0658773	0.0506691	0.163557	0.192794
