 	b	í	s	í	l	o	b	i	a	y	e	é	d	z	w	e	n	g	á	o	t	á	a	l	é	p	é	s	i	n	i	l	a	p	ó	a	</S>
j'	0.105473	0.120808	0.0480217	0.0388887	0.0363358	0.0227354	0.0185058	0.0139333	0.0271831	0.0224009	0.0314833	0.0183203	0.0161505	0.0123182	0.0107191	0.0105748	0.0140638	0.010973	0.0145205	0.0218429	0.0186197	0.0167355	0.0189143	0.0214352	0.0266862	0.0214818	0.0211642	0.0227928	0.0254221	0.0299991	0.0259845	0.024207	0.0282887	0.019099	0.0230445	0.0198004	0.0210733
ai	0.0474677	0.0517581	0.0269892	0.024716	0.0300901	0.0448152	0.0501026	0.0496461	0.0588458	0.0778276	0.0767418	0.0651177	0.0493365	0.0413562	0.0328025	0.0316534	0.028442	0.0274684	0.0269942	0.0245585	0.02427	0.0190582	0.0183135	0.0105077	0.0111829	0.0059998	0.00572982	0.00387478	0.0037252	0.00210746	0.00146249	0.00436211	0.00234379	0.00309485	0.00376706	0.00478871	0.00868176
loupé	0.0365792	0.0399885	0.0331626	0.0393182	0.0392777	0.0260188	0.0234599	0.0501859	0.0503847	0.0368705	0.0398608	0.0823073	0.0622548	0.0604572	0.0452034	0.0512058	0.0344159	0.0332332	0.0270563	0.0298482	0.0175516	0.0149083	0.0184518	0.0122301	0.0128078	0.00827207	0.00665299	0.00644323	0.00674069	0.00665695	0.0068391	0.0063244	0.00587812	0.00775407	0.00717162	0.0067281	0.00750009
l'	0.0275334	0.0219565	0.0196946	0.018391	0.0160465	0.0180518	0.0179471	0.022051	0.022754	0.0330738	0.0361082	0.0430687	0.0429812	0.0430462	0.0474792	0.0366341	0.0465344	0.0412886	0.0447242	0.0408765	0.0414776	0.023239	0.0271094	0.0152844	0.0203279	0.0104698	0.0108734	0.0112717	0.0163892	0.0158659	0.0189076	0.0170007	0.0165416	0.0242699	0.0248284	0.0243356	0.041567
ami	0.0228631	0.0152576	0.0121185	0.0118329	0.0193086	0.0182043	0.0308854	0.039445	0.0365096	0.0548246	0.0363872	0.0410113	0.0340745	0.0254999	0.0426454	0.0278183	0.0201432	0.0289704	0.0247456	0.0188681	0.0232836	0.0175359	0.0198616	0.014396	0.0228331	0.0173625	0.0157312	0.0302709	0.031481	0.0378111	0.0399693	0.0344341	0.0253098	0.0227845	0.0239796	0.0206913	0.040851
que	0.00679269	0.0050561	0.00419125	0.00707342	0.0129947	0.00887878	0.0139101	0.0156805	0.0158046	0.016808	0.0180504	0.0189464	0.0184469	0.0149517	0.0172116	0.0170749	0.0149213	0.019737	0.02067	0.0276325	0.0388924	0.0388035	0.0391405	0.0389992	0.0399929	0.0444267	0.043525	0.050109	0.0415873	0.043068	0.0431812	0.0376619	0.0416944	0.0396116	0.0381378	0.0374947	0.0488412
je	0.0221859	0.0238232	0.0161028	0.0137766	0.0209992	0.0209962	0.028435	0.026207	0.0266058	0.0266549	0.0258931	0.0270431	0.0290003	0.040447	0.0397455	0.0406929	0.03636	0.0402443	0.0371791	0.0267496	0.041152	0.0396433	0.0328195	0.0213173	0.0203162	0.0317755	0.029361	0.0265023	0.0156277	0.0150972	0.0157696	0.0126385	0.0173576	0.0172139	0.0169559	0.0181183	0.0591926
suis	0.0455322	0.024642	0.0129329	0.0103912	0.00988194	0.0105206	0.00803175	0.0133112	0.0106854	0.00977545	0.0119829	0.011765	0.0128755	0.0187807	0.0280406	0.0303407	0.0311726	0.0360256	0.0474655	0.0439891	0.0633541	0.0567117	0.0530574	0.0347206	0.0364879	0.0513201	0.0444876	0.0334218	0.0250611	0.0193789	0.0186979	0.0194175	0.0193773	0.0217048	0.0207473	0.0221163	0.0317948
allé	0.0327775	0.0138408	0.00967026	0.00869542	0.00785053	0.00974561	0.00947797	0.0145387	0.0109231	0.0131135	0.0158606	0.0150136	0.0177649	0.0183992	0.0216599	0.0218614	0.0226476	0.0264313	0.0279111	0.0281771	0.0308298	0.0307375	0.0300667	0.0295478	0.0306625	0.0340039	0.0305156	0.0268771	0.0198973	0.0231391	0.0201683	0.032563	0.0468504	0.0577575	0.0663839	0.0664991	0.0771402
voir	0.0295033	0.0170732	0.0172887	0.00961626	0.00691528	0.00833372	0.00724964	0.0102383	0.0087763	0.00948565	0.0111079	0.0102991	0.0114479	0.0126741	0.0153134	0.0157245	0.0179453	0.0193434	0.0233863	0.02584	0.0326977	0.0350336	0.0343629	0.0329281	0.0286836	0.0246681	0.0179915	0.0195449	0.0188784	0.0250871	0.0410981	0.047425	0.0545253	0.0701104	0.0741022	0.0753276	0.079973
hier	0.0633191	0.0300139	0.0148041	0.0142507	0.00990539	0.0106451	0.00887175	0.0127575	0.00836216	0.0104513	0.0110642	0.0108175	0.0143691	0.0132815	0.0171045	0.028163	0.0197039	0.0255037	0.0285151	0.0379316	0.0435341	0.0545655	0.0418004	0.0377394	0.031463	0.0268633	0.0184445	0.0181402	0.0141672	0.016764	0.0171481	0.0178433	0.0267807	0.0339921	0.0478973	0.0570419	0.10598
</S>	0.0308319	0.0158503	0.0145206	0.0112288	0.00752708	0.00808318	0.00557707	0.0119356	0.00778575	0.00814942	0.0114338	0.0094955	0.0122889	0.0128665	0.0203818	0.029913	0.0270245	0.031691	0.040552	0.0465662	0.0531681	0.050984	0.0482634	0.0434577	0.0434555	0.0372686	0.0272342	0.0195007	0.0158264	0.0151731	0.0160468	0.0230088	0.026833	0.0400786	0.0518522	0.0560603	0.0680855
