 	b	á	n	a	b	á	n	d	z	é	s	i	b	ó	b	á	a	t	ώ	ώ	m	b	á	á	n	g	e	ó	d	z	a	n	g	é	</S>
les	0.0323545	0.0885627	0.0206195	0.0167333	0.019739	0.0127023	0.0144885	0.0205773	0.0178309	0.029808	0.0758029	0.0908356	0.0901244	0.0808337	0.0756049	0.0348159	0.0221698	0.0186973	0.0193686	0.00962866	0.0121075	0.015392	0.0116149	0.0144908	0.018429	0.0143689	0.00917215	0.00965524	0.0145185	0.013669	0.0109669	0.0141959	0.0157339	0.0195863	0.0148013
petits	0.080486	0.071603	0.1186	0.0689895	0.0641993	0.060344	0.0344425	0.0333046	0.0259122	0.0262159	0.0242509	0.0239683	0.0142546	0.0182685	0.01294	0.0199555	0.0233642	0.0130078	0.0214839	0.0154119	0.0314476	0.0191952	0.021451	0.0184474	0.0197466	0.015827	0.0199649	0.0121959	0.020703	0.0124424	0.00761049	0.0101581	0.00863797	0.00770132	0.00346814
enfants	0.0889956	0.0518733	0.0496185	0.0359336	0.0463195	0.055961	0.0666252	0.0616083	0.0334814	0.0378018	0.0350212	0.0319557	0.0253668	0.0265763	0.023419	0.0286083	0.0308651	0.0278312	0.0278445	0.020828	0.0166284	0.0121827	0.011947	0.00820643	0.0146645	0.0110109	0.0212916	0.0144749	0.0142972	0.0115845	0.0119904	0.00827196	0.00775877	0.0122455	0.0169111
font	0.0151778	0.0140672	0.0240169	0.022892	0.0161829	0.0142041	0.0127796	0.0130161	0.0140953	0.012251	0.0126628	0.0141996	0.0122593	0.0160391	0.0234546	0.0224014	0.0170646	0.0182483	0.0168247	0.0149533	0.0164781	0.0173197	0.0466764	0.0502995	0.0686473	0.0639798	0.0732035	0.0727635	0.0700175	0.0636879	0.0420745	0.0329272	0.015902	0.0156176	0.0236151
la	0.0270548	0.0233662	0.0231265	0.0221462	0.023891	0.0241889	0.0243193	0.0244273	0.0302171	0.0379558	0.0385198	0.0369279	0.0315219	0.0268816	0.0273834	0.0262524	0.0248433	0.0310192	0.0233415	0.0255808	0.0300605	0.0242587	0.0161742	0.0170636	0.0154864	0.0128664	0.0164781	0.0214853	0.0199142	0.0283066	0.0362291	0.0310785	0.0500598	0.0543557	0.0732178
course	0.0118596	0.00980866	0.00740097	0.00726046	0.00845381	0.00805657	0.012769	0.00998799	0.0137737	0.019559	0.0158038	0.0140014	0.0118956	0.0104226	0.00982948	0.0131227	0.0161573	0.0215556	0.0253899	0.0375076	0.0411534	0.0480478	0.0429157	0.0475714	0.0521118	0.0500859	0.0505395	0.0539902	0.0511544	0.053595	0.0452397	0.0498921	0.0461382	0.0430717	0.0398775
dans	0.0210556	0.0175304	0.0183323	0.0185219	0.0189193	0.0204115	0.0206615	0.0211819	0.0318215	0.0382776	0.030158	0.025591	0.0183387	0.0184981	0.0153295	0.0218427	0.0213529	0.0248327	0.0225835	0.0310057	0.04166	0.0380156	0.0392609	0.0397345	0.0299217	0.0238378	0.0457719	0.0332292	0.029427	0.0226382	0.0330158	0.0361274	0.0546477	0.0319837	0.0444824
la	0.0133948	0.0106223	0.0121932	0.0129413	0.0190113	0.021928	0.0237857	0.0170182	0.0157505	0.0178925	0.016591	0.0157878	0.0115409	0.00906422	0.00860257	0.0112837	0.012985	0.0159472	0.0178005	0.0221171	0.0204513	0.0290249	0.0249305	0.0285391	0.0364728	0.0304743	0.0489244	0.0496026	0.0461625	0.0467445	0.0597899	0.0589522	0.0687078	0.0716336	0.0733318
cour	0.0110592	0.0100512	0.00857418	0.00797981	0.00730622	0.00481919	0.00416331	0.00369846	0.00572017	0.00672495	0.00627453	0.00579299	0.00595449	0.00485028	0.00464986	0.00525104	0.00593066	0.00753922	0.00882716	0.0154086	0.0306999	0.0387801	0.0426121	0.0543582	0.0667259	0.0707614	0.0689917	0.068421	0.0685233	0.0658736	0.0599913	0.0618456	0.0598363	0.0535089	0.0484953
</S>	0.0382182	0.0129824	0.0139276	0.0213242	0.0213154	0.0167547	0.0142688	0.00982892	0.00913556	0.0141266	0.0103005	0.0054679	0.00299933	0.00290406	0.00330478	0.00823841	0.0103555	0.0210944	0.0270832	0.0485037	0.0519792	0.0489073	0.0441727	0.0368262	0.0215153	0.0175627	0.0251369	0.0341518	0.022981	0.0377742	0.0476764	0.0566608	0.0754757	0.0766111	0.0904344
