 	e	f	u	u	n	g	ú	l	ú	y	e	e	f	u	u	n	g	á	w	a	l	a	n	g	á	é	m	i	k	á	m	b	í	s	á	n	g	á	a	y	έ	l	i	</S>
la	0.0128656	0.015843	0.0136659	0.0135397	0.0191078	0.0152695	0.0255062	0.0153589	0.032963	0.0355097	0.0375616	0.0315624	0.0470673	0.0484567	0.0478283	0.0456068	0.0220739	0.0200541	0.0116503	0.0140987	0.0110194	0.0118553	0.0108003	0.0109518	0.00717923	0.0101752	0.0121687	0.00835234	0.0110386	0.0135096	0.0161739	0.0095249	0.0159831	0.0104595	0.0140247	0.0189445	0.0154685	0.0227594	0.0353684	0.0390942	0.0445711	0.0433344	0.0459841	0.0356694
manière	0.0576456	0.108618	0.0944066	0.0470772	0.0607415	0.0518571	0.0525596	0.0362973	0.0483785	0.0549518	0.0316764	0.0340257	0.0435955	0.0703148	0.0392845	0.0169771	0.00734874	0.0176646	0.00926968	0.0147153	0.00805323	0.00904034	0.00265892	0.00191119	0.00127464	0.00208432	0.00190902	0.00282894	0.00312554	0.0046014	0.00573818	0.00390244	0.00574552	0.00552938	0.00186865	0.00394284	0.0029318	0.00662181	0.0128142	0.00368099	0.00416194	0.00256689	0.00416967	0.00143306
dont	0.122295	0.0444859	0.0250648	0.0106928	0.0116825	0.0124281	0.0221328	0.0224702	0.0210946	0.018983	0.0172241	0.03387	0.0485417	0.0433932	0.0317397	0.0397769	0.0315822	0.0257145	0.0340838	0.051458	0.0237953	0.0305925	0.0259522	0.0165901	0.0192926	0.0171621	0.0163088	0.011956	0.00790821	0.00595883	0.00697574	0.00995444	0.0197565	0.0151139	0.0176346	0.0154067	0.0132469	0.00761206	0.00944878	0.00665062	0.00667513	0.00696783	0.00997224	0.0103542
il	0.0232161	0.0217956	0.0218754	0.0134561	0.0150584	0.018226	0.0211829	0.0188638	0.0198171	0.0217683	0.021933	0.066112	0.0700205	0.0521931	0.0554459	0.102478	0.0334945	0.0181507	0.0158241	0.0321811	0.0304691	0.0300551	0.035223	0.0493804	0.0204472	0.0136168	0.0230091	0.0119704	0.00857295	0.00748905	0.00575661	0.00300126	0.00871973	0.00873612	0.0107062	0.00836861	0.00332213	0.00480803	0.00590079	0.00283715	0.00467584	0.00877108	0.0119411	0.0191292
boude	0.0383695	0.0237938	0.0184704	0.0190416	0.0150241	0.0288851	0.0265271	0.0248009	0.0198914	0.0143854	0.00982224	0.0122433	0.0162171	0.0208149	0.0284328	0.0458557	0.0480881	0.0345788	0.0361588	0.0656365	0.045227	0.0627268	0.0613997	0.0465529	0.0542047	0.0318249	0.0303166	0.0147899	0.00842921	0.00582103	0.00408923	0.00434721	0.00960688	0.00724505	0.00697452	0.00452113	0.00606433	0.00430143	0.00797347	0.00467312	0.00498679	0.00634589	0.00748346	0.0130574
contre	0.0223936	0.0261348	0.0298779	0.0257877	0.0226476	0.021773	0.0252163	0.0296591	0.0203731	0.0168691	0.0137944	0.0115639	0.0091618	0.0113312	0.00955263	0.0122279	0.0176968	0.0136883	0.0219848	0.0449555	0.0434295	0.0431129	0.0385117	0.036609	0.0406053	0.0210087	0.0185713	0.0147182	0.0173786	0.0116783	0.0180956	0.0133574	0.0299605	0.0306136	0.00692571	0.00648717	0.00919181	0.00610524	0.0118495	0.0203466	0.0209899	0.0216257	0.0339362	0.078202
moi	0.0239486	0.0226854	0.0238694	0.0254975	0.0265684	0.0381246	0.0306152	0.0311301	0.0256396	0.0175892	0.0142621	0.0106637	0.00686659	0.011431	0.0150941	0.0181553	0.0230197	0.022419	0.0188662	0.025691	0.0249255	0.0262575	0.0306062	0.0351969	0.0381384	0.0248207	0.0255134	0.0138675	0.0151968	0.0140716	0.0182205	0.016469	0.0139061	0.0155568	0.00698329	0.00627888	0.00970523	0.0102425	0.0124831	0.0257754	0.0304306	0.0293646	0.0367601	0.0870928
m'	0.0494734	0.0375449	0.037428	0.0456202	0.0365351	0.0475393	0.0443905	0.0406721	0.0291242	0.0284558	0.0231641	0.0115402	0.00570054	0.00588289	0.00530796	0.0075885	0.012495	0.00963641	0.012245	0.0236602	0.0193771	0.0154523	0.0253254	0.0294167	0.036288	0.0207699	0.018446	0.0138318	0.0198599	0.01444	0.0199667	0.0143819	0.013337	0.0186201	0.00634787	0.00570743	0.00786711	0.00804958	0.00770098	0.0181735	0.0221793	0.0234998	0.0255984	0.081359
intrigue	0.032455	0.0295964	0.0383676	0.0351318	0.0314618	0.0302359	0.0248128	0.0227896	0.0190575	0.0214827	0.0232736	0.0268136	0.0116358	0.00976468	0.00705857	0.012291	0.0246178	0.0132787	0.0168356	0.0313743	0.0197601	0.0108868	0.014249	0.0147126	0.0200963	0.0249654	0.0191601	0.0376559	0.039145	0.0227728	0.0159496	0.0176044	0.0115409	0.0194057	0.00582203	0.00673075	0.00667459	0.0150587	0.0136157	0.0242949	0.0279721	0.030637	0.0339759	0.0849789
</S>	0.0227278	0.0197747	0.0293275	0.0159436	0.0115568	0.012512	0.0133203	0.0140837	0.0103499	0.0115918	0.014344	0.0273384	0.0176489	0.0181433	0.0178054	0.0211491	0.0350083	0.026751	0.0219447	0.0439362	0.0525988	0.021744	0.0377999	0.0484475	0.0611819	0.0570666	0.0461913	0.0524003	0.0414537	0.038186	0.0200851	0.0159143	0.00402445	0.00974892	0.0037204	0.00239802	0.00155925	0.00255502	0.00241222	0.00376403	0.0055241	0.00729329	0.00910713	0.049566
