 	n	ω	l	ó	o	d	z	ω	ώ	o	n	d	z	a	n	g	á	w	á	á	l	e	b	á	á	n	d	í	e	t	u	m	b	a	o	k	y	ε	l	i	s	i	t	s	á	n	g	á	y	é	e	b	v	ú	r	á	o	d	z	á	n	ω	</S>
tu	0.00710563	0.00733186	0.0155383	0.0268539	0.0302641	0.0252601	0.0276311	0.0398704	0.0353085	0.0243971	0.0345682	0.0333748	0.0226668	0.0412448	0.0400029	0.0372987	0.0563261	0.056234	0.0540303	0.0552676	0.0391647	0.0282234	0.0159342	0.0147416	0.0168865	0.00493202	0.0047166	0.00371797	0.00314064	0.00324384	0.0032661	0.00270089	0.00266797	0.00238618	0.003215	0.00216642	0.00309803	0.00236534	0.00366883	0.00299555	0.00503488	0.00423894	0.00530233	0.00563813	0.00644435	0.00868123	0.00581918	0.0110867	0.0104579	0.0115174	0.0119726	0.0117962	0.0071906	0.0053671	0.00561266	0.00698813	0.00520126	0.00512593	0.00596738	0.00611661	0.00628699	0.0066983	0.00764826
vantes	0.0429102	0.027608	0.0212166	0.0163182	0.0135683	0.0120453	0.0117131	0.0100933	0.0110183	0.0143699	0.0168364	0.0258169	0.0303745	0.0376333	0.0395954	0.0602976	0.0684326	0.0497828	0.05742	0.0248256	0.025523	0.0188566	0.0220453	0.0220536	0.0124971	0.0216474	0.0148834	0.0123872	0.0226841	0.0231952	0.0166644	0.0135149	0.00978264	0.00787736	0.00912156	0.00920038	0.00370981	0.00605134	0.00602616	0.00553543	0.00828091	0.00815314	0.00761405	0.00683839	0.00902285	0.00796895	0.00600547	0.00828818	0.00428087	0.00546836	0.00409248	0.00284209	0.00484095	0.00332311	0.00518691	0.00361874	0.00489699	0.0033389	0.0044003	0.00356006	0.00331842	0.00421788	0.00530895
ta	0.0298647	0.0150927	0.00881536	0.00599273	0.00572058	0.00374983	0.00400837	0.00795322	0.00739486	0.00837484	0.0140294	0.0294789	0.0287092	0.019262	0.0278674	0.023384	0.0278993	0.0362299	0.0332424	0.0359778	0.0548428	0.0453063	0.0226759	0.0155698	0.0143034	0.0323694	0.0239499	0.0165308	0.0273351	0.00924695	0.0152456	0.0209488	0.00354608	0.0103464	0.0122108	0.00661247	0.00384887	0.00388065	0.00519085	0.00500092	0.00737616	0.00721198	0.0085611	0.0116297	0.00825403	0.00933848	0.00747204	0.0151387	0.00707531	0.0118137	0.0124719	0.0108225	0.0121618	0.0154491	0.0172534	0.0196408	0.0141631	0.013149	0.0191939	0.020327	0.018493	0.00760284	0.00339136
force	0.0188982	0.0279986	0.0224274	0.0180343	0.0177709	0.012781	0.0124034	0.0154519	0.0111529	0.0112957	0.00969893	0.0231797	0.0196966	0.0220158	0.0181337	0.0260725	0.0152607	0.0123321	0.0137458	0.00927328	0.0102869	0.0122829	0.0136734	0.0109994	0.0182751	0.0303766	0.0254859	0.0247225	0.0245154	0.0259374	0.0204543	0.0233009	0.0160389	0.0205016	0.0171288	0.0119425	0.0103877	0.00499148	0.00897021	0.012406	0.010605	0.00806404	0.010765	0.00650781	0.0128033	0.0103999	0.00783497	0.0111759	0.00729532	0.0146071	0.0100545	0.0107994	0.019955	0.0201775	0.0215721	0.011303	0.022204	0.0123662	0.0230855	0.0175587	0.0150471	0.0137264	0.021791
mais	0.00645272	0.0110933	0.0113781	0.0116579	0.00811366	0.00790665	0.0100905	0.0112559	0.0105643	0.00995193	0.00867227	0.0134444	0.0127336	0.0181074	0.0189437	0.0213118	0.0386701	0.031231	0.0238042	0.0223837	0.0236075	0.026205	0.0204701	0.0168885	0.0414205	0.0734234	0.0270723	0.0540891	0.0356212	0.0311742	0.023331	0.0261959	0.0133947	0.0278499	0.0179731	0.013587	0.00971362	0.00524692	0.00886688	0.00588239	0.00664035	0.00424366	0.00567103	0.00443464	0.00801401	0.00686846	0.0064978	0.0101044	0.00610039	0.00661886	0.00823689	0.00921062	0.00674504	0.00891765	0.00740615	0.00894894	0.00646212	0.00871991	0.00796539	0.00757339	0.0097068	0.0135772	0.0215558
si	0.00869462	0.00549637	0.0040596	0.00531357	0.0113774	0.0176996	0.0326061	0.0264902	0.0255213	0.0274675	0.0152554	0.0134707	0.0139098	0.01754	0.0184775	0.0172001	0.00938688	0.00772151	0.00666645	0.00358468	0.00773708	0.0106972	0.0174953	0.012868	0.011128	0.0179716	0.0216063	0.04798	0.0337482	0.0260587	0.0120852	0.0305122	0.0304782	0.0266984	0.0198234	0.0232943	0.0218914	0.0239876	0.0179347	0.0167117	0.0125816	0.0114699	0.013077	0.00973741	0.0138723	0.0109298	0.013289	0.0109412	0.0121204	0.0105196	0.0123659	0.012649	0.0113235	0.0122505	0.00969092	0.0141111	0.00973179	0.0130481	0.0124539	0.00986792	0.00936112	0.0138162	0.0221446
on	0.00942698	0.0110915	0.0103351	0.0162579	0.0257521	0.0293731	0.03093	0.0289636	0.0282028	0.0248904	0.0191776	0.0137635	0.0132125	0.0151665	0.0164297	0.0157245	0.0180508	0.0180916	0.0139485	0.0116723	0.0104166	0.00957749	0.0113017	0.0109568	0.0136139	0.0141804	0.0171684	0.0330502	0.0333273	0.028797	0.0159416	0.0235501	0.03995	0.0297399	0.0194192	0.0211983	0.0225715	0.0195997	0.0182797	0.0175342	0.0116897	0.0106981	0.0128597	0.00963636	0.0113609	0.00851113	0.0101653	0.00637804	0.00784228	0.00701272	0.00821805	0.00710706	0.0063233	0.00765265	0.00730022	0.00808863	0.0058319	0.00809041	0.0087041	0.00788689	0.0102056	0.013001	0.0248011
commence	0.0264139	0.0152863	0.011355	0.0101374	0.0121964	0.0118875	0.0128992	0.00898145	0.00695071	0.00832375	0.00808244	0.00597422	0.00695344	0.0113803	0.0118558	0.0120906	0.0224091	0.0180873	0.0118095	0.0138119	0.010175	0.0133955	0.0140459	0.0110684	0.011866	0.0149925	0.0187912	0.0284903	0.0173513	0.0168874	0.015073	0.0192479	0.0187375	0.0187368	0.0138189	0.0172381	0.0196071	0.0162155	0.0201102	0.0175898	0.017038	0.0134186	0.0144607	0.0146096	0.0236982	0.0172168	0.0203631	0.0183528	0.0213561	0.020919	0.0190471	0.0204828	0.0211276	0.022358	0.0212101	0.0160528	0.0139124	0.0210161	0.0170911	0.0143309	0.0124615	0.0166552	0.022497
le	0.0216444	0.011561	0.0089067	0.00762024	0.00857146	0.00821184	0.00864275	0.00618976	0.00462255	0.00518614	0.00437655	0.00432512	0.00702473	0.010078	0.0094576	0.00811653	0.00949991	0.00807735	0.00544323	0.00540418	0.00524167	0.00744143	0.00748999	0.00519423	0.00638285	0.0149085	0.018047	0.041677	0.0225349	0.0209093	0.0151234	0.0251594	0.024109	0.0227517	0.0153093	0.0222412	0.0202096	0.013877	0.0203156	0.0206822	0.0167756	0.00876386	0.0158391	0.00943067	0.0155125	0.0127264	0.0124368	0.0166572	0.0154484	0.0194448	0.0166292	0.0146693	0.0210916	0.025182	0.0331904	0.021412	0.028823	0.0274838	0.0305345	0.0276865	0.0268897	0.034125	0.0366825
combat	0.012998	0.0116312	0.0100746	0.00856098	0.00589095	0.00480609	0.00439617	0.00360036	0.00299839	0.00336022	0.00297884	0.00353069	0.00480365	0.00326836	0.00317931	0.0029111	0.00405757	0.0038039	0.0037748	0.00345392	0.00461285	0.00711584	0.00709168	0.00521526	0.00596091	0.0157253	0.0172999	0.0291589	0.0270615	0.0271438	0.0200483	0.022353	0.0303107	0.0217113	0.0190211	0.0271646	0.0201477	0.0192366	0.0198928	0.0210335	0.0170659	0.0100843	0.0169682	0.0100933	0.0131579	0.0146557	0.0167178	0.0142569	0.0210799	0.0226409	0.022329	0.0114035	0.016344	0.0164729	0.0241725	0.0161724	0.0262162	0.025027	0.0380193	0.0387417	0.039749	0.0441342	0.0531128
tuseras	0.0640901	0.0258386	0.0247486	0.025336	0.0250537	0.0220343	0.0193872	0.00690202	0.0047141	0.0078056	0.00742867	0.00476794	0.0068841	0.00705417	0.00646772	0.00641215	0.00842906	0.00881645	0.00556914	0.00443852	0.0024239	0.00296027	0.00296207	0.0031128	0.00427195	0.00882142	0.016608	0.0103665	0.023366	0.0207962	0.0191361	0.0158246	0.0195381	0.0163234	0.0204269	0.0185256	0.0138298	0.0211135	0.0103566	0.0114518	0.0112284	0.010008	0.0166176	0.0128404	0.0157747	0.0112378	0.0212998	0.016799	0.0156568	0.0135988	0.0146784	0.00961472	0.0168327	0.0147481	0.0190139	0.0133644	0.0244531	0.0204084	0.0208795	0.0271254	0.0288242	0.0372594	0.053343
le	0.0826224	0.0329452	0.0247706	0.0213843	0.0194201	0.0200355	0.0174175	0.00950179	0.00660131	0.00752579	0.00794857	0.00539941	0.00693587	0.0105802	0.0110436	0.0075818	0.01006	0.00965071	0.00658296	0.00397546	0.00313844	0.00284766	0.00566873	0.00657993	0.0056868	0.00833124	0.0134693	0.00980249	0.0293432	0.0302949	0.0244121	0.0215531	0.023149	0.0174835	0.0229751	0.0226853	0.0143865	0.0192519	0.0102388	0.0134731	0.0151377	0.0101137	0.0174367	0.0131086	0.014881	0.0116855	0.0156155	0.0148081	0.0189879	0.016371	0.015028	0.0115165	0.0149212	0.0130795	0.0178047	0.0147962	0.0191627	0.0144343	0.0156567	0.0157358	0.0163208	0.02034	0.0363035
premier	0.0715174	0.038106	0.0249951	0.0139447	0.0103083	0.00638054	0.00407278	0.00265657	0.00246243	0.00294876	0.00307477	0.00248402	0.00293958	0.00429856	0.00660919	0.00545145	0.0180782	0.0150342	0.0155175	0.015696	0.0112081	0.00952137	0.0140824	0.0146392	0.01519	0.0134626	0.0122057	0.0175417	0.0319494	0.0246521	0.0143246	0.0204443	0.0168895	0.0196257	0.0160741	0.0234694	0.0105323	0.0120986	0.0092627	0.00909073	0.0139886	0.00724737	0.012317	0.00774358	0.0120049	0.0132458	0.0143736	0.0169229	0.020783	0.0177437	0.0187276	0.0146775	0.0178441	0.0146707	0.0196195	0.0155867	0.0235021	0.0190366	0.0214112	0.0209061	0.0222041	0.0305868	0.0420166
à	0.0117825	0.00779912	0.00469333	0.00324302	0.00307422	0.00305738	0.00328037	0.00352255	0.00350296	0.00393958	0.00352786	0.00419488	0.0041102	0.00411957	0.00361164	0.00400722	0.00606636	0.00551999	0.00458413	0.00340054	0.00709233	0.00651045	0.00736779	0.0126785	0.0220765	0.0576774	0.0474665	0.0180957	0.0769285	0.069892	0.063595	0.046844	0.0373999	0.0377977	0.0368666	0.039567	0.0190007	0.0231279	0.0120461	0.0119305	0.0109695	0.00778711	0.0137633	0.0100367	0.01137	0.0114538	0.0107038	0.0105493	0.0107253	0.00963925	0.0120628	0.00866679	0.00830874	0.0102997	0.00982208	0.00893277	0.00822191	0.0116653	0.00922782	0.0105467	0.0107819	0.015937	0.0235299
verser	0.0263954	0.0101279	0.00783614	0.00631428	0.00676946	0.00884096	0.0097509	0.00792296	0.00570278	0.00718198	0.00796808	0.00439088	0.00490604	0.00763758	0.00847098	0.00669061	0.00726124	0.00920667	0.00821165	0.00569323	0.00745014	0.0100141	0.0100802	0.00996586	0.0169804	0.0204758	0.0243843	0.0338308	0.0380389	0.0306886	0.0267941	0.0259385	0.0288922	0.0239115	0.0228677	0.0261663	0.0176722	0.0226193	0.0124328	0.0128916	0.0144068	0.00813409	0.0205933	0.0137605	0.0150147	0.0146199	0.0168867	0.0147106	0.0270204	0.0223595	0.0238251	0.0110159	0.0124096	0.0102243	0.0152041	0.0128781	0.0151676	0.0122295	0.0163756	0.0193912	0.0219359	0.0329537	0.0395078
les	0.0469581	0.0312972	0.0196168	0.0123824	0.0122777	0.0162842	0.0160645	0.0124848	0.00988002	0.012034	0.013361	0.00788369	0.00875674	0.0127872	0.0127101	0.00998664	0.0105056	0.0130017	0.0117242	0.00663425	0.00874779	0.0100255	0.00954829	0.0154717	0.0193552	0.0178345	0.0196364	0.0163593	0.0187154	0.0172668	0.0191552	0.0131915	0.0135268	0.0109023	0.0116006	0.00953132	0.00771558	0.00842581	0.00532848	0.00460659	0.00911781	0.0048541	0.0152178	0.00963759	0.0134103	0.0141777	0.0110212	0.0145597	0.0154077	0.0172237	0.0164971	0.00885917	0.0105364	0.0115343	0.0192075	0.0150692	0.0185474	0.0177375	0.02006	0.0263878	0.0300245	0.0437687	0.0835667
larmes	0.027478	0.0096408	0.00733482	0.00604295	0.00628866	0.0071636	0.00733628	0.00441955	0.00460501	0.00524121	0.00559464	0.00494726	0.00557287	0.0059005	0.0072885	0.00645463	0.011535	0.0144732	0.0145177	0.0128107	0.0126029	0.0142666	0.0138559	0.0175502	0.0283069	0.0298862	0.0335774	0.0467123	0.0324358	0.0207118	0.0178344	0.011788	0.0148152	0.00961576	0.00788772	0.0106878	0.00647253	0.0101267	0.0041532	0.00431562	0.00721592	0.00353415	0.0103047	0.00455456	0.0131772	0.0107101	0.0116015	0.0154147	0.0129956	0.0141121	0.0115279	0.011069	0.0144796	0.0169515	0.0207891	0.0191804	0.0205443	0.0253105	0.0303664	0.0351836	0.0379877	0.055728	0.0750126
</S>	0.0837528	0.0539867	0.034785	0.0167538	0.014281	0.018355	0.0175466	0.00897859	0.00859902	0.0136803	0.0137478	0.00877167	0.00736799	0.00962335	0.0109706	0.00761507	0.0149743	0.025887	0.0163146	0.0137472	0.0108447	0.0110081	0.00993071	0.0124637	0.0141182	0.0120213	0.0174669	0.0120524	0.0158993	0.0107919	0.0111219	0.0085752	0.00793349	0.00650374	0.00633666	0.0068453	0.00560862	0.00777736	0.00432312	0.00505797	0.00712029	0.00584499	0.0127324	0.00868644	0.0116519	0.00866568	0.0101638	0.0113728	0.00851783	0.00842564	0.0100953	0.00757924	0.00923018	0.011221	0.0132975	0.00963113	0.0138611	0.0135494	0.0165245	0.0216272	0.030351	0.0498802	0.103552
