 	w	á	á	o	k	ó	í	s	í	k	u	m	á	l	á	n	g	w	ε	o	p	έ	k	í	n	g	í	</S>
si	0.09422	0.124065	0.119141	0.102089	0.0698238	0.0213642	0.0533632	0.0155709	0.013967	0.0203724	0.0223187	0.0358374	0.0264488	0.0216942	0.0194519	0.0218372	0.0221479	0.0136093	0.0190319	0.0216687	0.0198291	0.021271	0.0225928	0.0237768	0.0180545	0.0169901	0.0110903	0.00837264
tu	0.267961	0.151241	0.0713517	0.0501545	0.0460633	0.0714114	0.0499105	0.0579569	0.0401259	0.0405344	0.0265236	0.0385736	0.0249233	0.00951693	0.0155477	0.0055172	0.00234273	0.0036727	0.00432892	0.00178978	0.00148734	0.00243994	0.00289366	0.00177531	0.00185432	0.00234768	0.00170285	0.00605109
entres	0.00774833	0.0119103	0.00812605	0.0228329	0.0157215	0.0220042	0.0258221	0.0291875	0.0752307	0.0415293	0.0555488	0.055008	0.063887	0.0558628	0.0717898	0.0720966	0.0444209	0.0320552	0.0184745	0.0141718	0.0176029	0.024585	0.0243874	0.0290394	0.0327634	0.0536815	0.0462661	0.0282459
dans	0.0181886	0.0101557	0.0142679	0.0327129	0.0240238	0.0175919	0.0157751	0.0179995	0.0378179	0.0369004	0.0447398	0.0470689	0.0389716	0.0509979	0.046085	0.0478588	0.0518457	0.0582116	0.0442835	0.0281984	0.0437629	0.0311075	0.0336284	0.0344888	0.0391206	0.0364805	0.0479087	0.0498076
la	0.010224	0.00871433	0.0105595	0.0244168	0.0319063	0.032529	0.0252256	0.0481196	0.0306918	0.0551203	0.048604	0.0547418	0.0243597	0.0165362	0.0367542	0.105868	0.0622436	0.00792067	0.0208293	0.0283264	0.0293845	0.0294548	0.0362971	0.0351994	0.0693683	0.0264705	0.0300054	0.0601286
cachette	0.0109425	0.0173678	0.0136606	0.0182517	0.0186227	0.0308084	0.0395534	0.0460123	0.0229669	0.027987	0.0295477	0.0257915	0.0168223	0.0188351	0.0201945	0.0436185	0.018241	0.0347928	0.0412007	0.030844	0.0333603	0.0333068	0.0445731	0.0331764	0.0370544	0.0756583	0.0762442	0.140565
de	0.026806	0.0244018	0.0215118	0.0231538	0.0209926	0.0329146	0.0378183	0.0426536	0.0159763	0.022957	0.011688	0.00851167	0.00911527	0.0110923	0.0263454	0.0357223	0.0190093	0.0189794	0.0317788	0.0417644	0.0457533	0.0558527	0.0599664	0.0707871	0.0595928	0.0661303	0.0639514	0.0947731
panthères	0.0270447	0.0230467	0.0170722	0.0207855	0.0184727	0.0374066	0.0398614	0.0347036	0.0192085	0.00934857	0.00784496	0.00594905	0.00932318	0.0122926	0.0306143	0.0386388	0.0211123	0.0134305	0.0164576	0.0209703	0.0278806	0.0257727	0.0525953	0.0600964	0.0681572	0.0927612	0.0812665	0.167886
tu	0.0109518	0.0111481	0.0130606	0.0162614	0.0151965	0.0300921	0.027542	0.0277144	0.0298218	0.0280896	0.0248467	0.0142321	0.0119654	0.00995526	0.0361943	0.0824247	0.0366919	0.0118894	0.0297044	0.051551	0.0461177	0.0418268	0.0504549	0.0811568	0.0537062	0.0548578	0.0430638	0.109482
mets	0.0261814	0.0255836	0.0289977	0.03318	0.03394	0.0455988	0.0386429	0.0217402	0.0194209	0.0164574	0.0226989	0.0226745	0.0167105	0.0141373	0.0231796	0.0327952	0.0325841	0.0142461	0.019794	0.0368391	0.0321511	0.0333551	0.0384547	0.0635705	0.044116	0.0732182	0.0633695	0.126363
ta	0.0220589	0.015118	0.0159753	0.0299405	0.0296629	0.0342309	0.0325821	0.0253341	0.0148386	0.0181834	0.0215364	0.0208824	0.0190411	0.0169633	0.0251262	0.0306079	0.0331879	0.0125569	0.0238338	0.0428484	0.0526308	0.0421834	0.0652513	0.0731494	0.0491459	0.060715	0.0661944	0.106221
vie	0.0239931	0.017851	0.0188614	0.0373353	0.0379073	0.0356452	0.0338992	0.0183959	0.015549	0.0208284	0.029727	0.0321765	0.0234748	0.0268509	0.0265827	0.0255467	0.0214989	0.0191991	0.0263413	0.0301934	0.0355406	0.034775	0.0437417	0.0474896	0.0324459	0.065804	0.089288	0.129058
en	0.0109564	0.00896247	0.00934212	0.0237569	0.0232481	0.0278786	0.0283267	0.0187511	0.0143591	0.0325565	0.0297939	0.0229421	0.0226991	0.0358246	0.0207291	0.0165322	0.0260079	0.0270417	0.0261437	0.0219585	0.0312758	0.0262207	0.0436202	0.061201	0.0497998	0.0839437	0.0905094	0.165619
péril	0.00738833	0.00593994	0.00599154	0.0142096	0.0132833	0.0123896	0.0133256	0.0163188	0.0150692	0.0272534	0.0230483	0.0208164	0.0188627	0.0246071	0.0195342	0.0177902	0.0320142	0.0221185	0.0336957	0.0382097	0.0533645	0.0463885	0.0629445	0.075815	0.0643816	0.0819374	0.0985421	0.13476
</S>	0.0213168	0.0206931	0.0199159	0.0221339	0.0217964	0.0213197	0.0209285	0.0193111	0.0182028	0.0178416	0.0241483	0.0288824	0.02307	0.0170826	0.0258539	0.0447044	0.0432622	0.0195157	0.0374409	0.0708188	0.0634099	0.0546382	0.0558935	0.0612371	0.0442456	0.0477147	0.0467071	0.0879151
