 	w	a	á	b	é	r	i	a	b	v	é	é	m	á	a	k	ω	t	ώ	m	ó	d	z	á	n	d	e	</S>
il	0.142916	0.307018	0.356511	0.115743	0.0275065	0.00893368	0.00307869	0.0010365	0.000556256	0.00070148	0.00117318	0.00223041	0.00210426	0.00198939	0.0018552	0.00151473	0.00201907	0.00212655	0.00230551	0.00246311	0.00261173	0.00258316	0.0020686	0.00193109	0.00183064	0.00179839	0.00190355	0.00149092
a	0.0161482	0.0114738	0.0138673	0.011575	0.0358686	0.0668398	0.0576504	0.0718592	0.080894	0.1466	0.107019	0.052367	0.0681871	0.0302769	0.014217	0.0152216	0.0165524	0.0219518	0.0243613	0.00876319	0.0278764	0.0123823	0.016371	0.0146306	0.0178579	0.0122057	0.0117273	0.0152549
porté	0.0240054	0.0294073	0.0205897	0.0230687	0.0447068	0.0325011	0.0207252	0.0530685	0.125742	0.0663169	0.0329517	0.0252744	0.0288304	0.0211899	0.0193939	0.0336656	0.0257247	0.043354	0.0316888	0.0377265	0.0437616	0.0281931	0.0376861	0.02753	0.0292825	0.0252067	0.0328948	0.0355142
les	0.0257701	0.0267212	0.0211191	0.017904	0.0139596	0.00989702	0.00739857	0.00974132	0.0212319	0.0231464	0.0273386	0.0342616	0.0299006	0.0643907	0.0973752	0.0672244	0.0680165	0.0463898	0.0421419	0.0584374	0.0444396	0.0334441	0.0367758	0.0193921	0.0222327	0.0253598	0.0422459	0.0637441
balles	0.0126687	0.0135701	0.0120968	0.0102852	0.00805562	0.0058362	0.00610768	0.0156175	0.0268941	0.0240828	0.0253732	0.0350974	0.0336528	0.0254362	0.0284713	0.0349764	0.0589972	0.0645699	0.0606126	0.0711605	0.0883288	0.0577331	0.0615575	0.0367065	0.0356461	0.0395546	0.0423376	0.0645737
de	0.00571299	0.00534964	0.005631	0.0047665	0.00462036	0.00455215	0.00584751	0.011628	0.0181227	0.01865	0.0198124	0.0282715	0.0342925	0.0274411	0.0316489	0.0361684	0.0615791	0.0644781	0.0764017	0.068142	0.119951	0.0546916	0.0563241	0.0415522	0.0508164	0.0467718	0.0445666	0.0522092
coton	0.0159459	0.0200251	0.0222936	0.0212317	0.0238006	0.0239984	0.0248185	0.0248904	0.0255309	0.0260237	0.0257998	0.0251702	0.0246569	0.0207868	0.0196545	0.0228434	0.0333658	0.0254789	0.0330809	0.0374673	0.0525689	0.044853	0.0535773	0.0501481	0.0620089	0.0735	0.0595189	0.106961
au	0.0137351	0.0164107	0.0173452	0.0181487	0.0209751	0.0212568	0.0211016	0.0216003	0.0217612	0.0216079	0.02144	0.0220852	0.0231304	0.0233339	0.0238649	0.0228179	0.0246056	0.0233473	0.0271953	0.0311838	0.0384957	0.0513387	0.0668743	0.070375	0.0765037	0.0804897	0.0811282	0.0978476
marché	0.00753527	0.00853813	0.0100015	0.0099711	0.013768	0.0127267	0.00883951	0.00924785	0.0115793	0.0220856	0.0236009	0.0310369	0.0412339	0.0368195	0.0278513	0.029233	0.0419218	0.0386936	0.049328	0.0437466	0.0609766	0.0552069	0.0602955	0.0476044	0.0629689	0.0881552	0.0700165	0.0770175
</S>	0.0224844	0.0271258	0.0280612	0.0252803	0.0189265	0.012982	0.0119059	0.0134023	0.0137615	0.0174075	0.0284149	0.0287275	0.0356636	0.0335281	0.0264204	0.0319738	0.0334874	0.0294654	0.0272884	0.0294575	0.058881	0.0475797	0.0922432	0.0627862	0.0577006	0.0653257	0.0573187	0.0624006
